x_var,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_lsh_p50,Detock_lsh_p90,Detock_lsh_p95,Detock_lsh_p99,Detock_fsh_p50,Detock_fsh_p90,Detock_fsh_p95,Detock_fsh_p99,Detock_mh_p50,Detock_mh_p90,Detock_mh_p95,Detock_mh_p99,Detock_aborts,Detock_bytes,Detock_cost,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,86997.0,58.107904,76.05514380000001,82.99864339999999,97.21276375999999,58.107904,76.05514380000001,82.99864339999999,97.21276375999999,,,,,,,,,0.0,305244876.1166667,0.08184072464950899,14542.0,134.979708,137.402642,138.7132112,154.76713955999995,134.979708,137.402642,138.7132112,154.76713955999995,,,,,,,,,0.0,61776756.5,0.15476104593590978,51154.0,9.922049,15.279883,242.534925,408.6509315,9.922049,15.279883,242.534925,408.6509315,,,,,,,,,0.0,172188621.68333334,0.0871637102409717,88886.0,56.245047,76.632182,83.01203325,99.54786939999991,56.245047,76.632182,83.01203325,99.54786939999991,,,,,,,,,0.0,304118093.1666667,0.07984791601977065
10.0,70339.0,61.831664,143.7560574,148.02354,202.76863537999844,59.724025,76.095371,79.8582376,153.94834753000004,146.665761,152.558187,173.6014275999999,360.13619287999944,147.9175625,153.8159059,171.83533359999998,373.25398861000025,0.0,261039574.48333332,0.08865339981612858,11591.0,141.0985895,251.5470495,270.54395425,355.7869572000002,141.0985895,251.5470495,270.54395425,355.7869572000002,,,,,,,,,0.0,51659247.71666667,0.17670476700313462,50940.0,10.0780235,14.792072999999998,274.93290394999997,556.34941786,10.0780235,14.792072999999998,274.93290394999997,556.34941786,,,,,,,,,0.0,171594036.36666667,0.08729644144745453,53878.0,47.250187999999994,152.0023871,191.48887085,1822.5386633900073,44.05160600000001,58.50732410000003,132.3869201499996,1542.7133545100055,174.355838,193.2734592,278.6991545999998,3243.260532799994,178.121421,195.2036394,265.9869652999998,3179.9473749199988,0.0,197437489.51666668,0.09212943669648714
20.0,64969.0,64.9890525,145.0101607,146.56193865,149.44680839,60.802643,74.18704079999999,76.56339679999999,81.83023848000002,144.3720765,147.2680721,148.2605079,153.36686294999987,145.511155,148.4502358,149.499185,155.10545921999994,0.0,254074976.43333334,0.09383705349730899,9817.0,182.198509,305.80504099999996,353.22763025,443.40991505,182.198509,305.80504099999996,353.22763025,443.40991505,,,,,,,,,0.0,43989899.21666667,0.1930119165053818,46980.0,10.19275,15.943079900000015,764.1133450500001,1102.4377177199974,10.19275,15.943079900000015,764.1133450500001,1102.4377177199974,,,,,,,,,0.0,158115615.3,0.0889168221796509,56219.0,23.8828135,162.6447407,258.55421939999934,2588.456680200002,19.805267,32.985492,246.6680065,2542.2804637000095,154.609811,169.933494,295.433689,2768.0655784000164,156.9355185,171.8482143,294.9394532,2729.6407467699973,0.0,214290395.26666668,0.09428854845040525
30.0,57647.0,69.271314,146.1919046,147.6500055,151.15107665999997,62.678339,74.9007102,77.0463114,82.37563644000004,144.5237475,147.7266113,148.9326723,158.10135565,145.629765,149.0463302,150.28493195000001,160.91875493000003,0.0,235976083.56666666,0.09947649784608623,7684.0,244.862555,405.0165408,429.86539144999995,476.28525359000014,244.862555,405.0165408,429.86539144999995,476.28525359000014,,,,,,,,,0.0,33794568.333333336,0.22005353548499046,53785.0,9.608671,14.804233400000003,197.1668043999997,379.84252298999985,9.608671,14.804233400000003,197.1668043999997,379.84252298999985,,,,,,,,,0.0,180743252.28333333,0.08608097137987669,51427.0,11.706939,150.89465080000002,578.9717419999994,1455.34414976,9.836045,15.812845600000008,547.9177336999993,1444.51758526,146.301444,152.5173854,645.1445824499974,1478.9383037099992,147.62466799999999,154.22026449999998,654.1638122500001,1478.2809135,0.0,203534186.36666667,0.09889131637725966
40.0,52242.0,73.265109,146.46631739999998,147.871235,155.20215803999992,63.71335,75.2561314,77.45289439999999,88.13940071000003,144.1961635,147.4200035,148.81833175,177.41574717999998,145.328758,148.7809502,150.2773362,182.93412233999982,0.0,223186729.1,0.10487222123961565,6479.0,332.898969,441.4866134,459.16940224999996,507.9923039000005,332.898969,441.4866134,459.16940224999996,507.9923039000005,,,,,,,,,0.0,28531031.633333333,0.24473230940988838,53406.0,9.3751665,13.576043,508.86012925,901.6282497500007,9.3751665,13.576043,508.86012925,901.6282497500007,,,,,,,,,0.0,179324870.51666668,0.08616068251382492,55672.0,135.28790500000002,153.4393482,158.5363935,167.76269901999996,10.167307000000001,142.0262052,147.95673904999998,157.75877124000002,147.80545,158.7171766,162.661574,172.1857847200002,148.927462,159.767463,163.797266,173.71483200000003,0.0,226065933.23333332,0.09944529861809648
50.0,48117.0,139.011656,146.4113108,147.594287,151.34436096000002,64.060601,74.926283,76.8686825,81.79810080000001,143.914528,146.816687,147.8365964,159.1811717199995,144.971663,148.0601624,149.15758720000002,158.49820200000016,0.0,214330637.5,0.11018169773676663,5899.0,386.793191,456.2677028,472.01531959999994,504.7138550700001,386.793191,456.2677028,472.01531959999994,504.7138550700001,,,,,,,,,0.0,26200669.583333332,0.26089394671413235,54373.0,9.260421000000001,12.7872995,397.50905324999997,1050.6294222000033,9.260421000000001,12.7872995,397.50905324999997,1050.6294222000033,,,,,,,,,0.0,182708019.11666667,0.08587277476566188,49816.0,141.776227,149.54067,151.0401828,156.31109404,10.040483,136.0803132,139.89892360000002,145.50063792000006,146.4658155,150.317521,151.6421389,160.63920081999999,147.428933,151.4409898,152.9489264,163.9329081999993,0.0,209923837.81666666,0.10465466429125851
60.0,44337.0,142.523911,147.164156,148.287519,154.58947159999974,64.8287,75.3753796,77.2570782,82.93492108000002,144.27159699999999,147.238092,148.2416325,164.32737849999992,145.34413,148.471417,149.59433445,163.75929023000023,0.0,205589687.3,0.11563240061348312,5378.0,420.2569785,486.6432133,502.8176351499999,536.3369438,420.2569785,486.6432133,502.8176351499999,536.3369438,,,,,,,,,0.0,24175117.366666667,0.2786356168340151,53891.0,9.56379,13.953071000000001,143.4279463,385.0752994400005,9.56379,13.953071000000001,143.4279463,385.0752994400005,,,,,,,,,0.0,181015345.23333332,0.08601263484935642,44818.0,144.430704,150.237241,151.78608864999998,157.41094962999998,10.637356,136.8772247,140.2678855,145.75595517999997,146.654088,150.6454378,152.043545,160.06753723999967,147.65047,151.891461,153.426219,162.7971754,0.0,195612907.36666667,0.10993926876106327
70.0,41141.0,143.45523450000002,147.53756589999998,148.84878605,173.41005628999997,65.320787,75.617293,77.7400585,95.96149039999857,144.265074,147.41248109999998,148.6768357,186.55068612000002,145.327981,148.70501299999998,150.0683999,188.05110456000023,0.0,198180220.66666666,0.12101320855918266,5275.0,429.1651955,487.3336218,500.57050755,530.8401436,429.1651955,487.3336218,500.57050755,530.8401436,,,,,,,,,0.0,23478370.116666667,0.28143457864139015,53164.0,9.341474999999999,13.96361800000001,314.2350536,824.2484197299998,9.341474999999999,13.96361800000001,314.2350536,824.2484197299998,,,,,,,,,0.0,178776783.66666666,0.08634669463045168,40808.0,145.74095599999998,151.132869,152.79686715,160.843169,11.68485,137.5853698,140.9288497,146.39503354000001,146.939173,151.2622544,152.8088358,166.1229668,147.95572149999998,152.5145401,154.2168543,168.94328382999998,0.0,184122141.93333334,0.11511083215709338
80.0,37476.0,144.19233100000002,149.1587569,155.2027642,276.43996159,66.227518,77.4577684,87.74384569999995,197.59396730000012,144.428474,149.1784798,157.81319839999998,281.7771182,145.45938999999998,150.60594650000002,160.87119825000002,284.195149,0.0,186671603.33333334,0.1267059469171381,4991.0,452.7660835,506.6792071,523.2314931999999,560.2153581900002,452.7660835,506.6792071,523.2314931999999,560.2153581900002,,,,,,,,,0.0,22067228.1,0.29179414185533964,54577.0,8.720056,12.535996000000006,768.1990026000001,1282.4139642200003,8.720056,12.535996000000006,768.1990026000001,1282.4139642200003,,,,,,,,,0.0,182411538.5,0.0854431494952086,37804.0,146.564208,151.67188099999998,153.453193,161.3775895,13.185554,137.8157271,140.950653,146.1108557,147.0747785,151.4877531,153.13990695,162.99059587999983,148.087481,152.81888899999998,154.73255675000001,167.71005375000004,0.0,175795296.33333334,0.119852553345325
90.0,33143.0,145.338289,196.4214156,216.92890939999998,253.86532136000005,69.400996,118.28416800000004,134.68920320000004,161.81674432000048,145.22757,198.67680240000004,218.50031799999988,254.39415486,146.284327,199.9724644,219.95939579999998,255.95963204000003,0.0,170576722.03333333,0.13355865312936865,4897.0,455.2935635,509.7598025,525.9867753,561.2023429600001,455.2935635,509.7598025,525.9867753,561.2023429600001,,,,,,,,,0.0,22027197.133333333,0.2972317628480022,55921.0,8.6716695,12.060342,572.5141759499994,1459.1068877300006,8.6716695,12.060342,572.5141759499994,1459.1068877300006,,,,,,,,,0.0,186466401.33333334,0.0848398280908186,35313.0,147.89589,153.010267,154.8582478,163.03366327999993,14.6754335,139.0231683,142.06503795,147.90073326,147.83917200000002,152.511598,154.2028234,163.0347431299999,148.882452,153.9135402,155.825136,165.26375000000002,0.0,168439535.4,0.12414098796477219
