System,Avg Duration (ms),Std Duration (ms),Avg Server (ms),Std Server (ms),Server (%),Avg Fwd (ms),Std Fwd (ms),Fwd (%),Avg Seq (ms),Std Seq (ms),Seq (%),Avg MH orderer (ms),Std MH orderer (ms),MH orderer (%),Avg Log man (ms),Std Log man (ms),Log man (%),Avg Sched (ms),Std Sched (ms),Sched (%),Avg Lck man (ms),Std Lck man (ms),Lck man (%),Avg Worker (ms),Std Worker (ms),Worker (%),Avg Other (ms),Std Other (ms),Other (%),SP_SH Avg Duration (ms),SP_SH Std Duration (ms),SP_SH Avg Server (ms),SP_SH Std Server (ms),SP_SH Server (%),SP_SH Avg Fwd (ms),SP_SH Std Fwd (ms),SP_SH Fwd (%),SP_SH Avg Seq (ms),SP_SH Std Seq (ms),SP_SH Seq (%),SP_SH Avg MH orderer (ms),SP_SH Std MH orderer (ms),SP_SH MH orderer (%),SP_SH Avg Log man (ms),SP_SH Std Log man (ms),SP_SH Log man (%),SP_SH Avg Sched (ms),SP_SH Std Sched (ms),SP_SH Sched (%),SP_SH Avg Lck man (ms),SP_SH Std Lck man (ms),SP_SH Lck man (%),SP_SH Avg Worker (ms),SP_SH Std Worker (ms),SP_SH Worker (%),SP_SH Avg Other (ms),SP_SH Std Other (ms),SP_SH Other (%),MP_SH Avg Duration (ms),MP_SH Std Duration (ms),MP_SH Avg Server (ms),MP_SH Std Server (ms),MP_SH Server (%),MP_SH Avg Fwd (ms),MP_SH Std Fwd (ms),MP_SH Fwd (%),MP_SH Avg Seq (ms),MP_SH Std Seq (ms),MP_SH Seq (%),MP_SH Avg MH orderer (ms),MP_SH Std MH orderer (ms),MP_SH MH orderer (%),MP_SH Avg Log man (ms),MP_SH Std Log man (ms),MP_SH Log man (%),MP_SH Avg Sched (ms),MP_SH Std Sched (ms),MP_SH Sched (%),MP_SH Avg Lck man (ms),MP_SH Std Lck man (ms),MP_SH Lck man (%),MP_SH Avg Worker (ms),MP_SH Std Worker (ms),MP_SH Worker (%),MP_SH Avg Other (ms),MP_SH Std Other (ms),MP_SH Other (%),MP_MH Avg Duration (ms),MP_MH Std Duration (ms),MP_MH Avg Server (ms),MP_MH Std Server (ms),MP_MH Server (%),MP_MH Avg Fwd (ms),MP_MH Std Fwd (ms),MP_MH Fwd (%),MP_MH Avg Seq (ms),MP_MH Std Seq (ms),MP_MH Seq (%),MP_MH Avg MH orderer (ms),MP_MH Std MH orderer (ms),MP_MH MH orderer (%),MP_MH Avg Log man (ms),MP_MH Std Log man (ms),MP_MH Log man (%),MP_MH Avg Sched (ms),MP_MH Std Sched (ms),MP_MH Sched (%),MP_MH Avg Lck man (ms),MP_MH Std Lck man (ms),MP_MH Lck man (%),MP_MH Avg Worker (ms),MP_MH Std Worker (ms),MP_MH Worker (%),MP_MH Avg Other (ms),MP_MH Std Other (ms),MP_MH Other (%)
janus,105.3689,84.15402,0.08497,0.2322,0.00081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.40958,86.07454,0.93395,0.10499,0.2244,0.001,6.76936,24.51704,0.06424,90.90334,84.86275,0.00052,0.00023,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.24904,86.07301,0.9158,0.00837,0.00343,9e-05,7.64541,26.9128,0.0841,167.03789,44.57538,0.44498,0.35728,0.00266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.04138,48.76442,0.97607,0.51689,0.23625,0.00309,3.03464,8.2877,0.01817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slog,179.71016,339.10204,0.08206,0.23051,0.00046,0.50901,1.64082,0.00283,3.40684,2.01664,0.01896,1.05733,2.03324,0.00588,0.52506,1.38901,0.00292,0.00069,0.00109,0.0,65.46659,245.68032,0.36429,34.52646,184.27818,0.19212,74.13611,188.59585,0.41253,80.53077,187.62767,0.00054,0.00021,1e-05,0.26232,0.3153,0.00326,3.50991,1.97819,0.04358,0.0,0.0,0.0,0.23104,0.76477,0.00287,0.00031,6e-05,0.0,0.00583,0.00283,7e-05,0.01059,0.00452,0.00013,76.51022,186.95294,0.95007,38.02898,103.28121,0.35278,0.41442,0.00928,0.57373,0.28922,0.01509,3.737,2.05543,0.09827,0.0,0.0,0.0,0.59433,1.57606,0.01563,0.00032,0.00013,1e-05,0.0047,0.00299,0.00012,28.06354,103.03897,0.73795,4.70259,3.63613,0.12366,760.44202,487.30415,0.30241,0.21219,0.0004,0.70303,0.6792,0.00092,2.35293,1.53772,0.00309,5.17157,0.99548,0.0068,1.9291,3.79391,0.00254,0.00083,0.00061,0.0,252.7439,413.66093,0.33236,490.9056,606.71216,0.64555,6.33268,4.17981,0.00833
calvin,348.87976,265.42248,0.03491,0.10957,0.0001,0.01321,0.00258,4e-05,2.91025,1.53808,0.00834,0.0,0.0,0.0,42.77722,49.45501,0.12261,0.00036,8e-05,0.0,0.00839,0.00461,2e-05,92.8206,206.38094,0.26605,210.31482,232.59797,0.60283,309.12773,272.0445,0.00057,0.00025,0.0,0.01326,0.00256,4e-05,2.90862,1.55122,0.00941,0.0,0.0,0.0,51.08745,50.80621,0.16526,0.00037,9e-05,0.0,0.00926,0.00452,3e-05,0.0132,0.00518,4e-05,255.09501,234.18166,0.82521,529.97233,123.64933,0.19136,0.19574,0.00036,0.013,0.00274,2e-05,2.91766,1.52031,0.00551,0.0,0.0,0.0,4.91947,9.67215,0.00928,0.00032,6e-05,0.0,0.00445,0.00248,1e-05,515.60986,131.2651,0.9729,6.3162,5.11695,0.01192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detock,114.1016,187.70144,0.14978,0.47229,0.00131,0.60507,0.71035,0.0053,3.88146,2.61536,0.03402,0.0,0.0,0.0,0.46452,1.17676,0.00407,0.00038,0.00021,0.0,0.82859,3.78711,0.00726,33.49881,131.99394,0.29359,74.67299,150.20537,0.65444,90.80944,166.29928,0.00052,0.00021,1e-05,0.45834,0.65468,0.00505,3.32071,2.27759,0.03657,0.0,0.0,0.0,0.20044,0.39422,0.00221,0.00032,0.00017,0.0,0.00628,0.00354,7e-05,0.01162,0.00572,0.00013,86.8112,166.57245,0.95597,195.74694,257.8572,0.88068,0.89868,0.0045,1.11708,0.69888,0.00571,2.75274,1.92572,0.01406,0.0,0.0,0.0,0.21525,0.18474,0.0011,0.0003,8e-05,0.0,0.00395,0.00213,2e-05,168.57613,267.68044,0.86119,22.2008,29.70214,0.11342,343.77278,300.97978,0.86827,0.59463,0.00253,0.58251,0.21427,0.00169,5.84733,2.13188,0.01701,0.0,0.0,0.0,0.46053,0.42677,0.00134,0.00039,0.00022,0.0,0.00316,0.00171,1e-05,329.14251,302.23456,0.95744,6.86807,5.62853,0.01998
