Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Lck man (ms),Worker (ms),Wait (ms),Other (ms)
1136882138218497,True,False,1750159769537443416,1750159769706967128,169.52371,0.78299,0.0,0.0,0.0,0.0,0.0,167.37172,0.6417,0.0,0.72731
1708349011787776,False,False,1750159779417878038,1750159779616302053,198.42401,0.0019,0.0,0.0,0.0,0.0,0.0,197.82905,0.00616,0.0,0.5869
3303843462905856,False,False,1750159806920975266,1750159806924655276,3.68001,0.00061,0.0,0.0,0.0,0.0,0.0,2.51755,0.0154,0.0,1.14645
3525777307992065,True,False,1750159810733787301,1750159810888684839,154.89754,0.71322,0.0,0.0,0.0,0.0,0.0,152.4835,0.35565,0.0,1.34518
695531298881536,True,False,1750159761541338622,1750159761738650220,197.3116,0.4553,0.0,0.0,0.0,0.0,0.0,195.2088,0.63687,0.0,1.01063
188239826649088,False,False,1750159754717947834,1750159754724146867,6.19903,0.00034,0.0,0.0,0.0,0.0,0.0,4.3584,0.00595,0.0,1.83434
501179733770240,False,False,1750159758413955027,1750159758474350906,60.39588,0.00032,0.0,0.0,0.0,0.0,0.0,57.18058,0.0056,0.0,3.20938
3172430348550145,True,False,1750159804704610363,1750159804832210711,127.60035,0.06108,0.0,0.0,0.0,0.0,0.0,125.317,0.69025,0.0,1.53203
2472788765966337,True,False,1750159792786893118,1750159792943299001,156.40588,0.76728,0.0,0.0,0.0,0.0,0.0,153.70085,0.74666,0.0,1.1911
1630721772879872,False,False,1750159778088702562,1750159778091986502,3.28394,0.00033,0.0,0.0,0.0,0.0,0.0,2.15623,0.00685,0.0,1.12053
2753056856866817,True,False,1750159797564744232,1750159797703428422,138.68419,0.16828,0.0,0.0,0.0,0.0,0.0,137.13959,0.28402,0.0,1.0923
2099762266374145,True,False,1750159786061323880,1750159786254631703,193.30782,0.03368,0.0,0.0,0.0,0.0,0.0,191.69291,0.48416,0.0,1.09707
1233570441986048,False,False,1750159771258683593,1750159771261503999,2.82041,0.00039,0.0,0.0,0.0,0.0,0.0,1.68241,0.00586,0.0,1.13174
1496851937230848,False,False,1750159775780109667,1750159775974984235,194.87457,0.00107,0.0,0.0,0.0,0.0,0.0,193.56305,0.01537,0.0,1.29508
2501414722994176,False,False,1750159793271287510,1750159793275304879,4.01737,0.00033,0.0,0.0,0.0,0.0,0.0,2.59692,0.00563,0.0,1.41448
2388925234544640,False,False,1750159791343926133,1750159791347430045,3.50391,0.00035,0.0,0.0,0.0,0.0,0.0,2.39815,0.00405,0.0,1.10136
1601520290234369,False,False,1750159777589119604,1750159777760362837,171.24323,0.00035,0.0,0.0,0.0,0.0,0.0,170.46167,0.00783,0.0,0.77338
2473226852630529,False,False,1750159792794477476,1750159792797531367,3.05389,0.00038,0.0,0.0,0.0,0.0,0.0,1.938,0.00618,0.0,1.10933
410916701077505,False,False,1750159757366119582,1750159757471530026,105.41044,0.00106,0.0,0.0,0.0,0.0,0.0,4.02286,0.01251,0.0,101.37401
3477106738593793,False,False,1750159809892969279,1750159809898115335,5.14606,0.00054,0.0,0.0,0.0,0.0,0.0,3.93809,0.00564,0.0,1.20178
3122716102098945,False,False,1750159803889670409,1750159803946541798,56.87139,0.00059,0.0,0.0,0.0,0.0,0.0,55.36146,0.00654,0.0,1.5028
137559212556288,False,False,1750159754120824644,1750159754154509558,33.68491,0.00033,0.0,0.0,0.0,0.0,0.0,31.99877,0.01164,0.0,1.67417
2096201738485761,False,False,1750159785994331246,1750159785997834526,3.50328,0.00033,0.0,0.0,0.0,0.0,0.0,2.29061,0.00626,0.0,1.20608
1393094117294081,False,False,1750159774014467560,1750159774018117964,3.6504,0.00038,0.0,0.0,0.0,0.0,0.0,2.065,0.00594,0.0,1.57908
427920476602368,True,False,1750159757563929681,1750159757604970567,41.04089,0.01576,0.0,0.0,0.0,0.0,0.0,37.1124,1.17583,0.0,2.7369
512595756843008,False,False,1750159758545038568,1750159758616100088,71.06152,0.00033,0.0,0.0,0.0,0.0,0.0,57.48021,0.00636,0.0,13.57461
945747503611904,False,False,1750159766057208919,1750159766059706853,2.49793,0.00079,0.0,0.0,0.0,0.0,0.0,1.67161,0.01324,0.0,0.81229
425437985505280,False,False,1750159757535000024,1750159757574662267,39.66224,0.00032,0.0,0.0,0.0,0.0,0.0,37.06562,0.00683,0.0,2.58947
