,usw1,usw2,use1,use2,euw1,euw2,apne1,apne2
usw1,0.20766666666666667,24.933333333333334,64.3,49.6,131.0,141.66666666666666,115.0,138.0
usw2,24.933333333333334,0.3393333333333333,63.43333333333334,46.76666666666667,116.0,127.0,96.43333333333332,118.66666666666667
use1,64.3,63.5,0.308,12.6,67.56666666666666,76.1,152.33333333333334,183.0
use2,49.46666666666666,46.833333333333336,12.966666666666669,0.2786666666666667,78.76666666666667,86.10000000000001,133.66666666666666,161.33333333333334
euw1,130.66666666666666,116.33333333333333,67.60000000000001,78.8,0.8813333333333334,9.72,201.33333333333334,233.66666666666666
euw2,141.66666666666666,126.66666666666667,76.16666666666667,86.10000000000001,9.816666666666668,0.5293333333333333,211.0,243.0
apne1,115.0,96.43333333333332,152.33333333333334,133.33333333333334,201.0,211.33333333333334,0.439,33.96666666666667
apne2,138.66666666666666,118.66666666666667,184.0,161.33333333333334,233.0,243.0,34.06666666666667,0.2313333333333333
