x_var,detock_lsh_p50,detock_lsh_p90,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p90,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p90,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p90,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p90,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p90,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p90,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p90,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p90,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p90,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p90,slog_write_p95,slog_write_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p90,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p90,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p90,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_read_p50,cockroachdb_read_p90,cockroachdb_read_p95,cockroachdb_read_p99,cockroachdb_write_p50,cockroachdb_write_p90,cockroachdb_write_p95,cockroachdb_write_p99
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.160327499999999,57.64660180000005,224.14421795000015,823.8362608900004,,,,,364.337677,1008.3015170000003,1333.8558021000008,2241.181379609993,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.418157,295.453197,650.581744,1657.7962532999984,,,,,427.277872,952.9617637,1269.9947579499994,2018.1882455000004,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.475098500000001,140.17861730000033,453.69443764999994,1205.1838275799998,,,,,316.65065949999996,777.0053280999998,1069.9608144499998,1604.7641070099983,,,,,,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6321775,204.00654010000002,594.3577459,1121.666813099999,,,,,311.962124,843.0650726000001,1083.7859884999996,1462.8870589800015,,,,,,,,
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.903407,206.316251,577.3377097999997,1200.5972035599998,,,,,309.1400365,822.6434517000001,1085.2672782,1542.4702172500004,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.595712499999999,194.29597860000024,658.6835576499997,1436.53315716,,,,,315.0054905,887.7772068000003,1197.5506085,1756.9377142200015,,,,,,,,
0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.757036,35.86714860000003,297.04145989999955,13249.177450339992,,,,,273.930421,380.12877790000005,664.3179465999997,15027.427567010005,,,,,,,,
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6401085,194.692836,11103.425378,15002.757250099998,,,,,272.883348,2072.0585688000015,12651.136178799994,15325.272679160003,,,,,,,,
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2427045,17140.809207600003,19996.431717149997,22336.64057088,,,,,274.050236,18477.1458254,20527.947623699998,22770.046105920002,,,,,,,,
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.545598499999997,28142.852192500002,29032.32521495,49718.838527220236,,,,,11008.070178,28143.9259556,30159.558165299983,53565.407074439994,,,,,,,,
0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25091.080744,36164.648748499996,36463.76126575,36804.56225425,,,,,34923.981597,37424.34127649999,49775.144257049906,65425.70694971,,,,,,,,
0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23608.74332,39840.900446,40337.020158600004,41311.95586552,,,,,38445.377683,55072.3065586,66352.49667099999,72476.89674016,,,,,,,,
0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23461.4847915,41236.194593,41929.055106750006,42109.806744999994,,,,,39621.2990355,59609.5558952,68794.36900015,74829.33743799999,,,,,,,,
0.9999983333333333,10.180501,16.7652848,20.16363319999999,188.06089841999867,147.251241,1788.0580169999998,2181.8616429999997,3399.715666200002,149.201231,1789.7981885,2190.033164,3411.0180041999974,,,,,,,,,140.921897,275.8668609,329.26066479999986,532.0748226799999,,,,,,,,,,,,,,,,,301.990812,662.9786822000001,717.6768546,24558.15504712,,,,,,,,,,,,,,,,,8.992205,13.780971200000002,15.745856499999995,29.51576396000011,152.459368,1048.3636148,1102.6329,1138.91369208,154.682188,1048.4178508999998,1104.0401024999999,1140.59740517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999984,10.492025,18.0491345,29.0496345,83.2434025,147.51691,554.6150043999996,1846.7459744999971,4367.347889439999,149.4158895,589.1589678,1993.0402545500012,4440.678099950001,,,,,,,,,147.6993385,224.2592328,272.30874625,496.12412018000276,,,,,,,,,,,,,,,,,264.600669,669.5725442000002,1789.7343551999973,3974.0438340000032,,,,,,,,,,,,,,,,,9.016918,13.547094300000001,15.480956550000005,36.75239277999963,152.344449,974.1509904000001,1086.8736721,1928.29240898,154.488782,979.705785,1092.066933,1931.5473043000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999984666666667,9.535516000000001,14.085427300000001,16.39191144999999,136.8622226299995,148.048463,1224.3775512000002,1429.378043,1525.42016768,150.062516,1234.9256268000001,1432.5682614999998,1525.4195659999998,,,,,,,,,151.308754,184.55422199999998,207.98271519999972,300.9400629199983,,,,,,,,,,,,,,,,,259.8187615,964.1234065000014,1601.9143655499981,2720.3277675599998,,,,,,,,,,,,,,,,,8.9800845,13.626561,15.654659599999997,66.17605367000152,152.172394,1079.7770462,1118.2314134,1149.2834210800002,154.305948,1083.8259984000001,1120.5738383999999,1149.54503776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999985333333333,9.6912325,14.178802000000001,16.2211425,58.92157790000017,148.413564,1202.6283993999998,1348.3227129999996,1433.5228967199998,150.458367,1210.2953894,1349.2168178000002,1441.79699468,,,,,,,,,141.646609,207.89977840000003,363.0293223999998,625.39773544,,,,,,,,,,,,,,,,,257.22578799999997,767.6188459000001,1138.29237645,1611.0517619099992,,,,,,,,,,,,,,,,,9.450499,14.403997,16.410524,37.417219,153.30289249999998,950.7787571,996.2680132999999,1029.51814298,155.600728,952.4609508,996.4439874,1031.29689164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999986,9.758357,14.560543000000001,16.56269,43.548958519999935,147.16699749999998,1251.273449,1585.88847175,1783.3467740500007,149.11402650000002,1264.3963675000011,1590.31003825,1784.08658524,,,,,,,,,137.880601,411.7176080000002,562.361617,931.0024726400004,,,,,,,,,,,,,,,,,229.56685249999998,546.0112225000001,1446.3576620499982,3695.0438973099967,,,,,,,,,,,,,,,,,9.584058500000001,14.209200899999999,15.9605285,23.678061369999927,154.022267,1052.741894,1098.381644,1135.2394625,156.397685,1054.869241,1100.211125,1137.4991392000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999986666666667,10.236828,17.0833962,20.901744149999992,70.97990468999996,147.527421,1099.345986,1414.6063505,1617.0218974000002,149.6892295,1111.3596625,1421.8275671499996,1623.19510447,,,,,,,,,148.99115,237.65278640000008,267.03762485,351.8792922399996,,,,,,,,,,,,,,,,,266.7822185,689.6846185000003,753.4157402,1380.3798255600004,,,,,,,,,,,,,,,,,9.354076,13.995255,15.837951,31.263258179999962,153.647248,945.370678,974.1800714999999,1098.8873566199998,155.940366,946.3485098,973.5316642,1098.8299967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999987333333333,10.296057,19.094797,34.1849977,85.77420153999985,147.86802749999998,1667.1953319000017,1920.6132213,2019.77694683,149.802811,1726.3614006,1923.5321965,2024.1289675199998,,,,,,,,,146.4693635,168.45551410000004,229.36754329999948,511.84266644999997,,,,,,,,,,,,,,,,,213.67713600000002,522.2260845000001,1170.5355532499998,3115.518655649999,,,,,,,,,,,,,,,,,8.921736,13.4806844,15.266118599999999,27.318829259999998,152.515891,1070.3356288,1104.0199324,1138.4993400399999,154.8573005,1076.0276498000003,1108.130833,1141.03436885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999988,10.3325155,17.6816385,22.2385065,67.4623135,147.195529,1917.635261,2925.100110799994,5157.3660214,149.15205350000002,1930.4953592999996,3002.2195200499996,5158.12300969,,,,,,,,,145.289292,243.30380430000002,284.23245479999997,345.58154891000027,,,,,,,,,,,,,,,,,248.753707,718.1522426000014,1185.1704024000003,2987.4913912,,,,,,,,,,,,,,,,,8.9269195,13.433604600000002,15.18808059999999,28.876727389999996,151.862099,1156.1445806,1204.6314757,1239.6345591900001,154.0790965,1160.9105617,1208.0736852999999,1241.61828696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999988666666667,9.4318395,14.742466,18.951834849999983,49.49348442999995,147.098381,1434.915614,1579.9444767999998,1836.18011904,148.971036,1433.3259344000005,1582.1147869999995,1838.5238462799996,,,,,,,,,149.835332,191.025488,243.66847479999998,353.31139123999975,,,,,,,,,,,,,,,,,243.610799,1065.5415560000001,1861.5047418999993,3606.1096201799955,,,,,,,,,,,,,,,,,9.156736,14.118769000000002,16.302416499999996,61.40502117999964,152.534505,1082.470685,1171.3244953,1781.04681602,154.79995000000002,1089.6955047,1176.8149424,1799.123794819999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999989333333333,9.507331,14.244981000000005,17.555566399999826,61.51492164000003,147.104476,1282.943431,1603.014688,1756.7842699999999,149.1743635,1294.0800144,1609.8638133499996,1759.19942687,,,,,,,,,147.7645495,198.7898994,222.08164575000004,389.9043535800004,,,,,,,,,,,,,,,,,247.174572,1280.6960366000012,3252.8344979999915,5990.98826392,,,,,,,,,,,,,,,,,9.0243605,13.597393,15.266835,28.417426599999708,152.398311,1060.4699561999998,1104.8940544,1143.71656084,154.674455,1065.4634796,1108.8231564999999,1148.8307900800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.999999,9.523774,14.1265543,16.633874050000006,45.913894090000056,148.541406,942.2754218999999,1326.8678587499996,1528.2204000099996,150.435616,945.3559211999998,1313.6808560999991,1535.0579834599998,,,,,,,,,143.078304,178.911262,212.877128,479.98480979999965,,,,,,,,,,,,,,,,,264.4847925,576.8284526,688.41967225,961.6888216799998,,,,,,,,,,,,,,,,,8.9366995,13.447916500000002,15.18158325,27.3260975,152.068799,1198.2920222,1250.7164351,1307.25519081,154.235614,1200.1838788,1253.9580394,1308.63120828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999990666666667,9.660051,14.385971600000001,16.473204399999997,68.66482040000034,147.772812,1201.0711814000003,1405.5060005999994,1492.52047396,149.612073,1204.3945638000002,1405.9398046,1492.5113312,,,,,,,,,140.188572,262.9438476,342.4910078,436.7988547599996,,,,,,,,,,,,,,,,,269.9618375,509.77532,681.3672005,1074.9169415999995,,,,,,,,,,,,,,,,,9.029014499999999,13.637578300000001,15.384891500000002,29.136560629999998,152.334032,1026.021005,1260.5295015000002,1338.6125295,154.575468,1029.9121405,1260.03261625,1340.90889475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999991333333333,10.612481,19.599591200000003,25.123756600000004,66.8888970000001,149.0594565,1203.1050143,1261.90287015,1327.71239455,151.105888,1207.7722751000003,1264.00172875,1328.4255959500001,,,,,,,,,139.408323,284.1130475000002,399.41772889999993,693.0368999100026,,,,,,,,,,,,,,,,,220.853877,839.6986495,1265.709446,2668.492357649999,,,,,,,,,,,,,,,,,9.0301745,13.673216700000001,15.581349399999997,28.74188389999997,152.583664,1172.1180585,1188.8028711,1220.10103725,154.8392455,1175.3450407,1191.6997456000001,1222.3660852799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999992,9.882632,14.957419,18.406300799999993,88.6353208,146.734141,1269.116203,1617.414512,1757.3383544,148.722858,1278.358993,1625.215119,1760.8209550000001,,,,,,,,,138.674792,243.639694,337.9723935,709.3438590000001,,,,,,,,,,,,,,,,,211.31320449999998,685.8364736,1132.3871528999994,4958.9172333799925,,,,,,,,,,,,,,,,,9.067702,13.845711,15.816072199999997,36.0643859199999,152.718321,972.6410226,1030.6209457,1105.08125284,155.016773,971.5035584,1031.6590517,1109.1013488400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
