x_var,detock_throughput,detock_p50,detock_p90,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p90,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p90,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p90,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,cockroachdb_throughput,cockroachdb_p50,cockroachdb_p90,cockroachdb_p95,cockroachdb_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p90,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p90,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p90,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_aborts,cockroachdb_bytes,cockroachdb_cost,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,13458.0,105.3499535,287.399987,331.85730875,4239.435959450001,13.2373795,180.26470300000005,254.43489970000024,317.34349005,143.234736,328.8582948,1643.0570759999985,5059.07813008,145.777027,330.62652060000005,1653.7107657999973,4957.3226458,0.0,208400128.15,0.38512428020508244,13439.0,185.30499,230.62507599999998,265.882094,286.26421,185.30499,230.62507599999998,265.882094,286.26421,,,,,,,,,0.0,132513399.63333334,0.27273368499640355,647.0,141.808215,858.0701368000002,1164.2498051999996,1752.4687901199984,33.033424,625.1892629000001,988.2744511999989,1696.2426766500018,,,,,306.119646,991.623682,1274.0062419999997,1778.1232278000027,0.0,15673001.6,2.053261255023184,16444.0,246.553627,588.6498668,1484.2292458999996,4694.948359679999,246.553627,588.6498668,1484.2292458999996,4694.948359679999,,,,,,,,,0.0,186062206.16666666,0.28802262973323606,16331.0,89.784828,184.10453170000002,213.64409659999998,2233.968147079972,24.089903,119.37177719999998,160.2409223,205.35416210000002,119.22629950000001,210.3366895,235.29512075,4364.492976499978,122.062833,214.16859720000002,243.94964549999978,4272.9645579199905,0.0,240724981.73333332,0.3569591350601107
0.1,13431.0,114.332053,354.55639440000004,674.1726433999984,3769.3228504599992,13.620718,193.4027262,337.2324985999998,448.28965815999993,142.4,669.9134558000003,2360.1428413999993,4072.4912294,145.95772849999997,691.9976610999989,2389.5825636499985,4090.89816175,0.0,207831191.08333334,0.3850512859553769,13587.0,149.01072249999999,271.850214,293.6131101,314.89953922,149.01072249999999,271.850214,293.6131101,314.89953922,,,,,,,,,0.0,134198498.6,0.27224331876057994,621.0,133.0238665,918.9269428000001,1300.0941664499994,1891.5710411599985,31.540233,605.225115,1006.2029945,1840.5261105000002,,,,,299.92981199999997,1106.353866,1439.87062225,1920.3861566500043,0.0,10771798.95,1.9813783880837357,15740.0,327.572182,973.9264498000002,1876.6531258499988,4716.550435830006,327.572182,973.9264498000002,1876.6531258499988,4716.550435830006,,,,,,,,,0.0,181767366.61666667,0.29544773394747986,15143.0,69.214828,354.12319879999995,2598.656392999998,8391.234170600002,19.931507,116.0648524,119.30816779999999,218.95166695999998,116.26149,2550.7549218000013,6063.278777799998,9523.497430159998,120.008392,2618.9940585999993,6097.077976799991,9604.23672658,0.0,221916462.86666667,0.36012211961522383
0.2,13980.0,95.922793,314.2282516,1011.8817016999993,1676.9962546900001,12.27703,159.100378,164.6247478,189.25993122000014,155.085482,1010.7982248000001,1077.1421494999988,2054.8929099800007,157.63863600000002,1016.7404456000002,1091.24194175,2151.6746221500016,0.0,216311770.11666667,0.38206261819265624,12523.0,184.56994250000002,245.99832170000002,268.37054155,367.92910410999735,184.56994250000002,245.99832170000002,268.37054155,367.92910410999735,,,,,,,,,0.0,124213534.1,0.2794275079453805,700.0,118.32745299999999,827.2711595000001,1160.1376344999999,1649.5616707000001,29.5384305,495.082497,924.66085975,1622.612116399998,,,,,270.34094600000003,997.5407415000003,1272.31319215,1668.4728940500008,0.0,16819494.183333334,1.9305569766666666,15906.0,290.13437,1613.9640472000006,3650.9828095999947,6347.505269799999,290.13437,1613.9640472000006,3650.9828095999947,6347.505269799999,,,,,,,,,0.0,182860324.61666667,0.2937386201642986,15353.0,70.6810895,300.3765532999998,1645.1902223499962,6259.248147609994,20.5239285,116.3846037,119.4780586,228.30104433000048,115.837152,1611.9523304999998,4109.196858,7094.269418800001,119.84469200000001,1654.8933317,3955.1902434999965,7206.5272697499995,0.0,225394738.95,0.3597274004429102
0.5,14015.0,109.8423865,394.1634973,472.1518638499999,631.6454847299998,23.6073,181.39013880000002,194.32659959999992,241.93345266000034,171.361338,467.5610435999999,566.3463239999991,686.32711152,183.4848125,478.694835,579.2411609999999,695.529170250001,0.0,214492898.8,0.37851287734570105,13250.0,164.394068,274.23637059999993,321.4120922,394.51824266,164.394068,274.23637059999993,321.4120922,394.51824266,,,,,,,,,0.0,129691810.16666667,0.27236499647798745,701.0,105.2214755,608.0946782000002,1207.0479482999997,3507.3897028300003,44.92007,369.14901080000067,665.1077653999994,2442.774649760004,,,,,201.460892,862.8329400000018,1560.9349444000002,3750.43441848,0.0,16680563.2,1.9238391783166906,15506.0,268.295099,1712.6103120000053,5139.35064209995,9469.70149054,268.295099,1712.6103120000053,5139.35064209995,9469.70149054,,,,,,,,,0.0,178666533.15,0.29590678853347097,15129.0,68.36841949999999,298.262834,704.3234372999998,2048.9904139399987,50.159786999999994,124.53937389999996,209.33150834999998,275.39331623999993,81.463011,672.1796902000004,1414.1445512999999,2247.63254092,93.391649,725.0907628000003,1430.7322411,2257.902774159997,0.0,225115520.55,0.3646844081565206
1.0,14613.0,101.322976,305.9167894000001,373.97879140000003,527.2082981600037,42.686372500000004,204.62727190000012,232.41593295000013,349.5426362800001,147.47594149999998,339.1636957,395.38996009999994,535.0486353600007,201.069566,388.22489,448.768271,628.8529218,0.0,223492567.98333332,0.3753405433289993,12920.0,133.789013,297.6747328000001,361.8592003999999,617.2845103599991,133.789013,297.6747328000001,361.8592003999999,617.2845103599991,,,,,,,,,0.0,125220607.8,0.27240032167182665,835.0,129.892654,592.3192905,891.97965,1471.2200400000017,47.918383000000006,431.57133760000045,682.7206493,1389.0330154200003,,,,,231.48526299999997,718.2445175,1014.63697875,1521.877528450002,0.0,13340710.55,1.5351068395209582,15465.0,198.851265,1834.0433984000015,2753.9446854499993,3363.6497215099994,198.851265,1834.0433984000015,2753.9446854499993,3363.6497215099994,,,,,,,,,0.0,178044868.96666667,0.295887318417933,15929.0,81.205971,282.34376330000003,358.5724362500001,538.9667611499998,51.1470635,211.28581220000004,238.74769904999997,406.58185564999974,99.264881,304.73642720000004,372.73410549999994,517.4592626399998,158.056079,372.514652,450.80552750000004,643.2035449000001,0.0,238214179.11666667,0.3628152164186912
1.5,11643.0,134.5975,358.51365999999996,465.83294800000004,757.1619157000065,76.152263,278.98724400000003,381.27626919999983,659.8678180399992,129.1275315,320.1796727,421.1233171999998,715.7903344299993,235.8475125,463.9407224999999,621.67307645,856.8349655199987,0.0,177651861.06666666,0.39234194119499566,10809.0,161.897806,370.45033040000015,462.6735553999997,715.1865318399991,161.897806,370.45033040000015,462.6735553999997,715.1865318399991,,,,,,,,,0.0,103961498.65,0.2862642217596448,626.0,161.181629,917.3636706000008,1225.8988971999993,1773.3028384400002,50.056468,576.6102321999998,1022.4593430999995,1706.5412882000003,,,,,294.2672415,1085.4147075,1331.93636825,1798.37834615,0.0,13357733.5,2.0481703993610223,16000.0,220.812488,693.0267901999999,1066.0306705,1611.8230810000007,220.812488,693.0267901999999,1066.0306705,1611.8230810000007,,,,,,,,,0.0,181733896.73333332,0.2906048709166667,11877.0,120.361469,361.078142,472.537331,750.9962777999983,69.115734,279.55058779999996,384.22902230000017,634.2796791199999,112.3366145,330.57646370000015,444.81207904999906,810.799101169998,231.88297749999998,471.54129480000006,613.0529258499998,872.4723642400014,0.0,177629664.73333332,0.3845746648704779
2.0,9290.0,187.33162149999998,468.6541308000001,620.0076523499996,893.3451342899999,117.365164,365.612337,472.045785,755.5809743000008,172.92374999999998,435.5403562,602.1268843999995,845.5333008999999,294.536985,630.6150399999999,753.7855271999993,1041.056694319999,0.0,140744953.48333332,0.41226039501255823,8819.0,206.0409565,451.58819800000003,569.60295675,802.6438543999993,206.0409565,451.58819800000003,569.60295675,802.6438543999993,,,,,,,,,0.0,84265668.1,0.3061926932758817,781.0,158.4478315,634.7470967,922.5050209999991,1474.4594731899997,68.36994100000001,410.9905685,671.642373,1369.3901094999999,,,,,244.065265,805.3875085,1054.071062,1531.7782335000002,0.0,11616270.833333334,1.5970876013657704,15590.0,278.38803,623.61082,742.981735,993.3416800000008,278.38803,623.61082,742.981735,993.3416800000008,,,,,,,,,0.0,175774572.4,0.29060240205259785,9406.0,182.363129,468.46855180000006,618.8059213999996,852.8854481200001,110.364584,374.8655420000002,510.6024541999998,736.8699863800002,158.21553,429.55710280000005,570.1622444999998,814.1309421599985,287.553695,619.661029,731.7401219999998,961.8685552000001,0.0,140238250.46666667,0.4060987677369056
2.5,7281.0,226.389826,625.5105102999999,773.6582065499995,1109.36056186,169.920514,488.86187329999984,647.4455217999999,975.3245650000002,219.24922099999998,576.4763714999999,704.7215357999999,1008.9075568100001,363.960417,807.1037359000002,949.4313910999998,1271.6771950000002,0.0,110696841.25,0.44347436135146273,7376.0,229.745229,567.9232627,691.9478920499997,1008.8404510300008,229.745229,567.9232627,691.9478920499997,1008.8404510300008,,,,,,,,,0.0,70076429.66666667,0.32762047089660157,788.0,182.132632,551.365875,810.5276275,1415.062407299997,85.036104,402.775887,574.78732225,1190.1817407499993,,,,,258.12148,686.3214506000007,980.1954130999986,1570.2748257200003,0.0,18263096.766666666,1.7516014407783416,13358.0,301.355161,731.2082086000004,945.6527858000003,1657.2966335199985,301.355161,731.2082086000004,945.6527858000003,1657.2966335199985,,,,,,,,,0.0,151154315.61666667,0.3022972235614114,7753.0,221.606022,578.7074517999998,723.7280089999998,957.0906259200001,161.611985,436.3383486,585.2149874999996,813.24884008,207.904872,520.820759,677.7558134999999,919.2683532999998,363.882669,765.4395693000001,881.2863675499997,1143.9243512000003,0.0,115856492.03333333,0.42978586878197694
3.0,5906.0,270.553542,739.787841,906.1880182999997,1297.7941216600004,206.571936,622.2336092000004,787.0236524,1154.4673772399995,254.9828355,680.5678892000001,834.8152206499996,1181.719769749999,453.366351,924.8799800000002,1078.3213398999987,1585.08258634,0.0,90128932.68333334,0.47707054752229355,6043.0,264.27842899999996,677.2234222,854.3677370499998,1395.3159977800012,264.27842899999996,677.2234222,854.3677370499998,1395.3159977800012,,,,,,,,,0.0,57237601.0,0.35739732252192613,559.0,235.3531545,927.1275844000003,1219.325503749998,1739.2144156700015,107.150161,629.2811352000002,1042.5419523999985,1656.9010475600007,,,,,322.854819,1064.6904080000002,1328.7497466,1830.9852091199925,0.0,12424828.95,2.2602801055456174,12520.0,331.933902,780.9698528000002,970.3684877500002,1444.7367676299993,331.933902,780.9698528000002,970.3684877500002,1444.7367676299993,,,,,,,,,0.0,141600426.9,0.3072690525559105,5579.0,250.5642595,736.6443872999998,968.8113227499987,1657.8317942300039,199.849659,599.8513872000001,762.7041869499998,1452.459009559998,234.332838,688.9154750000004,935.4738805999993,1540.5069710799992,429.731862,1003.4496965999999,1337.7648387999998,1834.6139540800023,0.0,83135230.81666666,0.47996139385791964
4.0,3938.0,404.541961,1126.0097755999998,1498.8442325499996,2168.486286860001,263.9549555,828.1234114000001,1149.3605765999987,1895.4254038300012,402.072096,1078.5437309,1397.6740201999999,2124.8230727399987,694.7454534999999,1525.7917602,1825.3881348999996,2370.9119923900003,0.0,59956373.65,0.5622466919756222,4546.0,370.9292615,872.4841574,1111.37982865,1671.4462683100019,370.9292615,872.4841574,1111.37982865,1671.4462683100019,,,,,,,,,0.0,42922457.25,0.41210935877694677,551.0,267.159476,793.637991,1012.2792475999995,1499.3375927600002,201.860033,627.6184574,810.2266561999998,1184.4218164399992,,,,,379.30422899999996,922.2601334,1155.8224954499997,1706.20618342,0.0,12464300.55,2.2945299655172415,8869.0,465.944308,1162.7586092,1480.9137972999997,2018.871464200001,465.944308,1162.7586092,1480.9137972999997,2018.871464200001,,,,,,,,,0.0,100117655.36666666,0.34021345217423987,4081.0,390.40808,1048.6284233000001,1335.7434888999992,2233.868021010001,257.84254799999997,792.1479465,967.4042505,1454.0188294999996,383.502064,1048.95275,1351.89948,2717.5867648000117,681.026519,1407.2929540000002,1713.4464988,3504.201166960001,0.0,60420318.416666664,0.5448190071877806
