x_var,detock_lsh_p50,detock_lsh_p90,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p90,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p90,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p90,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p90,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p90,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p90,janus_write_p95,janus_write_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p90,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p90,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p90,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_read_p50,cockroachdb_read_p90,cockroachdb_read_p95,cockroachdb_read_p99,cockroachdb_write_p50,cockroachdb_write_p90,cockroachdb_write_p95,cockroachdb_write_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p90,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p90,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p90,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p90,slog_write_p95,slog_write_p99
0.0,52.123321,114.070045,131.52905950000002,307.9205934999986,,,,,,,,,,,,,,,,,139.82994150000002,201.6135664,305.82674715000013,542.2075560200001,,,,,,,,,,,,,,,,,136.671233,372.6237885999999,746.1086817999998,1709.8715640799996,,,,,,,,,,,,,,,,,201.5019115,383.4644997,581.8510673499999,1799.7873071200004,,,,,,,,,,,,,,,,,43.800548,138.72503239999998,149.0540775999999,177.702822,,,,,,,,,,,,,,,,
10.0,13.024323,126.85103160000001,167.89230099999943,225.5169866599998,242.746557,921.54425,1422.825093,2722.4443765,249.960437,967.0591545999999,2132.423562199999,2789.53675996,,,,,,,,,139.366785,196.23314580000002,268.56606860000005,373.4830365199999,,,,,,,,,,,,,,,,,136.121541,325.55593560000034,614.0983835999999,1245.6746330400006,,,,,440.4437315,1109.326693,1377.9195971,1975.5173887399988,,,,,,,,,218.57387,531.9903557,1173.8976143999996,1621.3915869700004,,,,,,,,,,,,,,,,,23.375677000000003,131.5894258,142.54637619999988,728.55798621,176.23492900000002,289.197712,580.14899475,1919.375312,216.743132,352.3048676000006,684.6854819999998,1846.5891332000008,,,,,,,,
20.0,15.825197,80.107915,104.670442,234.96259579999995,198.26649700000002,906.8297514999998,3358.0893503499865,7779.768640779979,203.10702600000002,906.2819623999997,3164.4333561999974,7872.862670460001,,,,,,,,,139.2821425,179.886126,218.35553975,503.3055311499999,,,,,,,,,,,,,,,,,84.5809,197.04760800000003,465.53118624999934,1360.2464365199996,,,,,403.045076,1125.9431496000002,1427.3819423999998,2109.3566095999972,,,,,,,,,247.232979,441.9627998,777.9491999999996,1021.1921819199997,,,,,,,,,,,,,,,,,18.592658,111.501163,724.377477,1331.7985081999993,156.9910155,248.46777110000002,373.08771964999966,1345.0812268200002,162.925233,262.54763220000007,979.1197172499998,1514.9057387199991,,,,,,,,
30.0,13.1074985,58.6016743,61.95418614999999,87.63990626000025,190.600764,707.575062,734.6825285,788.3684478000001,192.508557,705.632392,735.5087509,789.97614948,,,,,,,,,138.207673,186.39547079999994,388.4289365999992,484.92073558000004,,,,,,,,,,,,,,,,,75.141964,215.12751640000002,488.7512132000004,1216.8868235599991,,,,,388.25363,949.8214422000001,1232.5115043999995,1690.41028866,,,,,,,,,226.357144,479.7259733999997,602.9541345,3789.300540419997,,,,,,,,,,,,,,,,,19.162785,39.362501,42.915625000000006,61.07030069999984,170.485159,1472.4278796000003,1620.7952901999997,1711.1464406000002,172.4586365,1464.8098986,1616.1034861499998,1711.1394929100002,,,,,,,,
40.0,12.502608,19.142642,22.233029,120.963316,149.516831,1240.2898336000005,2456.3306522000003,3165.6698713,152.358169,1306.690944,2492.9049115,3215.4845225999998,,,,,,,,,139.4307805,202.07579830000003,240.17308239999997,357.94586000000004,,,,,,,,,,,,,,,,,133.3186655,207.61483790000005,431.99455649999953,1005.2672859999997,,,,,349.565763,804.0544635,1015.6202095,1401.499790149998,,,,,,,,,234.537559,509.75003119999997,949.4912106999999,1556.7359482199997,,,,,,,,,,,,,,,,,12.432326,18.756634,21.198494,32.2557723,156.43399399999998,1643.9197144000002,1974.26242005,2139.2951081399997,159.0841325,1659.1591666,1975.09231775,2148.5474345899993,,,,,,,,
50.0,9.211167,14.006226300000002,18.288296649999996,111.56019342,146.405309,1671.7354278000007,1982.3577705999994,2097.4927051600002,148.4583955,1720.6486101,1993.85211005,2102.67754998,,,,,,,,,139.525888,211.48493580000002,256.1080951,440.8161427999955,,,,,,,,,,,,,,,,,134.8491415,263.90468639999995,678.1510421499995,1299.0239591099999,,,,,336.997525,913.9460688000001,1198.5576406000002,1713.2718932799992,,,,,,,,,172.60101,635.4157976000002,809.7748603999999,1194.26157032,,,,,,,,,,,,,,,,,9.2488005,13.992474300000001,15.924320999999996,30.417440040001097,154.2919845,1412.3231138000003,1650.0256209,1937.6707573400001,156.6815435,1416.1497032000002,1656.8087502499998,1941.9412224399998,,,,,,,,
60.0,8.081389,12.151449,13.913047999999998,28.510985170000005,146.713509,796.3282618000001,820.1447420000001,933.84674444,148.443207,797.3270449,820.697244,941.54336327,,,,,,,,,139.13652100000002,187.21621250000007,235.69919889999989,333.62718154000027,,,,,,,,,,,,,,,,,134.45864,196.636228,444.03164400000003,1138.7574300000012,,,,,324.525741,751.435014,993.2123849999998,1444.073632479999,,,,,,,,,207.8598315,821.358148,1065.580681,3216.95564475,,,,,,,,,,,,,,,,,8.528562999999998,13.419398300000003,15.4927479,26.277301839999872,155.4193085,594.8183705,692.3178216999999,832.48212718,157.7172595,595.9906092000001,689.08754355,837.3501183099994,,,,,,,,
70.0,7.728835999999999,11.7128964,13.48609554999999,50.79985746999995,147.693811,546.1297729999999,572.38723,633.9880015599999,149.65146049999998,548.487613,576.5234525,643.3400045999998,,,,,,,,,138.207023,268.61152500000003,360.33524875,472.7693568500006,,,,,,,,,,,,,,,,,134.79987799999998,169.6940343999999,377.2898080999984,1037.2344052000028,,,,,309.033235,640.2750676000015,927.8043565999999,1423.3474395600003,,,,,,,,,200.679449,846.1376378000004,1585.9896962,2008.4280647799997,,,,,,,,,,,,,,,,,8.0812265,12.8555715,15.06827425,28.029484349999866,156.725298,423.927427,433.57490879999995,542.8736882799998,159.4023055,425.52219759999997,436.11070465,569.9616076100003,,,,,,,,
80.0,7.441479,11.3691294,13.03898465,21.24129715000001,148.965078,423.8236526,429.8290365,442.77584246,150.826281,425.2282935,431.3631265,444.91653949999994,,,,,,,,,138.993795,215.03291020000003,274.36258479999987,352.85900728,,,,,,,,,,,,,,,,,134.860204,158.693452,290.536088,847.3116754999992,,,,,302.9966195,569.2215492999999,811.2323134999988,1414.53401655,,,,,,,,,248.197568,651.0844068,1060.2694155,1328.64065334,,,,,,,,,,,,,,,,,8.361282,13.573008200000002,15.617453799999998,24.790804239999996,159.260338,336.6887474,344.1224522,498.94039804000033,162.025107,339.05834120000003,346.50894939999995,561.1483362399911,,,,,,,,
90.0,7.6439745,11.7938175,13.8024995,57.06770514999997,153.8861415,363.5226577,370.6219848,581.4026145099987,156.6594255,365.68006660000003,373.37762749999996,3201.8405685400003,,,,,,,,,137.937594,267.7616176,356.22500879999984,652.8446513600003,,,,,,,,,,,,,,,,,134.991282,149.7514552,243.5607101999995,661.0759079200002,,,,,297.212442,511.8688176,674.3787852999997,948.7611640999996,,,,,,,,,218.297506,790.2411232000006,1149.931706749997,2558.7887519599994,,,,,,,,,,,,,,,,,8.7741155,14.330797,16.5238865,21.920052649999988,163.008367,288.012772,300.0104242,404.62075448,166.13321150000002,290.87361369999996,302.48574390000005,416.7962096799999,,,,,,,,
