x_var,detock_throughput,detock_p50,detock_p90,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p90,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p90,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p90,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,cockroachdb_throughput,cockroachdb_p50,cockroachdb_p90,cockroachdb_p95,cockroachdb_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p90,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p90,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p90,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_aborts,cockroachdb_bytes,cockroachdb_cost
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.0,284.463439,754.1557848000001,1022.6245611999996,1973.857331059999,5.160327499999999,57.64660180000005,224.14421795000015,823.8362608900004,,,,,364.337677,1008.3015170000003,1333.8558021000008,2241.181379609993,0.0,14248789.35,1.9258900548148146
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.0,284.56266400000004,757.073221,1088.8178090000001,1857.618310649997,14.418157,295.453197,650.581744,1657.7962532999984,,,,,427.277872,952.9617637,1269.9947579499994,2018.1882455000004,0.0,16379170.433333334,2.233915821408763
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.0,274.014133,572.3740864,876.12674445,1473.4145083099993,8.475098500000001,140.17861730000033,453.69443764999994,1205.1838275799998,,,,,316.65065949999996,777.0053280999998,1069.9608144499998,1604.7641070099983,0.0,17285982.133333333,1.7334008186836518
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.0,274.066479,679.5268938000005,930.4831108000001,1362.856107379998,6.6321775,204.00654010000002,594.3577459,1121.666813099999,,,,,311.962124,843.0650726000001,1083.7859884999996,1462.8870589800015,0.0,16590675.65,1.762844912303665
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.0,274.450401,636.4014814000004,902.0622811000001,1437.0555211800008,6.903407,206.316251,577.3377097999997,1200.5972035599998,,,,,309.1400365,822.6434517000001,1085.2672782,1542.4702172500004,0.0,17877551.933333334,1.7779158531951638
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.0,274.468696,675.0737666,1029.6163003499992,1643.4656070100007,6.595712499999999,194.29597860000024,658.6835576499997,1436.53315716,,,,,315.0054905,887.7772068000003,1197.5506085,1756.9377142200015,0.0,17194927.95,2.01616996884273
0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,269.28147,321.84448160000005,583.8362382,13822.273699639998,4.757036,35.86714860000003,297.04145989999955,13249.177450339992,,,,,273.930421,380.12877790000005,664.3179465999997,15027.427567010005,0.0,13948282.816666666,3.516211022644927
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,269.653932,627.7918862000001,11753.257846600003,15217.200599280002,4.6401085,194.692836,11103.425378,15002.757250099998,,,,,272.883348,2072.0585688000015,12651.136178799994,15325.272679160003,0.0,7794133.3,7.410649784810127
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,271.09445,18068.4384364,20332.6162356,22621.814654599995,5.2427045,17140.809207600003,19996.431717149997,22336.64057088,,,,,274.050236,18477.1458254,20527.947623699998,22770.046105920002,0.0,3585587.966666667,22.639828319444447
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,5275.001146,28144.086096,29229.697916,53579.11524972001,20.545598499999997,28142.852192500002,29032.32521495,49718.838527220236,,,,,11008.070178,28143.9259556,30159.558165299983,53565.407074439994,0.0,2122903.8666666667,75.53271980952381
