x_var,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_lsh_p50,Detock_lsh_p90,Detock_lsh_p95,Detock_lsh_p99,Detock_fsh_p50,Detock_fsh_p90,Detock_fsh_p95,Detock_fsh_p99,Detock_mh_p50,Detock_mh_p90,Detock_mh_p95,Detock_mh_p99,Detock_aborts,Detock_bytes,Detock_cost,Detock_fixed_cost,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_fixed_cost,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_fixed_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_fixed_cost
m5.2xlarge,22333.0,482.16094499999997,3266.9336441,4938.192917449999,8295.09576524,160.857968,908.1786740000006,1640.6629019999934,3587.26100647,1532.589213,4619.4265175,6339.1010925,8820.812409200002,1767.984134,5038.5920901,6772.45417975,9444.316631960002,0.0,1140695057.0604167,2.168541051492061,0.4440613541495644,22105.0,416.796653,2780.5969303,3138.35594755,3898.7729835900027,416.796653,2780.5969303,3138.35594755,3898.7729835900027,,,,,,,,,0.0,660066726.0104166,1.5075672269091338,0.44864158435748575,17025.0,1609.000963,7886.619078,9382.616517999995,10989.28285096,1609.000963,7886.619078,9382.616517999995,10989.28285096,,,,,,,,,0.0,635680536.0791667,1.7129437755930812,0.5825093816283243,18286.0,618.4575365000001,4323.9453823,5675.783027299994,8796.452943250004,91.7953555,1177.6010291000007,2421.771993249999,4317.730783599999,1804.229728,5407.049730000001,6806.9319662,9467.870370179991,2161.384942,5860.449472800001,7424.8146645999905,10254.767223359999,0.0,927463027.8375,2.2516515665395955,0.5423396162212742
r5.2xlarge,23092.0,510.4833035,3414.6122167000003,4271.499756699996,6017.905931009993,137.002765,787.9722630000003,1525.3475818999968,3616.237689559998,1637.460233,4077.0638610000015,5071.639249899999,6451.124067320001,1821.001754,4332.398875600001,5282.828673499999,6960.238233869998,0.0,1177249746.18125,2.1523439031633127,0.4294657120311026,24640.0,761.1510765,2082.402316,2372.18519245,2803.6701929900005,761.1510765,2082.402316,2372.18519245,2803.6701929900005,,,,,,,,,0.0,732481402.6541667,1.459463963339309,0.40248466810966804,17261.0,1503.504747,9053.428487700005,10278.94005275,12183.496255940001,1503.504747,9053.428487700005,10278.94005275,12183.496255940001,,,,,,,,,0.0,630554806.2479167,1.6904626105679788,0.5745450566144615,17234.0,647.907874,4216.553834,7053.0198605,13740.391252999982,86.27587600000001,1781.4744095,2106.1814274999997,3514.202006349979,2051.9492044999997,6673.2878234,9815.971130549995,15699.587506209982,2239.166093,7173.241710599998,10531.256146399988,16247.418447759996,0.0,864869483.9166666,2.384473252263774,0.575445179425683
m5.4xlarge,43868.0,168.941492,1867.0670502000007,4306.306136000005,9261.276594819965,35.393921,376.70296580000013,760.5899994999955,5587.134337660022,362.716015,3709.961902800002,5943.821094799999,9713.95165632,405.052804,3995.241043400006,6503.504068500002,10057.012972080012,0.0,2225115646.920833,2.203103062206347,0.22606962301044545,36211.0,556.7197585,1275.3847220000005,1539.1694848999998,2354.1228992499996,556.7197585,1275.3847220000005,1539.1694848999998,2354.1228992499996,,,,,,,,,0.0,1087330549.7979167,1.362069431356417,0.273873193842264,29050.0,738.346895,3308.6448058000005,3938.9406681999985,17250.73270228,738.346895,3308.6448058000005,3938.9406681999985,17250.73270228,,,,,,,,,0.0,1085358738.0270834,1.4380423946404672,0.3413845859628992,43403.0,204.138698,1541.0426500000003,3412.4709663999924,7994.730957079998,32.028272,407.72177800000003,557.7276070999998,4472.682175900001,524.5376205,2929.265922200002,4813.143096950006,9303.995962279987,572.480308,3143.296027,5209.926185,9322.613467,0.0,2179555462.0875,2.184301922876714,0.22849163012285376
r5.4xlarge,37055.0,110.764708,2829.731091,4046.251317,6842.6725135,22.667855,330.48460080000007,678.3072762499997,2888.8587703100006,400.4571605,3957.9018865000003,5283.980754849999,7598.196772189997,490.508074,4066.8518694000004,5551.894204699999,7984.527340560008,0.0,1944633600.8020833,2.1409295660632095,0.2676351969294892,32772.0,621.9450955,1401.1044775,1575.1063121999998,1930.05839539,621.9450955,1401.1044775,1575.1063121999998,1930.05839539,,,,,,,,,0.0,953609197.6979166,1.3602288813206058,0.3026126639272007,28524.0,404.737131,6869.291216200003,12448.052209299989,18362.682549280013,404.737131,6869.291216200003,12448.052209299989,18362.682549280013,,,,,,,,,0.0,1036205444.3270833,1.4115123918912336,0.34767992645569423,33890.0,170.154071,3275.277165800002,5513.110817499999,9508.475430680019,23.0693505,582.6941860000001,1556.3911634499989,5290.1452335099975,564.087089,5167.602238800001,7020.8012709999975,11481.29401208,704.8993875,5396.169814,7040.034598,11693.858838,0.0,1717024508.9375,2.1252595281509215,0.2926297498442674
m6i.8xlarge,79865.0,85.278249,883.8254585000037,2029.7981717999996,2952.535954650001,15.9428215,125.47896770000008,284.47731974999994,1946.8551868499965,206.2718085,1906.3260517,2278.5656927,3517.4139832299998,216.44277649999998,1951.6107959,2288.13537165,3617.478863840001,0.0,4129547651.804167,2.015543644648173,0.12417482279123798,64696.0,310.349383,622.7978382,776.668048,1137.20782234,310.349383,622.7978382,776.668048,1137.20782234,,,,,,,,,0.0,1948102005.3104167,1.224542149890986,0.1532895731146009,59336.0,157.975365,2277.86683,3573.118655,20112.818476499997,157.975365,2277.86683,3573.118655,20112.818476499997,,,,,,,,,0.0,2166209308.710417,1.1693775964597335,0.16713668299552079,85802.0,95.7124925,836.3117405,1634.38518225,2091.6662875,15.932038,91.03595670000001,198.6017784999991,1063.3152579299954,228.0133515,1552.7234660000001,1792.46762415,2502.36704605,252.400082,1667.1139368,1810.5645596999998,2620.3343286799873,0.0,4291400112.3,1.938506869543558,0.11558264635115989
