x_var,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_lsh_p50,Detock_lsh_p90,Detock_lsh_p95,Detock_lsh_p99,Detock_fsh_p50,Detock_fsh_p90,Detock_fsh_p95,Detock_fsh_p99,Detock_mh_p50,Detock_mh_p90,Detock_mh_p95,Detock_mh_p99,Detock_aborts,Detock_bytes,Detock_cost,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,44034.0,146.0258845,1748.2306729,3181.6833225999967,6451.709369199989,28.998626,398.8939736,857.7822303999994,3039.4751647600033,364.991016,2793.557649800001,4675.698556300001,7497.371669580001,446.238778,3075.437223,4869.67683775,7780.755263650008,0.0,2186290792.0729165,2.1096356488478922,38999.0,542.497632,1063.0216658000002,1231.4073746999995,1721.9379274199998,542.497632,1063.0216658000002,1231.4073746999995,1721.9379274199998,,,,,,,,,0.0,1138910333.2104166,1.290574537377383,30933.0,429.5334815,4004.633618900001,5071.731679449997,21005.664191569995,429.5334815,4004.633618900001,5071.731679449997,21005.664191569995,,,,,,,,,0.0,1130645916.5166667,1.364682539738215,48247.0,165.1854735,1696.1420276000006,2743.451572999999,5493.2841194899975,30.597814,292.55817200000007,548.6199885999964,2498.3502143599962,407.4000355,2640.299384000001,3616.524838300005,6128.762469749996,449.086842,2734.7794583999994,3994.648010799991,6500.137528760007,0.0,2355802780.66875,1.796132948357612
0.1,42230.0,105.2918035,1928.2535495000002,3523.7603499499996,7558.78480295,26.376169,241.61469420000006,548.4856172999988,1834.3136874199993,299.731986,3322.240285,4951.288344,9116.794748199995,341.8222495,3544.5270845000027,5170.379279150002,9278.979202629978,0.0,2079888186.6145833,1.851621147619023,36775.0,631.042769,1039.9098664,1164.2857966999998,1429.6598181999996,631.042769,1039.9098664,1164.2857966999998,1429.6598181999996,,,,,,,,,0.0,989908960.55625,1.215776880009442,30782.0,414.181536,3734.76602,5797.596873500001,22833.770701000325,414.181536,3734.76602,5797.596873500001,22833.770701000325,,,,,,,,,0.0,1070696303.4104167,1.2986766826741727,43058.0,154.495982,2177.124692100004,4502.789900499995,5005.462183609999,25.300687,106.22013400000003,281.9525681999993,4496.938833280001,334.9688525,4345.571027000001,4795.212848649999,6643.7256720999985,351.496297,4425.3673118,4811.623471000001,6715.019959640004,0.0,2115464646.2395833,2.0039044879922954
0.2,39888.0,132.5611575,1818.8065291,3634.5325786499993,7884.206795749995,26.0263335,334.7846188000002,533.9628888499954,1660.2062570900011,404.1626815,3445.9164207000003,5276.409367899998,10456.282531250004,446.586859,3537.8614928,5597.226845699998,10603.788427019983,0.0,1958829839.44375,1.8621940877570047,37158.0,654.451753,982.5615784000001,1085.7818128,1275.7940752999996,654.451753,982.5615784000001,1085.7818128,1275.7940752999996,,,,,,,,,0.0,994323506.225,1.2019865580441775,27684.0,527.782155,4236.910783400001,8213.639028999998,24916.12996244,527.782155,4236.910783400001,8213.639028999998,24916.12996244,,,,,,,,,0.0,999476914.3479167,1.3634968451238882,44440.0,192.01277299999998,1802.3682792,2630.6667548499977,5417.02508418999,31.272019,157.59369360000002,354.1617825999995,1963.9652188799985,520.705634,2563.0371280000004,3648.1241144499995,6652.113301589997,556.794951,2638.168538999999,3812.5366722000026,6666.7370031600085,0.0,2130865795.8729167,1.7891694097667583
0.5,36676.0,56.499899,2612.299386,5092.780415799999,15877.79640475939,16.657586,45.06650479999999,101.47407020000006,1656.9853350400097,403.930494,4856.9397850000005,8050.722407249999,22136.603832050143,423.6397055,4952.3012530000005,8201.312963400007,22250.795757099975,0.0,1746601989.5770833,1.736011266774518,37708.0,586.120213,1044.6498638,1173.3833497999995,1473.9485746799962,586.120213,1044.6498638,1173.3833497999995,1473.9485746799962,,,,,,,,,0.0,1018225642.7,1.2136293408199563,20583.0,1103.2890665,7503.2407481,11850.40912975,25346.238926540005,1103.2890665,7503.2407481,11850.40912975,25346.238926540005,,,,,,,,,0.0,692859378.1958333,1.5817859643837013,34663.0,122.219199,3106.721589,7401.087336,24768.679195999997,20.816044,75.89596879999999,140.96961290000039,6453.490460800094,396.138826,6744.565358,12167.050353,37796.676073200026,405.66686,6780.921393,12356.494723,37530.27885599977,0.0,1522711682.4354167,1.6343848821808484
1.0,24376.0,70.585603,6182.675716400048,13830.98504559999,29432.583347999993,12.599161500000001,73.12932150000002,152.64893424999997,11164.895501109993,364.214106,13416.010952800003,20225.72030039999,37160.12204239998,372.5441445,13292.538397100001,20210.0331925,41660.66626688993,0.0,1152457399.4354167,1.9972311855690248,34563.0,540.5882235,1361.9817015,1785.3876885,2768.988137290003,540.5882235,1361.9817015,1785.3876885,2768.988137290003,,,,,,,,,0.0,944485883.9791666,1.2114594965381256,18832.0,887.897924,14345.136393000006,25097.263012399926,55394.31735226003,887.897924,14345.136393000006,25097.263012399926,55394.31735226003,,,,,,,,,0.0,587830908.39375,1.3227239654230676,23748.0,126.150539,5423.566314200005,9658.23877179999,22611.474702999916,13.2102615,44.44796940000002,86.8372999999999,4082.89643496001,650.081161,9339.0043118,13151.784113599993,32558.473985920005,677.1450394999999,9485.979648,13317.4289975,33864.410211250004,0.0,1088966589.6229167,1.8948863372289833
1.5,20314.0,67.6028515,8457.379367099998,13865.148678149977,33352.126806269975,11.4320495,55.39852560000001,176.1683894999997,8362.604542129991,888.685936,13403.9513518,18464.860557899974,45104.67276639998,910.162259,13413.959455799999,18699.549279799983,48840.619939480064,0.0,968201862.2645833,2.011010977982823,27978.0,623.811519,1895.595475,2593.643451,3772.4935160000014,623.811519,1895.595475,2593.643451,3772.4935160000014,,,,,,,,,0.0,767805965.5145833,1.265428699703537,15068.0,1718.858081,23485.925005,43126.289915,101062.3571252,1718.858081,23485.925005,43126.289915,101062.3571252,,,,,,,,,0.0,516824564.75416666,1.590807252486874,18699.0,152.593843,7422.3273736,12537.543237999998,24618.163789359995,11.642368,44.037495,126.0691505,5765.296594599971,942.606477,12290.049451600007,17771.66688495,29806.298364330054,954.844307,12239.048845599998,17598.428583699966,29378.800260809996,0.0,881381099.2145833,2.1277653761115407
2.0,16546.0,90.236871,10051.522263800001,17327.155344999992,28979.63037456,10.77851,109.1935936000007,202.576436,8020.215859999993,1196.168758,17092.0205878,20680.600572099996,35991.695722899974,1247.260612,17039.33282800001,20643.926222399998,37588.55849323997,0.0,798291486.1833333,2.198374337067451,24755.0,738.829101,2027.1801897000005,2652.1513367499997,4637.759642770001,738.829101,2027.1801897000005,2652.1513367499997,4637.759642770001,,,,,,,,,0.0,684006513.7208333,1.3248292531219847,13767.0,2144.636555,17902.358846,26273.825563,64010.420290600014,2144.636555,17902.358846,26273.825563,64010.420290600014,,,,,,,,,0.0,428656066.40208334,1.5381468400502805,16786.0,170.536247,9673.904047000002,17763.32310339997,35839.07834012,11.5104355,51.43836890000005,162.38309624999994,8002.340848960019,1145.409025,16864.8819982,23339.26531245,42994.775828319944,1176.150577,16759.308369000002,23182.850723999985,44991.06218872,0.0,768999634.6666666,2.0587862514765116
2.5,14728.0,111.491365,12008.369549100024,18310.169586299955,35150.025046409995,10.704206,124.78442040000006,206.44347239999988,7258.958451120013,1677.642988,17887.716444899997,27105.070740999963,39405.31171667999,1703.912011,17954.097649000014,27259.048442799998,39599.04156188,0.0,704316055.4208333,2.266954492437402,21976.0,873.3437635,2375.900146,2942.1941605,4367.036982950002,873.3437635,2375.900146,2942.1941605,4367.036982950002,,,,,,,,,0.0,606152697.28125,1.3670816061571585,11840.0,3270.331904,17097.581393200006,27675.90910320007,86967.62149044017,3270.331904,17097.581393200006,27675.90910320007,86967.62149044017,,,,,,,,,0.0,363914244.4583333,1.669610445665588,14236.0,209.022745,9899.549422599996,19375.53340139998,33034.866482159916,11.424187,105.67399020000002,202.0888926999999,5355.687594680087,1844.2557649999999,19174.875134100002,25068.64665994999,40946.341141070036,1869.162924,19020.0181392,24874.79218759999,41123.39013376,0.0,667437235.6458334,2.241443226501281
3.0,13613.0,135.378806,11437.356972,19044.561774499998,35244.56825340001,10.997642500000001,152.37174520000002,212.0649292999998,7549.767858909986,2139.656692,18860.2179026,26206.335422999982,44677.27536343999,2115.9975560000003,18587.04105639999,25625.97639799995,44354.21376914,0.0,634698334.5208334,2.23046466117202,19790.0,956.1635705,2601.1959169,3270.3651121499997,4877.608885470004,956.1635705,2601.1959169,3270.3651121499997,4877.608885470004,,,,,,,,,0.0,546346568.7458333,1.4193182638439734,10647.0,2473.6197895,23289.327502300002,45681.21384414983,86451.55308530001,2473.6197895,23289.327502300002,45681.21384414983,86451.55308530001,,,,,,,,,0.0,347951523.66041666,1.7935407262015646,11210.0,219.37695150000002,10792.600728200003,17373.267429749994,27007.43620950001,11.165595,137.400069,210.4561685,3748.8411334999964,3750.661848,17373.780731,24775.8,28653.727257799994,3744.5100805,17214.51489520001,24565.257212949982,28539.61957841,0.0,542473772.1958333,2.5399616441601003
4.0,11470.0,189.73806100000002,12852.613296099997,21090.407818299995,35248.68552548001,12.239851999999999,207.32295279999997,320.8703835499974,6674.242099749985,2672.513872,21007.940126600002,25966.396731099998,40754.02997458,2710.511239,20967.853948,25841.1274265,40355.4076378,0.0,504563976.7729167,2.293507368289862,16397.0,1124.9138655000002,3215.8296741000004,4190.076595449999,6937.789299410011,1124.9138655000002,3215.8296741000004,4190.076595449999,6937.789299410011,,,,,,,,,0.0,450374082.4770833,1.5039627197361645,9880.0,3009.640813,24712.956605800002,46490.35649639966,130431.54309549999,3009.640813,24712.956605800002,46490.35649639966,130431.54309549999,,,,,,,,,0.0,323665151.9791667,1.8821311336341648,11110.0,279.897882,13965.1298585,24183.61088215,41206.91229163002,14.281812,194.227441,253.07332,4506.8108870000015,2670.8379210000003,24145.861785600002,30350.77012925,44689.503109649995,2694.697113,23934.460013199994,29905.960342799997,44586.5053928,0.0,523000354.4791667,2.457242802733398
