x_var,Calvin_throughput,Calvin_p50,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,Caerus_throughput,Caerus_p50,Caerus_p90,Caerus_p95,Caerus_p99,Caerus_aborts,Caerus_bytes,Caerus_cost,Mencius_throughput,Mencius_p50,Mencius_p90,Mencius_p95,Mencius_p99,Mencius_aborts,Mencius_bytes,Mencius_cost,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_aborts,janus_bytes,janus_cost
0.02,28672,136.845942,447.28569999999996,672.3729208999993,896.79339173,0.0,5269317540,8.115181048,37060,127.360162,336.01307360000004,455.22742980000004,684.56489852,0.0,11212861455,15.247433746,25490,91.343688,667.7450300000004,781.6494782,869.9033467199998,0.0,7952311622,11.3347739464,,,,,,,,,,,,,,,,,30521.0,255.2738765,372.707043,384.7662781,396.42775328999994,0.0,8166856696.0,11.5922280352
0.05,26554,206.47717,752.4392855999998,2214.5106325999973,9736.791264519989,0.0,5156509912,7.9798118944,36146,158.444564,304.590723,419.734052,442.952803,0.0,10922625525,14.899150630000001,26269,79.930677,649.7511068999999,735.65298725,815.7217644599999,0.0,8206955264,11.6403463168,,,,,,,,,,,,,,,,,25948.0,301.582174,414.11395050000004,435.03523825,451.4138731,0.0,7063993628.0,10.2687923536
0.1,27591,143.4314835,285.28069949999997,1981.2047705,7761.004339700013,0.0,5245921416,8.0871056992,36422,53.122991,313.50861740000005,694.3651079999997,867.63940209,0.0,10964679899,14.9496158788,23499,89.682569,720.4401846000003,850.1033131999998,931.2349699599995,0.0,7375409997,10.6424919964,,,,,,,,,,,,,,,,,25007.0,277.65252,407.61213580000003,423.8578157999999,461.2125448400001,0.0,6864521093.0,10.0294253116
0.25,27520,223.378418,415.660803,627.8747735999915,1386.1577456799998,0.0,5191045854,8.0212550248,35771,140.491692,319.0581599,411.64232734999996,453.81100109,0.0,10801726713,14.7540720556,24555,80.432986,691.2973778,799.0749247999998,899.0092579999997,0.0,7685893470,11.015072164,,,,,,,,,,,,,,,,,25851.0,301.266754,432.8442412,454.2421875,469.92588634000003,0.0,7096105754.0,10.307326904800002
0.5,27748,238.2683075,457.2307781,487.6199334,725.98854663,0.0,5235901635,8.075081962000002,35946,115.202943,334.24305519999996,405.13088184999975,432.17990604999994,0.0,10861924414,14.8263092968,25495,83.940742,655.2356738,764.7887989999996,843.46539992,0.0,7954837697,11.3378052364,,,,,,,,,,,,,,,,,25772.0,344.353591,402.4430818,410.76164115,427.3573028,0.0,7016602309.0,10.2119227708
0.9,30446,220.2982115,440.4739204,475.68200995,697.5547020600001,0.0,5656245462,8.579494554400002,35805,142.930685,329.8700832,412.43851399999994,457.08370936000006,0.0,10534018830,14.432822596,25717,79.53958399999999,674.8100650000001,752.33176665,824.64112266,0.0,8002340359,11.394808430800001,,,,,,,,,,,,,,,,,26649.0,261.949559,378.526035,387.5014275,412.37872139999996,0.0,7280937966.0,10.529125559199999
