x_var,Detock_cpu_usage_percent,Detock_mem_usage_percent,Detock_net_usage_percent,Detock_disk_usage_percent,Detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_aborts
0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
0.1,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
0.2,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
0.5,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
1.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
1.5,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
2.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
2.5,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
3.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
4.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
5.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
7.5,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
10.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
