x_var,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_lsh_p50,Detock_lsh_p90,Detock_lsh_p95,Detock_lsh_p99,Detock_fsh_p50,Detock_fsh_p90,Detock_fsh_p95,Detock_fsh_p99,Detock_mh_p50,Detock_mh_p90,Detock_mh_p95,Detock_mh_p99,Detock_aborts,Detock_bytes,Detock_cost,Detock_input_throughput,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_input_throughput,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_input_throughput,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_input_throughput
1.0,35.0,6.763468,140.927728,141.568789,143.1947342,6.476075,138.88162069999998,140.283189,142.23311045,140.177591,142.0467125,142.58887425,144.83267490000006,140.53177,142.225219,143.184653,148.5627891999999,0.0,218157.03333333333,29.124661161904758,35.0,14.0,132.159165,135.6835908,136.3146191,148.81888876,132.159165,135.6835908,136.3146191,148.81888876,,,,,,,,,0.0,72552.93333333333,72.60364704761905,14.0,167.0,6.085108,6.5308237,10.475263499999985,138.61433775,6.085108,6.5308237,10.475263499999985,138.61433775,,,,,,,,,0.0,639138.7166666667,6.15438787025948,175.0,33.0,6.772586,144.6080605,145.89058015,148.56250929,6.515966,138.82133399999998,140.389374,142.36536784,144.4622425,147.1372014,147.83864115,534.73590755,144.90605,147.514441,148.458823,155.7234697,0.0,190896.63333333333,30.873270686868686,34.0
10.0,361.0,6.113184,139.4677624,140.50445265,141.68215843,5.9868950000000005,137.1565814,138.83066820000002,140.82496711,138.80290150000002,141.0047826,141.45749765000002,143.11350353,138.9615005,141.278468,141.66142250000001,143.51645514999998,0.0,1619030.2166666666,2.9013313139427517,350.0,152.0,131.948339,135.00242400000002,135.7003342,137.30498434,131.948339,135.00242400000002,135.7003342,137.30498434,,,,,,,,,0.0,478184.55,6.740550598684211,140.0,1768.0,5.894558,135.5899702,137.7891978,140.29906199999996,5.894558,135.5899702,137.7891978,140.29906199999996,,,,,,,,,0.0,4276360.65,0.6224701430995475,1750.0,357.0,6.149922,142.49205600000002,144.4471783,146.618885,6.019916,137.1666232,138.8336514,140.93800612,142.7063205,145.8389507,146.51850754999998,148.37585195999998,142.910748,146.1620715,146.8349675,148.3096571,0.0,1595196.5166666666,2.9325040065359484,340.0
100.0,3560.0,5.906658999999999,139.8571917,141.20450585,150.3806052500001,5.704245,136.5265048,138.485761,141.27117766,139.226439,144.103759,149.442103,175.885265,139.67162000000002,144.4603166,149.00691455,177.64975441,0.0,11968351.7,0.3523502904494382,3500.0,1513.0,132.145825,134.880358,135.47997255,136.48981304,132.145825,134.880358,135.47997255,136.48981304,,,,,,,,,0.0,4436761.25,0.7295011401189688,1400.0,16318.0,6.772638,137.6482395,139.37812525,141.6997953,6.772638,137.6482395,139.37812525,141.6997953,,,,,,,,,0.0,33611490.6,0.10339685083956367,17500.0,3552.0,5.903494,141.1657481,143.3279216,145.77192492999998,5.7104745,136.3966598,138.04488594999998,140.24421666,141.1581625,144.7722159,145.51470039999998,146.75390674,141.63450749999998,145.2661247,146.00144559999998,147.17115760000002,0.0,11869826.2,0.35258911148648653,3400.0
500.0,17093.0,6.44279,141.48992220000002,142.8861299,172.54063013999945,5.8503975,138.85450020000002,140.4230871,143.81078745,140.6425355,144.4787121,162.50796669999988,239.6312755400002,141.427027,144.96122979999998,160.8415632,231.25197283999998,0.0,52639632.5,0.1209730679225414,17500.0,7427.0,133.835991,135.92891980000002,136.54317859999998,150.20872159999973,133.835991,135.92891980000002,136.54317859999998,150.20872159999973,,,,,,,,,0.0,20654993.233333334,0.1922848882007091,7000.0,36741.0,15.200078000000001,136.1006384,140.19059885,143.82121684,15.200078000000001,136.1006384,140.19059885,143.82121684,,,,,,,,,0.0,75606217.9,0.0687821332571242,87500.0,17309.0,6.548674,143.0570275,145.16118824999998,148.01370655,5.96788,138.7465275,140.27446565,142.54617267,142.65560950000003,146.44655269999998,147.4051748,150.45403952,143.586541,147.375361,148.34843750000002,152.27297035,0.0,51670940.7,0.11834414547345311,17000.0
600.0,20859.0,6.593468,141.6175064,142.8331002,145.32671108,5.942255,139.234703,140.6927849,143.06930436,140.769883,143.50256100000001,144.4286375,149.65930233000003,141.565463,144.25086579999999,145.2293862,151.03351404000003,0.0,64591999.15,0.110592069754063,21000.0,8938.0,133.95531,135.911901,136.4484604,139.47282848,133.95531,135.911901,136.4484604,139.47282848,,,,,,,,,0.0,25139050.683333334,0.1698121518982621,8400.0,37553.0,18.295614,136.13772980000002,140.0226392,143.794016,18.295614,136.13772980000002,140.0226392,143.794016,,,,,,,,,0.0,77611015.3,0.06836258903416503,105000.0,20671.0,6.791973,143.615801,145.6277589,148.70466206,6.106396,139.220077,140.7134675,143.26914340000002,143.218301,146.945689,148.0205182,154.43413453999997,144.116352,147.73943939999998,148.87236959999998,153.60824083999992,0.0,61503753.9,0.1086098920226404,20400.0
700.0,24226.0,6.702632,142.1383234,143.39117005,145.81714015,6.0197515,139.558174,141.03618305,143.44764436,141.2911545,143.9990011,144.8707675,150.75499142999996,142.16792099999998,144.856945,145.788132,154.4948434,0.0,74581831.7,0.10346886130603485,25112.0,10379.0,134.166874,136.2020939,136.98073105,157.21269150999976,134.166874,136.2020939,136.98073105,157.21269150999976,,,,,,,,,0.0,29067277.633333333,0.15380533314063655,10414.0,36658.0,22.668587,137.6695822,140.543818,144.14123687999998,22.668587,137.6695822,140.543818,144.14123687999998,,,,,,,,,0.0,75868340.71666667,0.06908087768927201,122921.0,24004.0,6.949579,143.8899347,145.87341595,149.14322187,6.232689499999999,139.5368368,141.09602335,143.69121201,143.493101,147.318722,148.4274782,152.9407046,144.360079,148.14842,149.31809,153.58200272000002,0.0,71091844.33333333,0.10151795061934123,23820.0
800.0,27574.0,6.946471,142.6019386,143.8443016,146.3277414,6.1968455,139.9635141,141.42462765000002,143.88104031,141.789571,144.4721968,145.3489361,151.22550436,142.6810955,145.2707545,146.17105325,152.71695325,0.0,84315985.16666667,0.09796618928459176,28000.0,11826.0,134.37075,136.7132564,138.3510686,164.30474186000012,134.37075,136.7132564,138.3510686,164.30474186000012,,,,,,,,,0.0,32953150.066666666,0.1415578387733243,11200.0,36944.0,26.253202,138.950695,142.010975,148.77339859999992,26.253202,138.950695,142.010975,148.77339859999992,,,,,,,,,0.0,76467707.3,0.06887056480077956,140000.0,27289.0,7.212636,144.3973694,146.30310939999998,149.50407182,6.4374675,140.0202375,141.5624775,144.1369225,143.94838299999998,147.5999689,148.66759704999998,153.93131334,144.924954,148.5810694,149.7775977,154.54579862,0.0,80194058.8,0.09596838198541538,27200.0
900.0,30792.0,7.354994,143.191491,144.445226,146.950251,6.5386310000000005,140.523482,142.0413171,144.50118611,142.319949,145.0248149,145.90187075,151.1244528800001,143.349719,145.9838138,146.884557,152.32744384,0.0,93470633.01666667,0.09367409263228545,32287.0,13171.0,134.56318149999998,137.1198004,138.92252915,190.98661345000096,134.56318149999998,137.1198004,138.92252915,190.98661345000096,,,,,,,,,0.0,36521742.1,0.13252105701920883,13389.0,37261.0,35.016412,139.469206,141.84024485,146.0660914,35.016412,139.469206,141.84024485,146.0660914,,,,,,,,,0.0,77223721.18333334,0.06869043835824767,158041.0,30501.0,7.621454,144.96097279999998,146.87901300000001,150.44065832,6.7817945,140.56661000000003,142.202416,145.07100169999998,144.435734,148.1728354,149.36411280000002,154.83432915999998,145.4669995,149.23073630000002,150.63059175,156.90005079000002,0.0,89115895.61666666,0.09171233442619367,30626.0
1000.0,33333.0,7.987417000000001,144.56037400000002,146.03378550000002,150.4337051,7.0493805,141.619608,143.25396594999998,146.37334133999997,143.54107449999998,146.79166700000002,148.1821051,175.64705184000024,144.7310445,147.8732167,149.48652719999998,186.30699515999945,0.0,100561241.56666666,0.09078765281652816,35000.0,14718.0,134.73462849999999,137.4843815,139.32718045,168.76251722999928,134.73462849999999,137.4843815,139.32718045,168.76251722999928,,,,,,,,,0.0,40373947.516666666,0.1238265355573674,14000.0,38477.0,32.914581,140.1857551,142.88311705,148.4335535,32.914581,140.1857551,142.88311705,148.4335535,,,,,,,,,0.0,79727579.86666666,0.06782107745752874,175000.0,33474.0,8.159379,146.180739,148.190304,151.8078264,7.1990549999999995,141.6291932,143.38240865,146.53287758000002,145.48693550000002,149.4477151,150.7316119,158.40273099999982,146.69845,150.6358668,152.00243360000002,160.71980159999998,0.0,97016028.35,0.08828704567724205,34000.0
1100.0,36885.0,8.213905,144.908527,146.2762254,149.44031027999998,7.2631084999999995,142.0688485,143.62011735000002,146.45538113,143.930124,146.82496319999998,147.9499932,157.25714604000018,145.1635775,148.0853487,149.2410502,160.21160905000002,0.0,110716944.41666667,0.08755154909403098,39462.0,16123.0,134.988422,138.2801312,140.56005869999996,179.09644541999995,134.988422,138.2801312,140.56005869999996,179.09644541999995,,,,,,,,,0.0,43769256.55,0.11724772877256094,16365.0,38807.0,39.765531499999994,142.540491,145.543917,151.90098446,39.765531499999994,142.540491,145.543917,151.90098446,,,,,,,,,0.0,80444836.63333334,0.067614006047019,193161.0,36400.0,8.812979,147.090881,149.109979,152.924367,7.739566,142.352897,144.173236,147.4067628,146.264731,150.27867,151.6171475,158.6026775,147.741353,151.7621222,153.169008,160.37826972,0.0,104973577.23333333,0.08556240507326007,37432.0
