x_var,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_input_throughput,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_input_throughput,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_input_throughput,detock_throughput,detock_p50,detock_p90,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p90,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p90,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p90,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,detock_input_throughput
1.0,15.0,132.59230150000002,136.07288599999998,137.0999445,145.43771915,132.59230150000002,136.07288599999998,137.0999445,145.43771915,,,,,,,,,0.0,249263.1,67.99901746666666,15.0,172.0,5.965389500000001,6.3080013,9.566319849999987,138.79734346,5.965389500000001,6.3080013,9.566319849999987,138.79734346,,,,,,,,,0.0,1061568.7833333334,6.024601021317828,177.0,23.0,136.520847,144.560781,146.58686749999998,150.52900520000009,13.172315,140.5303812,141.4684141,143.6798077799999,144.820324,147.4976948,148.227021,485.39114777999976,144.100764,147.8256278,148.1832624,352.672959080004,0.0,188063.25,44.29396804347826,22.0,23.0,136.331271,141.3289374,142.0162052,144.35835608000002,10.968613,140.390427,141.468221,144.830899,140.23708599999998,141.7888644,142.0257216,142.70680468,140.5989935,142.6781405,143.11337045,145.13445794999998,0.0,202092.7,44.30616756521739,23.0
10.0,152.0,132.192773,135.17106809999999,135.86927285,136.75620777,132.192773,135.17106809999999,135.86927285,136.75620777,,,,,,,,,0.0,933643.7833333333,6.800479445175437,150.0,1793.0,5.87882,135.5246658,137.85134599999998,140.28584124,5.87882,135.5246658,137.85134599999998,140.28584124,,,,,,,,,0.0,8717898.116666667,0.6633340559583565,1770.0,234.0,135.097933,143.24741179999998,144.8884064,146.87095412000002,9.416469,139.2019228,140.24369760000002,141.84465696,142.922064,145.9695504,146.73907,151.04816040000003,143.082798,146.10637219999998,146.71327939999998,149.18778901,0.0,1745766.75,4.486817670940171,220.0,232.0,134.734974,140.1969613,140.92998125,142.0186142,6.845879,139.1553977,140.20239965,141.67875848,139.06059199999999,141.2015905,141.66032025,146.62692349999998,139.078158,141.162423,141.63451175,142.9750994,0.0,1719946.7666666666,4.523271272988506,230.0
100.0,1510.0,132.4141805,135.068334,135.61121699999998,136.45880857,132.4141805,135.068334,135.61121699999998,136.45880857,,,,,,,,,0.0,7496304.733333333,0.7714742348785871,1500.0,16475.0,6.778129,138.006043,140.00218,142.858179,6.778129,138.006043,140.00218,142.858179,,,,,,,,,0.0,74567357.61666666,0.1521303279109762,17700.0,2354.0,134.35653100000002,141.7182358,143.5684398,145.95959774000002,13.2530265,138.60586849999999,139.74331700000002,141.37648474,141.23276700000002,144.8952539,145.70801205,147.13839672,141.4512465,145.0199957,145.83642925,147.0588132,0.0,15067843.533333333,0.5592000300198244,2200.0,2352.0,134.32347099999998,139.8873576,140.8788745,158.46800814000008,10.507679,138.69701799999999,139.8479104,141.84791472,138.56422500000002,141.2915175,144.0503085,252.0071225,138.658507,141.502431,145.2328625,249.78567530000055,0.0,15146923.166666666,0.5603479861111111,2300.0
500.0,7418.0,133.9875155,135.9906295,136.5544054,160.64599857000078,133.9875155,135.9906295,136.5544054,160.64599857000078,,,,,,,,,0.0,34543333.5,0.22996315314100838,7500.0,32618.0,14.917756,19.705675700000004,29.131958999999995,5825.78420317999,14.917756,19.705675700000004,29.131958999999995,5825.78420317999,,,,,,,,,0.0,146087102.28333333,0.1206923185255585,88500.0,11596.0,136.15739200000002,142.7936612,144.766855,147.51419881,14.911209,140.171504,141.1584486,142.9990028,142.235387,146.05471599999998,146.7940246,149.23519914,142.33639449999998,146.13387659999998,147.1492541,151.69637839,0.0,69106014.7,0.2067195838220076,11000.0,11683.0,136.164984,141.1150422,141.92112155,143.44280714,12.4231045,140.08619009999998,141.0157004,142.48505479,140.100141,142.34356780000002,142.8724868,145.72840212,140.162899,142.493445,143.08934549999998,146.92058880000002,0.0,71013570.76666667,0.208445725869497,11500.0
1000.0,14577.0,135.23334,138.586723,140.996875,173.47636639999988,135.23334,138.586723,140.996875,173.47636639999988,,,,,,,,,0.0,66520972.233333334,0.16089863789988798,15000.0,36458.0,28.497292,44.202163,839.3812243999996,10789.636816400001,28.497292,44.202163,839.3812243999996,10789.636816400001,,,,,,,,,0.0,162892686.66666666,0.11719934536544334,177000.0,22900.0,137.708596,143.946304,145.725501,149.649101,23.833766,141.5304373,142.53541040000002,145.69656827999998,143.311921,146.9637805,148.1647165,155.86451750999993,143.263594,147.062355,148.2381794,157.80216479999999,0.0,135777675.76666668,0.16290626704512376,22000.0,22950.0,137.744559,142.7556338,143.7753923,149.63821719999996,40.558353499999996,141.436879,142.51506650000002,146.24220133,141.860561,144.359895,145.5966305,184.74941450000023,141.7055745,144.4930329,145.63232735,158.85181562999995,0.0,138675907.75,0.1650770437908497,23000.0
1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24574.0,138.459695,143.556207,144.619405,149.79112123999988,17.731792,142.340642,143.39917300000002,146.94701599999993,142.655728,145.2055898,146.2103154,170.65012796000002,142.448678,145.2513754,146.3225416,170.65137013999993,0.0,148247305.63333333,0.1619576020455224,25880.0
1300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29538.0,139.2761115,144.5165089,145.5858703,148.68607477,14.076171500000001,143.262934,144.34851584999998,147.18478904,143.648158,146.2327936,147.1702444,154.68795495999998,143.411064,146.22201719999998,147.1708285,153.0903773199998,0.0,176937879.73333332,0.15416607741440402,29900.0
1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33581.0,140.388416,146.11030960000002,147.405259,152.11305972,18.536137,144.8352666,146.0784047,149.99629237000002,145.054144,148.18965,149.5462425,158.6733894,144.597044,148.0513346,149.3322016,156.76086894000002,0.0,200399891.06666666,0.14957856589539723,35292.0
1700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37393.0,141.3378335,148.06942840000002,149.89825679999998,162.02376392000002,30.2072935,146.6901046,148.41541455,159.24559793,146.568456,150.8008513,153.2732188,172.00523180999988,146.015119,150.24669740000002,152.2838531,170.65385397,0.0,222849353.06666666,0.14633720379037074,39100.0
2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38912.0,142.267447,155.628118,202.770334,288.95329449999986,109.023673,151.298664,192.31235000000007,284.5785854599998,148.2411915,202.78133100000002,251.25485765,303.29723735000005,147.488299,176.78512280000007,217.95904329999993,298.63426045999995,0.0,230483688.65,0.14454856530119248,46000.0
