x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_read_p50,cockroachdb_read_p95,cockroachdb_read_p99,cockroachdb_write_p50,cockroachdb_write_p95,cockroachdb_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
0.0,8.261486,17.612237399999998,33.124097879999894,128.8190835,250.68052070000002,270.74191282,,,,,,,,,,534.623288,1343.36937705,2033.1377551099993,,,,,,,,,,,,,,,,,,,,,,23.833059548254596,27.10985626283369,27.566119096509254,788.4034371931242,1051.6331934648658,1063.877760914206,164.54924499999998,477.52981995,639.6974037899981,,,,,,,,,,,,,9.270987,26.381656399999994,101.4498655999998,162.118103,291.652001,420.91015367999955,,,,,,,,,
0.1,8.634040500000001,20.256307699999997,37.374445819999984,131.570894,286.2106192999999,472.6143697099993,,,,,,,,,,547.52857,1636.8536559999998,2996.9900936399977,,,,,,,,,,,,,,,,,,,,,,29.46834016393449,32.80061475409844,35.33596311475416,788.206655381338,1068.5006949394187,1082.2350588025724,172.579519,476.9624371999996,609.5334337999982,,,,,,,,,,,,,9.490688,28.754961149999986,99.68646683000001,168.764806,379.57887179999994,596.024475680002,,,,,,,,,
0.2,8.466106499999999,22.358586149999987,106.06188721000082,140.1142285,412.81006415,1250.5714527000002,,,,,,,,,,550.238709,1603.8118739999998,2468.7519810999984,,,,,,,,,,,,,,,,,,,,,,32.33452868852461,39.61956967213116,41.62663934426235,845.6869476122633,1123.6226568068491,1139.7719173200371,191.224558,528.65692025,823.46484975,,,,,,,,,,,,,9.364654,29.841799,250.9290489999973,179.577083,551.0295552000002,1611.4888668399994,,,,,,,,,
0.5,8.313239,19.40668609999999,77.92646737000129,147.332504,999.3357852999982,3633.6294723600013,,,,,,,,,,591.737124,1405.8440302499996,2001.5105333799993,,,,,,,,,,,,,,,,,,,,,,37.525717213114774,41.420184426229504,44.61342213114756,951.5998841767752,1259.4191286529115,1273.613105844646,199.717079,663.4285169999997,6496.389402120055,,,,,,,,,,,,,9.014933,25.531181500000002,134.106415,221.191182,1209.380789149999,3221.707762189999,,,,,,,,,
1.0,8.279334,18.334931799999946,197.4419787599998,168.47569850000002,3482.69120875,8021.522217049989,,,,,,,,,,608.694913,1261.4007897,1703.3953801399996,,,,,,,,,,,,,,,,,,,,,,48.466598360655944,52.94713114754118,56.385143442623175,1130.9531361368681,1556.1511225944716,1574.7695652174216,223.486024,1133.7578624999996,7908.820772699943,,,,,,,,,,,,,8.726838,21.969864,251.87014039999568,281.644926,3453.9120629999998,6496.512748319999,,,,,,,,,
1.5,8.220046,19.315134399999994,212.8717589600001,184.614184,6432.2907012999995,17810.834087920048,,,,,,,,,,567.482055,1535.2930459999989,2793.8619744399994,,,,,,,,,,,,,,,,,,,,,,58.83934426229527,65.63186475409856,68.39067622950839,1103.7921507483861,1433.9288221668223,1453.5593638631876,241.706247,1416.7212341999998,7026.730125360787,,,,,,,,,,,,,8.621021,23.496976000000007,458.6766328799932,320.661841,5648.830388549998,11835.818431669994,,,,,,,,,
2.0,8.102284999999998,23.753882049999977,230.9589801199977,201.316583,8183.49260075,17488.924850099997,,,,,,,,,,548.398325,1639.5102197499987,3065.4355177600014,,,,,,,,,,,,,,,,,,,,,,83.38227459016404,94.47407786885246,97.64559426229502,1414.6883374911124,1838.800988952267,1860.4091054882667,248.179707,2367.4280531499976,6647.837107149997,,,,,,,,,,,,,8.61678,39.430615200000034,581.8996598000001,349.616063,8352.777818250006,18789.87694877,,,,,,,,,
2.5,8.298248000000001,58.79295085000026,341.4356120399919,223.63213050000002,5102.371809349995,13106.998863369994,,,,,,,,,,534.1079635,2073.334443699997,3865.474416869985,,,,,,,,,,,,,,,,,,,,,,83.60071721311482,89.53903688524588,94.13719262295078,1587.4694583036778,1986.69384354954,2014.169957234498,278.638637,2305.8032222499996,7878.042819950009,,,,,,,,,,,,,8.686103,107.21563320000052,1018.1201022400055,388.043815,9332.098949799987,16169.46479904001,,,,,,,,,
3.0,8.284699,129.26270879999979,262.03287138000013,227.871033,7574.1986373999825,17967.695079159996,,,,,,,,,,538.880124,2407.2371045,4203.886902800001,,,,,,,,,,,,,,,,,,,,,,97.94866803278691,104.82520491803281,110.45471311475407,1843.5253652886652,2283.319039558087,2310.6822790449064,287.401034,2378.1259566,5880.573590479999,,,,,,,,,,,,,8.699522,154.0028805,614.422459899999,415.7758975,7879.569172249997,15535.782972220002,,,,,,,,,
4.0,8.399162,190.01075589999996,466.29593533999855,257.9432395,5080.932675749989,17439.667363829994,,,,,,,,,,637.3840084999999,2825.2174411499986,4859.285904079998,,,,,,,,,,,,,,,,,,,,,,144.40563524590132,151.70491803278668,165.4396516393439,2521.9849518888273,3184.836225944479,3215.2962580185977,336.8271615,2035.1120041999982,8328.403505790007,,,,,,,,,,,,,8.8076645,195.43116645,717.0910690600003,523.079159,5439.902228900001,12123.15078821997,,,,,,,,,
5.0,8.694249,207.61771199999998,595.4954551800001,302.818197,5771.5782725,10615.562327359987,,,,,,,,,,751.0849685000001,2975.2690146,5321.482831620007,,,,,,,,,,,,,,,,,,,,,,217.0670081967212,228.2117827868852,243.751331967213,3940.0848449750056,4482.870928367731,4523.453813257217,362.9906325,2108.98979695,5859.915691600002,,,,,,,,,,,,,9.121164499999999,210.17944594999997,611.9555918899997,564.7005835,5945.5734197500005,11331.180099850004,,,,,,,,,
10.0,15.413051,489.1685434,1142.0315998400013,478.828961,2733.660401299996,4349.966943699998,,,,,,,,,,1134.40954,4773.223930599998,7862.140040970005,,,,,,,,,,,,,,,,,,,,,,394.760553278689,410.6138319672136,444.47776639344323,7079.531753385682,8020.219609764759,8087.821730220928,621.947614,2669.114062,5054.7048552,,,,,,,,,,,,,15.779569,544.688988,1297.4991488000044,915.343163,4746.942891199999,6318.055037900002,,,,,,,,,
