x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,detock_fixed_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_fixed_cost,cockroachdb_throughput,cockroachdb_p50,cockroachdb_p95,cockroachdb_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_aborts,cockroachdb_bytes,cockroachdb_cost,cockroachdb_fixed_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_fixed_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_fixed_cost
r5.2xlarge,13464.0,37.455875,80.39862134999998,215.12202422000047,36.709653,63.29302199999997,79.67602720000001,167.326252,286.89118039999994,312.2246462,,,,0.0,394080933.88125,1.78206852536187,0.7365732488281507,24200.0,472.322761,3445.602206599999,5932.06008596002,472.322761,3445.602206599999,5932.06008596002,,,,,,,0.0,504959750.225,1.1570659928139349,0.4098025711662075,440.85185185185185,351.12857142857143,2952.7857142857138,3623.8571428571436,,,,,,,,,,0.0,22353591.822916668,24.284630432348983,22.495589347223387,14822.0,284.603717,816.4990426499998,1235.3855454299999,284.603717,816.4990426499998,1235.3855454299999,,,,,,,0.0,366724509.9,1.4799952943620778,0.669087992323723,14750.0,41.0605155,154.65879824999982,329.66623649000013,40.231246999999996,77.81434865000003,168.50891946000004,229.3701995,370.55529,584.573974999997,,,,0.0,410855825.84375,1.6977567326351226,0.6723540489642184
m5.4xlarge,35740.0,9.078734,46.87903479999998,176.83337276000006,8.892606,20.489055399999998,45.39238371999998,131.0317855,256.01663725000003,899.1258141500092,,,,0.0,1044250534.8625,1.2725180711216812,0.27748243486911645,34922.0,497.3919305,1764.8922845000002,3089.83548525,497.3919305,1764.8922845000002,3089.83548525,,,,,,,0.0,771327233.4541667,1.0747771890705629,0.2839820807004817,440.77777777777777,382.2857142857143,2128.328571428571,2866.514285714286,,,,,,,,,,0.0,24849389.95,24.361645506317746,22.49936980085707,24254.0,164.97279350000002,399.11160629999983,571.2616756399999,164.97279350000002,399.11160629999983,571.2616756399999,,,,,,,0.0,620327846.2791667,1.1784554595673793,0.40889017160972296,37252.0,9.424561,116.29613359999796,257.34780729000005,9.228626,33.689595099999984,134.13479117999998,164.604674,327.0448018,653.9620653199996,,,,0.0,1032736416.1479167,1.3005697161632632,0.2662198599329491
r5.4xlarge,39369.0,9.083066500000001,32.547054749999965,166.5484214299996,8.896926,18.636425799999984,29.538684639999982,128.763914,247.73065179999998,261.08184456,,,,0.0,1077608581.5541666,1.1965559371801977,0.2519043466235419,37970.0,485.03349049999997,1632.0134748999994,2542.7024573199947,485.03349049999997,1632.0134748999994,2542.7024573199947,,,,,,,0.0,805161849.4354167,1.0358684099007256,0.2611857314253943,515.1111111111112,271.05,1400.8874999999998,1887.4499999999998,,,,,,,,,,0.0,25378104.7625,20.886892100032355,19.25258843830888,25242.0,160.162121,480.7937744,626.4923439599992,160.162121,480.7937744,626.4923439599992,,,,,,,0.0,615113381.6041666,1.126657603452469,0.3928857547825933,38254.0,9.0047405,122.40145124999951,269.53744038999986,8.8242975,24.327982349999967,143.77106383999964,165.275554,499.9350621000003,1055.1283249900048,,,,0.0,938991329.9229167,1.14086790613055,0.2592466728243379
m6i.8xlarge,50849.0,6.291055,23.895650500000002,162.46091069999918,6.167038,9.3212086,11.935580080000049,124.80699949999999,243.10584595,254.64791786,,,,0.0,1431116952.69375,1.1606703069392814,0.19503278770914317,53520.0,252.785365,1481.7473380499996,2487.88524634,252.785365,1481.7473380499996,2487.88524634,,,,,,,0.0,1182090809.1416667,0.9755274037679326,0.18529936887560206,511.74074074074076,219.675,1027.625,1585.4750000000001,,,,,,,,,,0.0,27427341.972916666,21.21056502880057,19.379387710791054,27431.0,147.761346,363.4281242,484.93077292,147.761346,363.4281242,484.93077292,,,,,,,0.0,699489141.09375,1.1201758830988557,0.36153338275025415,57637.0,6.4441535000000005,61.59561854999993,190.32902795999996,6.309215,9.6831432,22.718524940000204,153.963592,268.49997449999995,282.11515956,,,,0.0,1562004660.3729167,1.111278256264302,0.17206347003178898
