x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_read_p50,cockroachdb_read_p95,cockroachdb_read_p99,cockroachdb_write_p50,cockroachdb_write_p95,cockroachdb_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
balanced,8.405634,17.485649999999954,32.11842303999991,128.62493949999998,249.25237125,265.0983098499997,,,,,,,,,,504.7346895,1293.7695583,1780.5662218100001,,,,,,,,,,,,,,,,,,,,,,156.57510245901614,164.7676229508195,180.03637295081919,4131.032973984303,5092.261056664269,5197.501193870237,158.8242025,480.3488247,635.8471701899999,,,,,,,,,,,,,9.026182,23.801513199999988,100.01682512000002,161.6619585,294.5847991999999,463.7131773900013,,,,,,,,,
us-west+,8.321257,16.894378199999988,83.82457043999976,103.801714,339.4307690500004,1101.47701677,,,,,,,,,,371.415104,2010.33861599999,4368.760744659994,,,,,,,,,,,,,,,,,,,,,,26.677971311475357,30.16188524590163,30.57008196721311,561.40129187455,769.104294369211,781.0412241625105,141.999351,981.0658288,1411.6441348599997,,,,,,,,,,,,,8.475878,16.017965999999998,413.93212459999984,148.812481,1286.5383887999978,2924.5212154800047,,,,,,,,,
us-west++,7.890356000000001,13.410761449999997,395.5985482599978,79.253627,1734.4927485,5747.32732158,,,,,,,,,,318.509674,2194.3367043,4225.854365039994,,,,,,,,,,,,,,,,,,,,,,421.355737704918,464.50122950819673,518.722336065574,7879.040457947153,8680.729784390456,8733.423244832351,123.111164,408.433818,654.00972325,,,,,,,,,,,,,8.425482,16.135837,999.0752283999971,126.465028,3429.7793945999965,7851.864134800004,,,,,,,,,
us-west++_eu-west++,8.726377,18.667515,308.1022231999998,141.9200025,562.7420403499995,2096.8996823699995,,,,,,,,,,462.854787,1682.6727139999994,2559.1646527799994,,,,,,,,,,,,,,,,,,,,,,22.627674897119363,25.367078189300457,25.824382716049428,503.5628108785082,706.4189210950162,719.5977008409465,91.387974,727.7009013999999,1955.73849982,,,,,,,,,,,,,9.059061,26.233366399999998,624.2287097600035,150.400254,2842.395847999991,7025.375698239994,,,,,,,,,
us-west+_eu-west+,8.839295,20.60486975,50.233018850000015,128.651839,228.16884999999996,688.5618853599983,,,,,,,,,,479.911978,1637.921300599998,2899.154082519986,,,,,,,,,,,,,,,,,,,,,,24.70911885245891,28.28094262295074,29.075922131147465,609.5481913756272,819.6425873128958,832.1830898075533,204.244955,438.03211899999997,601.56218422,,,,,,,,,,,,,9.008925999999999,22.008067249999986,146.37942447999887,154.642692,764.307958,3585.479664300029,,,,,,,,,
