x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_aborts,cockroachdb_cpu_usage_percent,cockroachdb_mem_usage_percent,cockroachdb_net_usage_percent,cockroachdb_disk_usage_percent,cockroachdb_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_aborts
balanced,77.71822591145835,34.403124999999996,2.8439326711700827,2.012864583333333,0.0,71.70862955729166,34.073046874999996,2.2640332636177947,2.301536458333333,0.0,5.638125,3.4312500000000004,0.07404325680932203,2.359713541666667,0.0,64.3131591796875,34.261796875,1.6952880955,2.3189062499999995,0.0,79.32864420572918,34.410052083333326,2.7792892769159843,1.8207031249999999,0.0
us-west+,77.77700683593751,35.373124999999995,2.651320151000683,1.9808072916666668,0.0,71.79843912760415,34.44283854166667,2.105963878838115,2.2512760416666673,0.0,4.3261767578125,3.4229687500000003,0.08195628295127119,2.3202083333333334,0.0,66.9256103515625,34.741512419871796,1.7188905399938528,2.2639583333333335,0.0,78.62110188802085,35.40770833333333,2.009430499271175,1.8005468749999998,0.0
us-west+_eu-west+,77.80465983072915,35.65955729166667,2.750748427624999,1.952161458333333,0.0,72.04708007812499,34.548802083333335,2.165215636918958,2.2060937499999995,0.0,4.565751953125,3.447916666666667,0.07291495581991525,2.2830468750000006,0.0,68.62492513020833,34.97203124999999,1.6545101612217517,2.2140625,0.0,79.04336100260417,35.710260416666664,2.4173977763927597,1.7817968749999997,0.0
us-west++,75.19696614583334,35.87611979166666,1.8416851300525958,1.9263541666666664,0.0,71.7617252604167,34.65049479166666,2.092193565715891,2.1577343749999995,0.0,6.106466471354166,3.6256510416666665,0.07803063091172316,2.1567708333333337,0.0,68.85780068824403,34.88591220238096,2.012619607502049,1.785485863095238,0.0,75.71498209635416,35.91536458333334,1.7511483255546452,1.7653645833333336,0.0
us-west++_eu-west++,76.84816080729168,36.105312500000004,2.1673949138763655,1.898515625,0.0,71.54100911458333,34.74856770833334,2.1905796996806193,2.111640625,0.0,4.550202199835526,3.4737960526315788,0.07102796635663843,2.2062212171052633,0.0,67.380302734375,34.808203125,1.90700577016735,1.9047916666666667,0.0,77.16108836638622,36.13571314102565,1.7300598280536357,1.7475160256410254,0.0
