x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,cockroachdb_throughput,cockroachdb_p50,cockroachdb_p95,cockroachdb_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_aborts,cockroachdb_bytes,cockroachdb_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,40381.0,8.43598,39.630865799999974,169.5548741999999,8.261486,17.612237399999998,33.124097879999894,128.8190835,250.68052070000002,270.74191282,,,,0.0,1011809127.9333333,1.1038628408294677,38235.0,534.623288,1343.36937705,2033.1377551099993,534.623288,1343.36937705,2033.1377551099993,,,,,,,0.0,819952188.6791667,1.0277219583080872,515.1111111111112,271.05,1400.8874999999998,1887.4499999999998,,,,,,,,,,0.0,25378104.7625,20.886892100032355,23775.0,164.54924499999998,477.52981995,639.6974037899981,164.54924499999998,477.52981995,639.6974037899981,,,,,,,0.0,570324565.78125,1.144794726382463,39727.0,9.465366,94.56690224999997,223.17926584999998,9.270987,26.381656399999994,101.4498655999998,162.118103,291.652001,420.91015367999955,,,,0.0,1052845150.4520833,1.2109320830845869
0.1,36880.0,8.818619,42.030555899999975,199.67848882999996,8.634040500000001,20.256307699999997,37.374445819999984,131.570894,286.2106192999999,472.6143697099993,,,,0.0,974222481.4875,1.1606920306323816,35150.0,547.52857,1636.8536559999998,2996.9900936399977,547.52857,1636.8536559999998,2996.9900936399977,,,,,,,0.0,798052519.2791667,1.1045133008722536,514.7037037037037,308.79999999999995,1325.4,1744.825,,,,,,,,,,0.0,25485786.24375,20.912768812419046,23713.0,172.579519,476.9624371999996,609.5334337999982,172.579519,476.9624371999996,609.5334337999982,,,,,,,0.0,578555848.6020833,1.1545026096547482,37047.0,9.700773,87.9845969999998,285.22371731999937,9.490688,28.754961149999986,99.68646683000001,168.764806,379.57887179999994,596.024475680002,,,,0.0,999515075.9270834,1.144430020219623
0.2,32791.0,8.640378,72.85699925,246.28109595000024,8.466106499999999,22.358586149999987,106.06188721000082,140.1142285,412.81006415,1250.5714527000002,,,,0.0,880855996.25625,1.1772254382450382,35793.0,550.238709,1603.8118739999998,2468.7519810999984,550.238709,1603.8118739999998,2468.7519810999984,,,,,,,0.0,812974430.0416666,1.094228954974708,516.2222222222223,330.8125,1333.8125000000002,1879.0375,,,,,,,,,,0.0,25055927.691666666,20.821750734341368,21571.0,191.224558,528.65692025,823.46484975,191.224558,528.65692025,823.46484975,,,,,,,0.0,522873468.11875,1.185678578328221,33007.0,9.570422,127.48002969999975,468.47259191999905,9.364654,29.841799,250.9290489999973,179.577083,551.0295552000002,1611.4888668399994,,,,0.0,887406354.9458333,1.0733459273094015
0.5,28791.0,8.481704,59.13572679999994,344.92578991999943,8.313239,19.40668609999999,77.92646737000129,147.332504,999.3357852999982,3633.6294723600013,,,,0.0,773753211.0583333,1.1241157216568451,35643.0,591.737124,1405.8440302499996,2001.5105333799993,591.737124,1405.8440302499996,2001.5105333799993,,,,,,,0.0,794362365.7083334,1.0817394710536121,509.03703703703707,352.3125,1723.875,2273.3,,,,,,,,,,0.0,30027072.147916667,21.28900591089748,18637.0,199.717079,663.4285169999997,6496.389402120055,199.717079,663.4285169999997,6496.389402120055,,,,,,,0.0,453086317.3520833,1.2154977638911248,29699.0,9.205918,110.5384469999998,485.7909503200008,9.014933,25.531181500000002,134.106415,221.191182,1209.380789149999,3221.707762189999,,,,0.0,796301721.46875,1.1329282561615894
1.0,22783.0,8.430411,91.18132459999995,1036.2695116800012,8.279334,18.334931799999946,197.4419787599998,168.47569850000002,3482.69120875,8021.522217049989,,,,0.0,609821670.5291667,1.158132200778053,36001.0,608.694913,1261.4007897,1703.3953801399996,608.694913,1261.4007897,1703.3953801399996,,,,,,,0.0,812296627.975,1.078733331965702,509.1851851851852,471.84999999999997,2248.1625000000004,3120.55,,,,,,,,,,0.0,25012687.525,21.098878673479778,15476.0,223.486024,1133.7578624999996,7908.820772699943,223.486024,1133.7578624999996,7908.820772699943,,,,,,,0.0,368566998.75625,1.2819183744005052,22768.0,8.890687,170.89346084999985,1423.7738885499998,8.726838,21.969864,251.87014039999568,281.644926,3453.9120629999998,6496.512748319999,,,,0.0,616631675.14375,1.190908396646487
1.5,19315.0,8.361226,134.06537059999997,1186.1258761999993,8.220046,19.315134399999994,212.8717589600001,184.614184,6432.2907012999995,17810.834087920048,,,,0.0,524803077.12291664,1.2104642334785853,34585.0,567.482055,1535.2930459999989,2793.8619744399994,567.482055,1535.2930459999989,2793.8619744399994,,,,,,,0.0,777299502.30625,1.06788639544279,503.77777777777777,540.025,1996.4874999999997,2743.0625,,,,,,,,,,0.0,24419036.177083332,21.297434863806796,13858.0,241.706247,1416.7212341999998,7026.730125360787,241.706247,1416.7212341999998,7026.730125360787,,,,,,,0.0,326603828.6,1.3342940920086273,18923.0,8.773179,203.03536479999985,2450.5531771199994,8.621021,23.496976000000007,458.6766328799932,320.661841,5648.830388549998,11835.818431669994,,,,0.0,514225695.7395833,1.3106206773180198
2.0,15252.0,8.2311645,164.50721990000008,1240.1267166499715,8.102284999999998,23.753882049999977,230.9589801199977,201.316583,8183.49260075,17488.924850099997,,,,0.0,420219367.4583333,1.3526636457700447,34936.0,548.398325,1639.5102197499987,3065.4355177600014,548.398325,1639.5102197499987,3065.4355177600014,,,,,,,0.0,782608217.0520834,1.0531878343123062,500.59259259259267,594.5500000000001,2273.2999999999997,3170.8875,,,,,,,,,,0.0,25002176.675,21.400182211860013,12618.0,248.179707,2367.4280531499976,6647.837107149997,248.179707,2367.4280531499976,6647.837107149997,,,,,,,0.0,298395061.6791667,1.411736076134071,16345.0,8.763329,215.16132679999996,3522.1756096199724,8.61678,39.430615200000034,581.8996598000001,349.616063,8352.777818250006,18789.87694877,,,,0.0,436568284.81875,1.3090043150589719
2.5,14633.0,8.4352555,190.2729771500001,2060.703853390001,8.298248000000001,58.79295085000026,341.4356120399919,223.63213050000002,5102.371809349995,13106.998863369994,,,,0.0,393991909.12083334,1.3995652313800806,32547.0,534.1079635,2073.334443699997,3865.474416869985,534.1079635,2073.334443699997,3865.474416869985,,,,,,,0.0,731966343.7916666,1.0514864614132813,501.1851851851852,620.75,2768.25,3749.7000000000003,,,,,,,,,,0.0,29365359.945833333,21.55155418301526,11342.0,278.638637,2305.8032222499996,7878.042819950009,278.638637,2305.8032222499996,7878.042819950009,,,,,,,0.0,265650959.27708334,1.479140375675341,14119.0,8.827141,243.46576689999964,4431.063778319985,8.686103,107.21563320000052,1018.1201022400055,388.043815,9332.098949799987,16169.46479904001,,,,0.0,380823007.7604167,1.4254937367800289
3.0,13118.0,8.4301575,199.84988224999998,938.3958998100009,8.284699,129.26270879999979,262.03287138000013,227.871033,7574.1986373999825,17967.695079159996,,,,0.0,358266507.06875,1.458106851469461,30540.0,538.880124,2407.2371045,4203.886902800001,538.880124,2407.2371045,4203.886902800001,,,,,,,0.0,687915444.0229167,1.0683670764602893,489.07407407407413,721.4125,2956.9875,4194.3125,,,,,,,,,,0.0,23453714.520833332,21.863300468823354,10378.0,287.401034,2378.1259566,5880.573590479999,287.401034,2378.1259566,5880.573590479999,,,,,,,0.0,241619311.48541668,1.5477605344472014,13022.0,8.8471885,258.0133034000005,3044.9582320500085,8.699522,154.0028805,614.422459899999,415.7758975,7879.569172249997,15535.782972220002,,,,0.0,348678471.8229167,1.5101329994523152
4.0,10222.0,8.551787,214.86840759999998,1409.3985302199924,8.399162,190.01075589999996,466.29593533999855,257.9432395,5080.932675749989,17439.667363829994,,,,0.0,281190232.72083336,1.7050603578121266,26007.0,637.3840084999999,2825.2174411499986,4859.285904079998,637.3840084999999,2825.2174411499986,4859.285904079998,,,,,,,0.0,585827284.1604167,1.1320162482221667,480.2592592592593,893.3749999999999,4479.5125,5939.125,,,,,,,,,,0.0,37931534.71041667,22.889360122233356,9068.0,336.8271615,2035.1120041999982,8328.403505790007,336.8271615,2035.1120041999982,8328.403505790007,,,,,,,0.0,213119766.0375,1.7154663388671394,10585.0,8.97917,327.10852059999974,2894.1408514799946,8.8076645,195.43116645,717.0910690600003,523.079159,5439.902228900001,12123.15078821997,,,,0.0,292935818.46666664,1.7455163920911403
