x_var,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_input_throughput,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_input_throughput,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_input_throughput,cockroachdb_throughput,cockroachdb_p50,cockroachdb_p95,cockroachdb_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_aborts,cockroachdb_bytes,cockroachdb_cost,cockroachdb_input_throughput,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,detock_input_throughput
1.0,46.0,163.402978,249.2132796,302.439813,163.402978,249.2132796,302.439813,,,,,,,0.0,975432.3833333333,216.2556052240338,46.0,56.0,126.680794,288.5898065999999,545.3503026799993,126.680794,288.5898065999999,545.3503026799993,,,,,,,0.0,2142088.9875,178.268131593626,57.0,523.0,7.936077,13.730893399999966,184.61328494,7.895387,10.611022899999998,12.520305960000005,152.535632,281.54034975,623.2114704500001,,,,0.0,19016714.85,20.194888188283404,532.0,0.4074074074074074,27.557142857142857,47.92857142857143,50.32857142857143,,,,,,,,,,0.0,20600291.133333333,25789.226086977273,2.0,605.0,7.957877,13.59170349999996,154.29981374,7.912412,10.703093599999999,12.729899719999999,107.0083195,244.940942,256.4099744,,,,0.0,23519794.783333335,17.70987519279155,617.0
10.0,433.0,182.165951,246.6441753,249.04525836,182.165951,246.6441753,249.04525836,,,,,,,0.0,9250664.397916667,23.592075889418144,460.0,574.0,135.107705,273.046636,479.93291312,135.107705,273.046636,479.93291312,,,,,,,0.0,19270905.208333332,18.30089781898471,570.0,5519.0,8.1227175,14.5743256,183.6005668200004,8.055474,11.047820699999997,13.587609899999999,154.718267,267.901681,279.69305448,,,,0.0,175159378.45,2.8778116483574414,5320.0,4.185185185185185,276.3,674.2375000000001,847.2625,,,,,,,,,,0.0,4369674.166666667,2403.538770248894,20.0,6253.0,7.9606895,14.315923399999967,163.62052089000002,7.892297,10.809530199999998,13.294062479999997,126.137112,244.9659851,255.18658668,,,,0.0,202734178.66041666,2.688738372756633,6170.0
25.0,1082.0,182.36217,246.8293811,249.2875416,182.36217,246.8293811,249.2875416,,,,,,,0.0,23486654.814583335,9.870830427192441,1150.0,1425.0,134.071066,274.2072879,480.91951916000005,134.071066,274.2072879,480.91951916000005,,,,,,,0.0,46351010.3,7.945514222962961,1425.0,13797.0,7.978834,14.944250599999979,182.90768557000013,7.8826125000000005,11.283707550000003,14.0827787,155.5085575,268.15344525,280.14666370000003,,,,0.0,387087966.3,1.6682522390716985,13300.0,11.0,253.74999999999997,922.7625,1379.9375000000002,,,,,,,,,,0.0,11371315.15625,972.094123897096,50.0,15772.0,7.6975295,14.690395499999985,163.57062925000017,7.596101,10.9962118,13.627685879999998,126.301867,245.1334513,255.702523,,,,0.0,454084528.625,1.5954652753332208,15425.0
50.0,2167.0,182.493741,246.7866082,249.32951496,182.493741,246.7866082,249.32951496,,,,,,,0.0,47395903.1,5.285641123150925,2311.0,2842.0,137.874188,279.7675283,482.42014316,137.874188,279.7675283,482.42014316,,,,,,,0.0,87178029.35625,4.412605557439499,2886.0,26742.0,8.044140500000001,28.881458199999066,187.08237551000016,7.890247499999999,12.5266615,16.379929500000014,156.4726015,270.43885105,282.66947075,,,,0.0,710633638.4,1.2733184779471949,26609.0,21.74074074074074,245.35,1107.3000000000002,1459.625,,,,,,,,,,0.0,5496049.825,464.3694648203791,101.0,30570.0,7.805035,21.359644,166.17431649999992,7.654911,12.302015,16.229332999999997,127.15178,246.73009000000002,257.09752188000004,,,,0.0,843693729.1708333,1.2513808583119799,30886.0
75.0,3195.0,185.68955799999998,247.05899010000002,249.8136781,185.68955799999998,247.05899010000002,249.8136781,,,,,,,0.0,69971317.5875,3.8274057922969917,3450.0,4231.0,147.44962,347.08977450000003,483.55121643999996,147.44962,347.08977450000003,483.55121643999996,,,,,,,0.0,131412902.70208333,3.2772506169919775,4275.0,36169.0,8.788795499999999,46.108025999999754,189.19245163000045,8.6123,16.42231199999998,28.71165511999998,157.679703,273.069534,291.12776271999996,,,,0.0,978414901.58125,1.2278943965053337,39900.0,,,,,,,,,,,,,,,,,,39424.0,8.616945,41.27645699999998,170.10613581999996,8.443245,18.66623649999998,36.92036549999998,129.0049045,249.8195293,270.11252750999967,,,,0.0,1087296862.35625,1.2246348094031483,46275.0
100.0,4329.0,191.680172,247.408541,249.7255749,191.680172,247.408541,249.7255749,,,,,,,0.0,96388796.32083334,3.0283566675216886,4600.0,5630.0,155.528086,353.84644499999996,484.34288588,155.528086,353.84644499999996,484.34288588,,,,,,,0.0,167692130.40416667,2.6531015292172384,5700.0,37415.0,9.247134,139.21684339999993,279.86766453999996,9.06207,28.78716079999995,211.20633612000037,164.1548545,375.7318088999998,860.8441194099998,,,,0.0,1023376087.5479167,1.2999059556364798,53200.0,43.25925925925926,248.5,1115.7,1509.95,,,,,,,,,,0.0,5717701.645833333,233.82699923646192,200.0,32131.0,8.618266,155.53507959999956,734.1731728799995,8.4610585,53.73895099999981,654.3407164399978,145.824078,846.1215625,1801.5100564000015,,,,0.0,901122898.0979167,1.3836525471829297,61700.0
125.0,5405.0,210.86344300000002,247.52031455,249.99324327,210.86344300000002,247.52031455,249.99324327,,,,,,,0.0,119858706.75625,2.5652935236496557,5750.0,7019.0,160.146363,359.8774046,485.03494056,160.146363,359.8774046,485.03494056,,,,,,,0.0,204665189.56041667,2.286977826778704,7125.0,26952.0,8.7615835,260.5370470499997,2113.6633558700014,8.606942,90.39009439999994,1646.3304498799998,163.961277,2045.498755399995,3487.274623879999,,,,0.0,728255245.5354167,1.515131696653361,66500.0,,,,,,,,,,,,,,,,,,27584.0,8.748333,141.9693515999999,1383.2694945200135,8.589135,25.134737,827.6120169999965,142.479599,2043.2816205,4133.515191750001,,,,0.0,759214369.9,1.2559699814722511,77125.0
150.0,6365.0,211.18184200000002,247.83037945,252.03138355000004,211.18184200000002,247.83037945,252.03138355000004,,,,,,,0.0,124537139.97083333,2.1837113048692935,6934.0,8312.0,160.817828,364.35425989999993,485.94572308,160.817828,364.35425989999993,485.94572308,,,,,,,0.0,226545672.17916667,2.005107473328387,8660.0,28504.0,9.004496,164.46218775,1681.9865628900022,8.842675,33.31967819999984,1328.6959804800038,164.658247,2489.95954,4516.622568600001,,,,0.0,742616694.6041666,1.3957654428206467,79827.0,,,,,,,,,,,,,,,,,,26045.0,9.061824,132.449444,2623.5999422000045,8.89068,25.9999813999999,1768.8502500399884,141.63314400000002,3686.4295550500037,7449.932658359999,,,,0.0,711978267.4958333,1.1642121504204794,92658.0
200.0,8640.0,210.65812849999998,247.8289384,250.34503923000003,210.65812849999998,247.8289384,250.34503923000003,,,,,,,0.0,172468034.725,1.7864586352856542,9200.0,11177.0,161.084621,363.3057472,485.86953383,161.084621,363.3057472,485.86953383,,,,,,,0.0,285632298.35,1.6344206488839925,11400.0,27156.0,9.695784,213.08136525,2165.4734524000196,9.5011735,99.87026134999999,1627.840946620001,167.7632735,3099.901956349999,7035.18505447,,,,0.0,676175295.11875,1.406715259184332,106400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,10731.0,211.4304985,248.13698434999998,266.5766988700012,211.4304985,248.13698434999998,266.5766988700012,,,,,,,0.0,233512021.925,1.629929953261708,11557.0,13944.0,160.5439215,364.38386879999996,486.02306517,160.5439215,364.38386879999996,486.02306517,,,,,,,0.0,361394182.1145833,1.491463997298221,14433.0,,,,,,,,,,,,,,,,,,106.66666666666667,315.6375,3640.6499999999996,4362.075,,,,,,,,,,0.0,9733073.364583334,95.98837173352864,509.0,,,,,,,,,,,,,,,,,
