x_var,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_aborts,calvin_bytes,calvin_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_aborts,janus_bytes,janus_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_aborts,slog_bytes,slog_cost
0.0,55268,82.2255565,105.67694120000002,114.27556755,3264.992462599998,0.0,11045049144,15.0460589728,64115,74.244766,130.8812314000001,344.20118574999975,791.6055347799976,0.0,19529275886,25.227131063200005,28426,119.941829,231.6387153000004,6170.690763349994,18570.43900688,0.0,7516112809,10.811335370799998,80805,83.296133,106.95955520000001,120.07301919999999,153.9881686000001,0.0,22925019125,29.302022950000005
10.0,52771,58.690531,93.2792852,1638.3866616999999,6270.125972719999,0.0,10740152201,14.680182641199998,49143,106.827582,161.42112749999998,181.0474758,527.3672658100008,0.0,15187029086,20.016434903200004,21633,110.703139,1665.5190924,18361.098155799995,25802.6346469,0.0,6434657495,9.513588994,43834,104.5460175,151.4397917,184.55769494999993,869.319214799996,0.0,13040167971,17.4402015652
50.0,11024,345.11002399999995,1478.4355285000001,3364.866076849987,19273.98929014,0.0,2364911241,4.6298934892,6702,714.71993,2552.4086632,2868.316885999999,3699.3492006399993,0.0,2228412345,4.466094814,3769,1268.082327,2922.1541847,4303.715029,7258.2904280700295,0.0,1220315349,3.2563784188,6701,727.882548,1673.1668386000001,2043.6887840499996,2499.6922743100004,0.0,2148828558,4.370594269600001
100.0,5266,873.9522775,7818.2782495,18890.5135405,27653.87071525,0.0,1164524681,3.1894296172,44,72437.37345,233329.67096480003,245696.936533,254840.8585246,0.0,70623838,1.8767486056,1730,3055.709278,6287.084655299999,6720.5573853,8511.032330349999,0.0,547584331,2.4491011972,2478,2348.1943495,8403.920061899998,10137.7118061,10911.109849490002,0.0,834690807,2.7936289684
250.0,1985,2681.3614445,6838.7508557,8264.194051749997,9355.485286660001,0.0,460348256,2.3444179072,14,186892.229876,611933.3320774002,635291.6944376,657857.43615552,0.0,99053111,1.9108637332,851,5432.7025025,13199.111454,14999.904763049986,18611.085048679997,0.0,284159235,2.132991082,995,6009.110919,11045.151298,13648.407363999999,15406.477165800003,0.0,359653507,2.2235842084
