x_var,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_aborts,calvin_bytes,calvin_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_aborts,janus_bytes,janus_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_aborts,slog_bytes,slog_cost
0.0,69988,43.528383000000005,59.722297299999994,68.30971944999996,4317.690451210019,0.0,12880692469,17.2488309628,75546,84.2822465,152.61715800000002,184.481899,227.499697,0.0,22533454143,28.8321449716,32096,82.813965,159.2368022,258.5454459999967,58665.46077935997,0.0,8180081151,11.608097381200002,76842,85.6823,118.74159700000001,141.1752243,198.15505126,0.0,21824320895,27.981185074
0.1,66153,45.334756,57.860272,72.5241,4639.609908200021,0.0,12910828536,17.284994243200003,70804,77.545667,165.18769600000002,220.1932589999999,290.91086463999994,0.0,21202631965,27.235158358000003,33167,88.511969,203.14473870000094,8836.849351899977,42960.88556899,0.0,8545381932,12.046458318400003,77529,79.415932,116.13046899999996,164.15256979999998,223.51946003999998,0.0,22014376671,28.209252005200003
0.2,61336,48.0808225,78.099879,245.992014,2787.557620799999,0.0,12213487010,16.448184412000003,63355,75.830676,153.98373640000037,238.6863933,492.5832124399982,0.0,18892374782,24.4628497384,26719,88.900316,760.814456,3552.342505,55859.2599594,0.0,6989089787,10.1789077444,74271,73.9432485,139.75300639999995,191.54472094999977,273.97103677999917,0.0,21048233730,27.049880476000002
0.5,55686,54.369848,241.056642,460.6489941499999,941.2892383999975,0.0,11287086361,15.3365036332,31687,75.105563,323.7671122000003,669.0025123999992,2246.1011352799997,0.0,9504020739,13.196824886800002,18126,87.6762875,943.2568302000001,36729.698533699884,160963.57856323,0.0,4912109729,7.6865316748,57406,71.816651,235.40105960000002,289.0315700000001,520.3335398400002,0.0,16340573142,21.4006877704
1.0,34484,66.01279600000001,264.61672,483.605813,3080.09255975,0.0,7209538194,10.4434458328,19256,115.87026,1732.2911736000012,3805.0352791999985,6933.098208000001,0.0,5881934167,8.850321000400001,9465,203.604882,7078.1407766,44275.9997354,266971.82409396,0.0,2472634444,4.7591613328,36432,110.456109,335.309919,433.190566,669.862190000001,0.0,10393011261,14.263613513200001
2.0,18361,240.965217,745.827455,1058.7945025,1557.0312028999997,0.0,3680177548,6.208213057600001,8350,308.36069399999997,5366.029041500004,7482.73078825,11025.38511707,0.0,2547740788,4.849288945600001,4395,850.9180275000001,16971.386090199998,51763.020749049996,114053.05747313,0.0,1221337350,3.25760482,16991,287.71439599999997,697.4964930000002,871.0480912999999,1337.22852634,0.0,4841131199,7.601357438799999
5.0,5561,995.1990814999999,2518.5406516,4218.705621049996,6817.046054510001,0.0,1153523536,3.1762282431999997,794,1820.681627,27189.1398947,30410.2596452,33229.51741805001,0.0,329163917,2.1869967004,1779,2272.9731965,30931.1589751,48235.3725283,52469.16333936,0.0,544822869,2.4457874428,4807,1281.4940904999999,2893.1555460999994,3738.0716006999996,4882.99741542,0.0,1403897362,3.4766768344000005
10.0,1726,2430.6683485000003,25957.80958270001,31799.549973449997,38427.28094176,0.0,373190285,2.239828342,95,64245.655025500004,87739.48762660002,97087.30588709992,111354.90011616003,0.0,62009471,1.8664113652,685,9204.704057,12431.914299,12919.9198,14390.294204,0.0,208428204,2.0421138448,1100,4621.85614,11718.4236794,15703.500917399993,19946.22267182001,0.0,368758995,2.234510794
