x_var,Calvin_throughput,Calvin_p50,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,Janus_throughput,Janus_p50,Janus_p90,Janus_p95,Janus_p99,Janus_aborts,Janus_bytes,Janus_cost,Caerus_throughput,Caerus_p50,Caerus_p90,Caerus_p95,Caerus_p99,Caerus_aborts,Caerus_bytes,Caerus_cost,Mencius_throughput,Mencius_p50,Mencius_p90,Mencius_p95,Mencius_p99,Mencius_aborts,Mencius_bytes,Mencius_cost
0.0,,,,,,,,,,,,,,,,,105706,56.184604,86.42342699999999,88.98675879999999,120.75051144000005,0.0,7436861315,10.716233578,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,100442,22.528408,92.896446,98.28953659999999,869.440449400004,0.0,7599839260,10.911807111999998,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,,,,,,,,,,,,,,,,96200,39.994713000000004,65.3382879,79.40662700000001,1296.095362519999,0.0,7422614330,10.699137195999999,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,,,,,,,,,,,,,,,,95785,38.2921175,48.475227,68.95187449999999,1173.7424587599992,0.0,7591832973,10.9021995676,,,,,,,,,,,,,,,,,,,,,,,,
40.0,,,,,,,,,,,,,,,,,103166,37.485019,65.57623960000006,209.03951219999948,625.0482972799999,0.0,8334611468,11.793533761599999,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,,,,,,,,,,,,,,98612,40.2192555,84.39365099999999,208.19791905,445.9428694400003,0.0,8237309540,11.676771448000002,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,,,,,,,,,,,,,,,,101933,38.834026,70.7688404,354.14749299999926,416.8902162800002,0.0,8751077708,12.2932932496,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,,,,,,,,,,,,,,103694,40.246401,102.25055739999989,220.83060449999982,331.64576038,0.0,9038132040,12.637758448000001,,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,,,,103394,39.586263,84.10793660000002,276.73453059999997,334.65374168,0.0,9208171434,12.841805720799998,,,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,102684,40.328278,101.7798165000002,260.33809184999996,284.34022432,0.0,9375966486,13.043159783199998,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,105395,46.5779515,111.1112568,141.82364955,167.83146147000008,0.0,9837467555,13.596961066,,,,,,,,,,,,,,,,,,,,,,,,
