x_var,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_lsh_p50,Detock_lsh_p90,Detock_lsh_p95,Detock_lsh_p99,Detock_fsh_p50,Detock_fsh_p90,Detock_fsh_p95,Detock_fsh_p99,Detock_mh_p50,Detock_mh_p90,Detock_mh_p95,Detock_mh_p99,Detock_aborts,Detock_bytes,Detock_cost,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,16560.0,31.940077,140.0220395,173.94186175,285.35067999999967,31.1531735,139.16280180000004,172.86732939999996,276.3898787699999,40.3730345,154.38593309999993,208.20551389999963,1075.3578686599992,,,,,0.0,199918348.86666667,0.3027395517713365,13926.0,143.425737,268.45122620000046,320.0081262,381.06011238000036,143.425737,268.45122620000046,320.0081262,381.06011238000036,,,,,,,,,0.0,151362202.53333333,0.29026598094690986,11038.0,182.191592,557.4677362000003,602.8903823999999,876.1768155599966,182.191592,557.4677362000003,602.8903823999999,876.1768155599966,,,,,,,,,0.0,118133074.58333333,0.3060030342151356,17677.0,46.568024,108.7512546,116.77419364999999,143.2562822000001,45.930059,108.20240120000001,116.09418819999993,142.54276283999997,57.114262,117.8099032,126.15070980000002,152.78364247999994,,,,,0.0,209511012.63333333,0.29446287563877743
0.1,16110.0,27.591031,112.282334,175.131969,468.70243579999874,26.527173,108.52083960000002,157.3782366,285.6187103600001,56.82956299999999,623.446306,1564.03240925,2068.735457099999,,,,,0.0,192781935.81666666,0.30233635731429753,14233.0,108.6567155,345.81410420000014,384.8486142,424.9419654399996,108.6567155,345.81410420000014,384.8486142,424.9419654399996,,,,,,,,,0.0,154512147.95,0.2884313186959882,9687.0,213.625952,1405.7289222000002,1650.8374178,1868.2692291400003,213.625952,1405.7289222000002,1650.8374178,1868.2692291400003,,,,,,,,,0.0,104472267.48333333,0.320475415470906,18539.0,30.412900999999998,104.0899884,123.62725504999999,203.37687537999994,29.414691,103.5030052,122.77988119999998,200.81662464000013,40.907438,113.35187859999999,136.24938799999993,369.9170982399893,,,,,0.0,219874513.7,0.2919515763525541
0.2,17518.0,38.727163,120.17119210000001,168.05013119999995,254.95240733999958,38.003646,119.80941880000007,168.63933459999998,257.3151145600012,50.050475,124.955665,159.8158785,225.08416329999997,,,,,0.0,211741151.96666667,0.29968164398523417,14543.0,116.700318,319.31991300000004,348.4328115999999,396.96330295999996,116.700318,319.31991300000004,348.4328115999999,396.96330295999996,,,,,,,,,0.0,157863864.43333334,0.2868924767012767,10863.0,214.863883,512.654537,561.7245164999999,698.4680985,214.863883,512.654537,561.7245164999999,698.4680985,,,,,,,,,0.0,117373448.28333333,0.30953410343981097,18600.0,40.174542,104.1515644,141.55371269999986,228.27507375999903,39.69587,104.09347780000007,141.9654258,229.41358985999966,47.715882,104.64861690000001,135.3321118499999,212.78764121000057,,,,,0.0,220886917.43333334,0.2920827069175628
0.5,14596.0,31.769703,87.41204350000001,145.976876,750.321834,30.773956,82.090456,113.25410539999966,254.6455386400002,60.345259,972.3148452000003,2729.8144053999795,8469.48378292,,,,,0.0,177967764.46666667,0.31339786854846086,14472.0,124.228039,300.7960704000001,346.41116535,417.54731290000007,124.228039,300.7960704000001,346.41116535,417.54731290000007,,,,,,,,,0.0,156008941.25,0.2857365136124931,10630.0,198.209016,612.78988,826.7780422999989,1095.7861586200002,198.209016,612.78988,826.7780422999989,1095.7861586200002,,,,,,,,,0.0,114327113.86666666,0.31058723211037936,18295.0,41.389969,104.33464860000001,156.12594579999998,237.6554299300002,40.872654999999995,102.99120440000002,153.23684255,234.8565381499992,51.4461845,133.670983,199.89412525,290.64145475000055,,,,,0.0,217823379.01666668,0.2936030380067414
1.0,15082.0,48.090721,137.11466420000002,212.49748279999997,282.0426784400001,46.961861,127.86956430000008,209.81643179999998,274.74740096,75.771333,223.063382,266.485581,442.0066708,,,,,0.0,181710241.06666666,0.308261823454007,13664.0,129.379223,285.20932500000004,344.78045925,494.81894919999917,129.379223,285.20932500000004,344.78045925,494.81894919999917,,,,,,,,,0.0,146639471.28333333,0.28891901534445746,10560.0,135.48390849999998,1234.3864560000002,1426.0406387500002,1653.7525847499999,135.48390849999998,1234.3864560000002,1426.0406387500002,1653.7525847499999,,,,,,,,,0.0,113733166.43333334,0.3115211485479798,14295.0,50.4530405,171.613171,225.05369149999999,299.0975264500001,49.79555,165.98242,223.648338,294.49907490000004,63.970735,217.5630808,255.6396571,427.5471336999997,,,,,0.0,170273054.53333333,0.3092312760172555
1.5,11853.0,50.1942465,217.7857087,251.5457395499998,460.80517981000014,48.9418185,215.66180260000004,247.08683975,440.7942689499999,85.637833,280.38980760000004,358.10008644999994,671.4149633699991,,,,,0.0,142850289.25,0.3266688420652999,12534.0,121.080738,329.559852,408.704165,696.638526,121.080738,329.559852,408.704165,696.638526,,,,,,,,,0.0,134459219.61666667,0.2955309073187597,11443.0,146.48632800000001,418.7817927,495.62225109999963,622.7919456699993,146.48632800000001,418.7817927,495.62225109999963,622.7919456699993,,,,,,,,,0.0,123271913.21666667,0.3041543532581782,11311.0,52.9662625,226.82933830000007,267.3554721,422.9603533699999,52.156450500000005,225.7147553,266.13501979999984,420.19802408999993,69.1309435,253.26786890000002,294.76948204999997,473.64823708999916,,,,,0.0,134150437.58333333,0.32693915230012094
2.0,9272.0,50.222834,258.849549,332.5854815,663.0637826999991,48.715344,255.15510880000002,325.15366399999994,661.92509176,93.4860065,318.0085889,445.6367865999999,705.6733684700001,,,,,0.0,111831624.6,0.35069375452976703,10654.0,143.925973,398.24096399999996,524.9877685,837.2105615,143.925973,398.24096399999996,524.9877685,837.2105615,,,,,,,,,0.0,113303818.05,0.30796661920405477,11290.0,147.801238,346.92934180000003,415.04456744999976,681.1211499400004,147.801238,346.92934180000003,415.04456744999976,681.1211499400004,,,,,,,,,0.0,119957726.58333333,0.3024051843814586,9244.0,55.965294,260.28597740000004,339.03483029999984,604.0037960500011,54.501621,256.29738920000005,330.16860299999996,574.9357601199998,107.664115,358.1848511999999,489.68718229999996,724.5384199799998,,,,,0.0,110064311.03333333,0.347932304269436
2.5,7888.0,61.322207500000005,295.9771301,410.11029249999956,661.0505131000002,58.811846,288.0686066,399.2050180999999,649.8885152399995,159.253982,453.8630205999999,570.2365717999999,763.73152856,,,,,0.0,94711589.01666667,0.36881741637085863,9023.0,186.776916,479.966731,640.370452,926.6214355999992,186.776916,479.966731,640.370452,926.6214355999992,,,,,,,,,0.0,96119697.93333334,0.32554515778196463,10332.0,160.9156565,382.7527518999999,498.3483239999997,827.4513794300003,160.9156565,382.7527518999999,498.3483239999997,827.4513794300003,,,,,,,,,0.0,110160646.96666667,0.3114801528584334,7059.0,66.3458575,328.99386559999994,494.8208257999998,780.9890961000004,64.290779,322.269677,482.208751,770.4406040999987,131.394574,442.9452016000003,641.7476193999998,860.95115352,,,,,0.0,84298862.7,0.38262887859470185
3.0,6312.0,86.359359,380.1049872,489.37823579999883,822.6227994700005,81.12382,372.7659786000001,478.2880042,796.97317964,208.141873,519.5729944000003,666.7397063999992,998.2072548600008,,,,,0.0,75752653.6,0.40083223574144483,7116.0,217.2644005,619.3159697999997,780.9925476499999,1427.3769392100007,217.2644005,619.3159697999997,780.9925476499999,1427.3769392100007,,,,,,,,,0.0,76075720.96666667,0.3564522792767473,9442.0,175.59998,434.39738779999993,563.88874915,854.2680119500005,175.59998,434.39738779999993,563.88874915,854.2680119500005,,,,,,,,,0.0,101249057.5,0.3219636888371108,6036.0,82.561806,409.4829582,558.3174203999998,830.8691022400001,77.622243,398.0266892,537.1305860499998,814.7441928000001,210.261435,610.1844006,771.1254823500002,1298.23922892,,,,,0.0,71895625.33333333,0.4063804683013033
4.0,4333.0,159.0879185,563.759606,751.7275871999999,1394.1467532700008,148.9939875,543.3845375000001,733.297501,1353.0761954999991,273.717151,798.5611959000004,1034.1738982499999,1662.734555770001,,,,,0.0,52058214.166666664,0.4745359527655974,5239.0,280.696152,820.0917658,1086.2285779499996,1702.1225390900038,280.696152,820.0917658,1086.2285779499996,1702.1225390900038,,,,,,,,,0.0,55924281.016666666,0.4072314602659541,6549.0,226.2008935,657.0577496999999,872.8798776499998,1632.1784513000002,226.2008935,657.0577496999999,872.8798776499998,1632.1784513000002,,,,,,,,,0.0,70479452.81666666,0.37022279070596015,4268.0,160.56369899999999,605.7653581,794.4059544499992,1411.2908707300007,146.028685,588.9328716000001,773.3965590000001,1380.819080599999,276.086271,820.2899232000001,1216.7854229999994,2470.6020591399993,,,,,0.0,49591025.53333333,0.47020161918150577
