x_var,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_lsh_p50,Detock_lsh_p90,Detock_lsh_p95,Detock_lsh_p99,Detock_fsh_p50,Detock_fsh_p90,Detock_fsh_p95,Detock_fsh_p99,Detock_mh_p50,Detock_mh_p90,Detock_mh_p95,Detock_mh_p99,Detock_aborts,Detock_bytes,Detock_cost,Detock_input_throughput,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_input_throughput,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_input_throughput,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_input_throughput
1.0,159.0,6.46245,7.625532399999991,11.975282499999922,141.39478788,6.434741,7.1390744999999995,8.895377699999996,11.355948430000005,140.118962,142.0257472,142.4315321,144.30382004,,,,,0.0,2214954.8666666667,6.662258473794549,164.0,14.0,132.400934,136.2470298,137.2604171,141.07676593,132.400934,136.2470298,137.2604171,141.07676593,,,,,,,,,0.0,211103.93333333332,72.80157704761905,14.0,158.0,6.412872,7.780985000000001,10.854399399999993,138.93473824,6.412872,7.780985000000001,10.854399399999993,138.93473824,,,,,,,,,0.0,1966686.8666666667,6.672998337552742,163.0,155.0,6.462989,7.693319899999996,11.121698699999996,146.09445196999997,6.441134,7.111951,9.10417,10.844067,144.374458,147.220351,147.972963,441.684013,,,,,0.0,2124058.4,6.822459148387096,160.0
10.0,1652.0,6.108954499999999,8.051910199999998,13.424155799999987,140.51466406,6.07132,7.063104,8.46828139999997,12.684593640000001,138.840846,141.522789,142.1962907,144.75330113999996,,,,,0.0,19931468.183333334,0.8557078472558516,1640.0,152.0,131.875089,135.1586584,135.91721950000002,137.58523494000002,131.875089,135.1586584,135.91721950000002,137.58523494000002,,,,,,,,,0.0,1673409.0666666667,6.897816982456141,140.0,1664.0,6.282948,135.8985306,138.3248792,140.87617984,6.282948,135.8985306,138.3248792,140.87617984,,,,,,,,,0.0,17690610.866666667,0.8226034959935897,1630.0,1651.0,6.0191514999999995,7.4863585,11.405988949999957,144.56756764000002,5.9871175,6.818987,7.716477749999999,10.338049500000002,142.60107599999998,145.8000188,146.55798915,148.41696496,,,,,0.0,19958199.066666666,0.856549958409045,1600.0
100.0,11647.0,10.1056645,18.9748617,33.397941599999974,148.60592755,9.845348000000001,16.7017625,19.42156225,26.617855349999907,144.9676915,151.44961899999998,154.50435375,164.0773302500001,,,,,0.0,135076623.7,0.31909783412037435,16400.0,1510.0,132.212749,135.2201704,136.00530775,138.73291511000002,132.212749,135.2201704,136.00530775,138.73291511000002,,,,,,,,,0.0,15642612.416666666,0.8793723498896248,1400.0,9193.0,13.820078,141.1243181,143.0865049,147.29367974999997,13.820078,141.1243181,143.0865049,147.29367974999997,,,,,,,,,0.0,95227540.76666667,0.317584120018855,16300.0,11882.0,9.563644,17.489778,33.0866575,152.09240730000008,9.328737499999999,15.448004,17.89087405,24.78968754,148.281313,154.872792,157.58945359999998,166.54802364000005,,,,,0.0,137130902.3,0.31624457549234136,16000.0
500.0,15847.0,52.051806,121.999377,146.000975,238.0843641999999,46.344678,114.0852586,123.24245520000001,140.94641403999998,189.228658,252.7570065,263.12731075,300.53867054999995,,,,,0.0,186874217.75,0.29989804726446645,82000.0,7326.0,134.711987,137.7502768,139.17861835,150.6811498300003,134.711987,137.7502768,139.17861835,150.6811498300003,,,,,,,,,0.0,76078775.76666667,0.3462429040859041,7000.0,12100.0,93.114914,143.3916984,146.0571502,152.47558393,93.114914,143.3916984,146.0571502,152.47558393,,,,,,,,,0.0,128145354.98333333,0.2956948016253444,81500.0,17130.0,54.887047,102.106187,136.553816,225.92806199999998,50.204578,95.3893486,103.28697009999999,120.6383312,191.588322,236.92955859999998,245.75139889999997,431.90280995999905,,,,,0.0,200198396.0,0.2929928733216579,80000.0
1000.0,16771.0,127.37033,233.9451649,248.5804318499999,350.55184476,108.6489435,229.951548,241.132479,260.13059089999996,241.129823,368.5102753,380.52154305,403.33169645,,,,,0.0,199759404.18333334,0.29874116532506506,164000.0,13857.0,139.42282799999998,152.0795537,158.74532205,188.26025606999988,139.42282799999998,152.0795537,158.74532205,188.26025606999988,,,,,,,,,0.0,144229204.0,0.2814161853214982,14000.0,13167.0,183.2318385,247.94256460000003,261.2278858,306.69080622999996,183.2318385,247.94256460000003,261.2278858,306.69080622999996,,,,,,,,,0.0,140584555.85,0.2906274107237792,163000.0,16438.0,156.399595,241.2632394,257.35011219999996,361.34597124000004,102.3339805,236.74543839999998,249.04769969999987,269.10816604,316.150959,378.947247,391.387407,418.5301589999995,,,,,0.0,194835088.08333334,0.2988016645374538,160000.0
2500.0,17127.0,291.52899,590.3017134,607.1817153999999,702.03512612,285.6976715,586.8336321,599.2100273499999,626.7789901799999,419.400091,723.856713,737.507992,768.326869,,,,,0.0,204756622.78333333,0.29836704943461595,410000.0,15547.0,308.95200950000003,577.5689653,624.34037245,673.7503444899996,308.95200950000003,577.5689653,624.34037245,673.7503444899996,,,,,,,,,0.0,166386360.86666667,0.27932895203790653,35000.0,12795.0,504.327745,629.904686,695.4140205,1314.384787900001,504.327745,629.904686,695.4140205,1314.384787900001,,,,,,,,,0.0,137192607.46666667,0.29377508005731406,407500.0,18134.0,275.907089,562.8931132,599.6784147999999,697.8639176799992,262.11598349999997,555.2663547,583.3503006499999,667.5012534,516.892062,700.6270742,731.3172078,826.4204058400005,,,,,0.0,213906050.78333333,0.29188932478585355,400000.0
5000.0,18848.0,571.1386640000001,1082.5868685,1111.8564429,1247.7520392800002,566.8389745,1078.7610061,1101.6303611499998,1222.45728272,742.9274365,1215.0815736,1234.33141445,1291.02648509,,,,,0.0,224867573.73333332,0.2924634695812111,820000.0,16126.0,575.838946,1174.3908838,1233.6734758,1305.6770319999994,575.838946,1174.3908838,1233.6734758,1305.6770319999994,,,,,,,,,0.0,173066727.66666666,0.277584928273182,70000.0,12937.0,1101.3351255,1298.8654983,1432.88109745,1579.01055711,1101.3351255,1298.8654983,1432.88109745,1579.01055711,,,,,,,,,0.0,138510887.91666666,0.2925885258045399,815000.0,18737.0,289.62352,1049.3318070000005,1661.0295581999972,3875.648671239997,283.8041205,1047.1725812,1715.3976593999994,3924.42209237,386.318003,1069.415869,1150.928619,1926.1512819999894,,,,,0.0,221761831.76666668,0.2908809646866272,800000.0
10000.0,18289.0,1106.6756,2320.867568600001,2368.9131342,2708.2790160700006,1103.625312,2315.2570896,2362.9317582,2740.037278480005,1242.120286,2444.7634462000005,2496.186486,2548.02115696,,,,,0.0,218701629.9,0.29465977352506967,1645881.0,16958.0,925.253325,2385.7193318,2572.9698583999993,2668.1127793,925.253325,2385.7193318,2572.9698583999993,2668.1127793,,,,,,,,,0.0,180657905.83333334,0.2729188652356804,148257.0,14275.0,1916.2143105,2351.7720175,2389.62473325,3347.978036750005,1916.2143105,2351.7720175,2389.62473325,3347.978036750005,,,,,,,,,0.0,150995915.51666668,0.2826562739287799,1630443.0,18912.0,1087.4556625,2173.7579215,2266.6316460999997,2801.533579849996,1082.70534,2167.8644288,2256.3145800999996,2825.6056029799993,1217.711977,2279.9390032,2342.2268495000003,2461.4613943599993,,,,,0.0,224063706.3,0.29062363187394247,1603609.0
25000.0,19315.0,2564.224942,5779.3212300000005,5890.6429093,7180.55879778,2565.959829,5777.8781162000005,5881.0316022,7240.000254159995,2523.848717,5884.2824412,5979.0341442,6173.50816823,,,,,0.0,229880828.56666666,0.29058330682543787,4114702.0,19252.0,2396.899667,5026.6979865,5699.1849962,6690.108346400001,2396.899667,5026.6979865,5699.1849962,6690.108346400001,,,,,,,,,0.0,206305410.46666667,0.2670428116213034,370643.0,16717.0,2630.2978160000002,6068.2894315,6404.8053911,14082.663527139995,2630.2978160000002,6068.2894315,6404.8053911,14082.663527139995,,,,,,,,,0.0,175618277.91666666,0.270824044884449,4076109.0,20173.0,2772.5643680000003,4788.024091299999,5359.829891150001,8464.096578089997,2781.7904255000003,4804.3737,5416.355832499997,8524.377048170001,2299.1541545,4548.429443999999,4965.71351675,5451.402892800014,,,,,0.0,236580132.9,0.28486604163981555,4009022.0
50000.0,21148.0,4913.313277,7683.150085,9183.0689275,13767.901581200038,4918.035610999999,7683.1276084,9241.683110349995,13852.687204710006,4813.938483,7685.46465,8516.259399,9813.681515400001,,,,,0.0,246521599.83333334,0.28113448064434765,8229405.0,19615.0,4767.8846379999995,9543.601312600005,14630.79500869999,26999.261199770004,4767.8846379999995,9543.601312600005,14630.79500869999,26999.261199770004,,,,,,,,,0.0,210437217.65,0.26631375748151925,741286.0,18094.0,5593.693058,12681.109232,14571.519088,15525.7224068,5593.693058,12681.109232,14571.519088,15525.7224068,,,,,,,,,0.0,185767213.56666666,0.26143164979182787,8152218.0,21369.0,4790.878313,10297.989177,11065.4590585,11228.831303,4789.340357,10289.290429800001,11057.4047742,11224.60674274,4818.6614205000005,10522.2512559,11206.8423931,11356.590618010001,,,,,0.0,249807100.36666667,0.2813019798461947,8018045.0
