x_var,Detock_lsh_p50,Detock_lsh_p90,Detock_lsh_p95,Detock_lsh_p99,Detock_fsh_p50,Detock_fsh_p90,Detock_fsh_p95,Detock_fsh_p99,Detock_mh_p50,Detock_mh_p90,Detock_mh_p95,Detock_mh_p99,Detock_read_p50,Detock_read_p90,Detock_read_p95,Detock_read_p99,Detock_write_p50,Detock_write_p90,Detock_write_p95,Detock_write_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p90,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p90,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p90,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p90,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p90,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p90,slog_write_p95,slog_write_p99
0.0,37.314212,108.004622,182.8315745,371.55784430000017,,,,,,,,,38.09111,103.98979850000006,155.52930589999994,310.9050310199998,37.233341,108.293922,184.29500000000002,378.3559689999995,138.243638,151.2034519,158.45072285,311.0052406600013,,,,,,,,,139.441877,152.03180340000003,158.8980526,307.82299627999896,138.140692,151.12378859999998,158.4095734,311.1929716400001,138.309991,242.364275,465.79452749999996,1163.0209294,,,,,,,,,138.615398,163.45630180000003,402.5369982999999,498.6617752,138.2857545,276.4931755,474.46018725,1196.1111708999965,32.127059,61.018240600000006,207.80203119999783,427.4315404,,,,,,,,,32.866756,59.2969692,176.81339749999944,351.03349756000006,32.071374000000006,61.174250900000004,210.7260431,442.80450657000006
0.01,29.964972,99.201105,195.304567,352.4264575999993,162.527569,235.91359450000002,330.29545365,483.7466200599998,,,,,28.68396,87.35215119999998,176.02871959999973,305.69593908,32.6616935,157.80905700000005,209.20321635,370.1498161199986,139.723284,151.8305875,159.54825090000003,242.59826516000032,,,,,,,,,140.87714,153.358914,161.3550464,261.6446841999998,139.611222,151.6810644,159.31215709999998,239.7992025000005,120.723866,259.4082674,319.1997267999999,644.059423639999,,,,,,,,,82.880618,223.47827390000003,264.29031139999995,322.20014064,125.724928,262.860997,330.33086749999995,661.3009764999994,26.371978,53.387372,65.702751,353.7314269999985,163.401828,4157.589417599999,4721.7919122,4914.82048152,,,,,26.962184,53.780555400000004,62.69727259999998,260.26065496001434,27.257541,65.0434018,160.6081514999997,1942.8680575400122
0.02,31.4442905,88.0545905,118.81017125,213.3313016499999,168.4141775,231.72714440000004,279.2968098499998,590.47156987,,,,,31.081679,83.924172,108.57585939999997,181.44338468000043,36.039956,151.88785160000003,182.45953799999995,276.91468575999977,139.068042,154.58905750000002,164.7408315,209.1479005499999,,,,,,,,,140.393683,155.9865,165.337932,206.95496999999955,138.954698,154.45610000000002,164.68064520000001,209.27781847999915,66.129156,1063.476695700001,1455.9898551499998,2166.957124130002,,,,,,,,,66.723449,1053.9630322000005,1458.871112,2181.4488396800007,66.069723,1064.9148220000004,1455.7922605999995,2165.1414273399964,22.16978,43.202877400000006,146.30808879999992,487.78289808000096,155.6368025,1657.1209112000008,2181.4068022499996,2450.1063801500004,,,,,22.653384,38.582592,98.180199,361.9694946999998,23.481028000000002,154.07274460000002,259.9371442499999,1832.7638951000008
0.05,15.986612,51.659708400000085,75.37685879999997,186.28553180000006,150.6714025,339.1500758999999,2314.5364681500196,13099.550565830003,,,,,16.8815885,47.15852480000001,70.91212055,169.26540965,19.178532,153.479683,188.0062245,3749.8415111000304,141.918089,161.2480763,169.97897264999995,302.7675359099999,,,,,,,,,143.36604499999999,162.57977780000002,171.63113679999998,343.02969938999803,141.7669515,161.1305005,169.76130735,300.4295470599984,67.97141500000001,214.5592733,1373.3070865999987,6529.175160070001,,,,,,,,,69.13825449999999,219.81291580000004,1410.5832379999763,6609.40714578,67.86356599999999,214.1735191000002,1371.0139181499924,6518.1699928200005,12.7455535,31.139521500000022,283.20283370000016,488.2670815399995,149.635715,161.8793496,379.3079174999964,601.2789784999997,,,,,13.743519,24.202141,120.973376,400.07784960000004,14.6338865,154.12193870000002,298.69237969999875,553.6983177000001
0.075,15.8452085,56.762623500000004,90.1872875,154.06008175,155.480004,198.23793200000003,246.7640894,590.5837559199994,,,,,17.101017,50.50083640000001,83.80620419999991,145.75182703999945,22.8506165,161.39190720000002,176.67417114999998,327.2367197800003,140.36991799999998,152.22823530000002,159.75961650000002,213.81304616999998,,,,,,,,,141.647693,153.3442254,161.0705501,210.30991356000004,140.2565495,152.08941100000004,159.64745344999997,214.09106850999999,94.562613,400.8078318000006,1608.2999013999997,6356.180626520007,,,,,,,,,93.633487,368.7210994000002,1558.967072199989,6207.15440796001,94.6539305,408.13689470000065,1617.0108055999983,6383.256512430001,10.902591000000001,74.09654269999997,130.13015144999997,268.54323976999996,150.69890800000002,213.91311549999992,291.03977724999976,561.4307278099999,,,,,12.183381,58.416247,113.20453,251.3588892000002,14.43147,155.89408040000004,200.46467339999984,387.95770193999994
0.1,11.979569,43.803706000000005,93.06228225,152.45691584999983,151.4566985,170.78083049999998,227.03936449999998,290.8096385,,,,,13.220323,33.6753742,81.50257189999992,141.01639388,18.946174,156.439468,165.2931042,262.85714468000003,140.5720945,151.51502340000002,164.79870894999988,250.43052069,,,,,,,,,141.990643,152.91723340000001,170.01815799999983,268.01272323999984,140.443708,151.3817224,164.3621756000001,249.14591678000008,119.528867,732.491755,818.85229,3954.230415,,,,,,,,,120.621511,733.6943058000002,823.0767201999998,4558.70801496001,119.45418000000001,732.4023649999999,818.4340784999999,3920.7085275,11.327557500000001,28.197465800000014,49.30655524999999,119.7641302100001,153.4698805,166.14183859999997,176.95718649999995,239.36856233000017,,,,,12.520794,26.475109,38.102341,97.73808399999963,17.260455,157.4670734,162.81131639999998,194.5714047200001
0.15,12.000041,22.569422900000003,32.97456294999996,76.15763473,151.602879,159.5898602,163.5257121,190.98517670000024,,,,,13.322350499999999,22.367561000000002,27.84449925,72.30360625,25.000574,155.9242092,159.1717007,172.90506056000004,143.63062200000002,159.027678,177.922182,244.48316579999997,,,,,,,,,144.759495,160.248568,179.60616439999995,241.58353112000006,143.531886,158.9138174,177.6816806999999,244.5794990400001,107.215576,444.9385734,743.5220210999995,1559.6888370999998,,,,,,,,,108.241797,445.746988,753.4803694000001,1617.1920313999983,107.13777999999999,444.9066501,743.113770799999,1554.2699267900002,9.489594,16.0824077,20.91272205,115.70706341999978,150.8792885,156.4133569,158.3545582,165.78746198000007,,,,,10.836216499999999,16.8519338,19.681373999999995,82.84727345000006,16.9526585,154.1023493,156.16001135,161.08640784
0.2,10.831908,20.4255895,30.12570225,74.51924705000002,149.579831,156.3421562,159.34792899999997,188.57804057999743,,,,,12.4040115,20.6102069,25.268265649999996,67.06237615999973,143.339544,153.8523256,156.54778849999997,166.70232672000003,141.478826,155.0118405,169.568097,263.33287874999996,,,,,,,,,142.653485,156.7029618,172.1009633,269.837534389998,141.3816815,154.80212550000002,169.22143375,263.2048524299996,111.254131,421.680894,813.375991,1408.9139748000032,,,,,,,,,112.33231,411.1256027999998,791.1186384500011,1292.9815274000005,111.123545,422.68267160000005,815.6171096999998,1434.6621388800033,9.130273,15.593987800000004,21.1103283,120.53737567999994,150.59488249999998,156.5438302,158.62585885000001,164.9766100399999,,,,,10.4821445,16.382679300000003,18.68451695,71.5154498499996,144.325212,154.424063,156.681138,161.9528138
0.25,9.68391,17.408945,28.365439,70.64658060000006,148.192372,153.6935622,155.8512976,164.2514073999998,,,,,11.212,17.339718100000002,20.61642394999999,51.10058041000003,144.27243049999998,151.954571,154.10481575,160.0551691,141.674523,153.84226470000002,162.54375704999998,227.0199828899999,,,,,,,,,142.93786899999998,155.44838149999998,164.260523,235.54639964999993,141.55881349999999,153.7033165,162.35528,225.4914712999997,86.227548,1049.8586827999998,4188.844721799997,13461.382026420015,,,,,,,,,85.911911,1046.87373,4416.304982,13478.9783038,86.261352,1050.5917047,4150.557867499997,13460.495778980001,8.7912935,15.498134,24.114127899999996,121.44100973999994,149.7205735,155.6440421,157.8136707,164.50743086999992,,,,,10.214127999999999,15.895759,18.315704,68.50633469999947,145.391326,153.8494026,156.0774535,161.56145242999995
0.3,8.809432,15.122674,25.697539,70.7454088,146.861434,151.11444899999998,152.62798875000001,158.16067260000003,,,,,10.200609,15.175672200000003,17.213567799999996,52.14382288000008,144.23543899999999,149.9661563,151.54772955,155.73254262,140.33943649999998,161.8016893,193.89300664999996,350.9463490799993,,,,,,,,,141.55419999999998,164.7827162,197.6973025499999,334.48946660000075,140.230239,161.5588318,193.68891604999996,351.5844469400013,124.88360750000001,1488.1711871000002,2826.4084232499995,6310.962475530004,,,,,,,,,125.0968265,1455.6261808000008,2873.0052856999964,6217.641240210003,124.87065899999999,1490.7267001000007,2824.8790947499992,6317.139301119999,8.391819,14.6929234,30.80052159999998,123.95811047999992,149.159577,154.5335878,156.4388263,162.12851664,,,,,9.745856,14.8307316,16.923734399999997,56.06629233999991,145.892733,153.1310312,155.07368639999999,159.84406332
