,Calvin,SLOG,Detock,Janus
m4.2xlarge,28.242990083668236,42.94959470371048,1.6438467700205655,51.298251682994355
Normal-2,89.46026982861109,86.45307675690536,39.56280957010596,1.2831303809453125
Normal-3,19.566788852330046,8.217021454004268,8.284598126304504,94.09802752969065
Normal-4,56.45996763100582,1.3047437066239729,70.10718028512387,64.91176932542774
Normal-5,18.688404828736523,61.73315749428172,72.51695610865319,2.5216989304918407
Spot-1,3.5483143322327653,18.56302978805096,84.94941353973117,82.94577018615144
Spot-2,79.23569585287267,62.76927950660306,51.73405808357991,2.9941411585559305
Spot-3,51.82480068122683,33.688343722417336,46.86682765182118,45.37174663755671
Spot-4,92.32603288596762,84.26488381669127,46.91882598091538,81.97842610446374
Spot-5,16.809464533808615,8.263071532270105,47.705839406751046,41.225728003925774
