x_var,Calvin_throughput,Calvin_p50,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_bytes,Detock_cost,Janus_throughput,Janus_p50,Janus_bytes,Janus_cost,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_aborts,janus_bytes,janus_cost,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,Detock_p90,Detock_p95,Detock_p99,Detock_aborts
0.0,35094,18.409983,4745035100,7.48604212,56361,31.633969,8590284707,12.100341648399999,56539,30.759437,6518624481,9.6143493772,,,,,106.5577288,109.15617300000001,112.2839398,0.0,5824.0,100.787289,101.3175071,101.55702305,103.07558878,0.0,1208554025.0,3.24226483,42.04031869999999,54.61080459999993,85.79500018000007,0.0,42.131094,52.178204,71.3599542,0.0
10.0,34007,17.495135,4607866213,7.3214394556,47174,26.257012,8158841929,11.5826103148,52049,18.658543,6038367540,9.038041048,,,,,106.086315,109.4170885,202.15662339999997,0.0,5342.0,101.4948175,146.7414135,181.39520925,215.02648649999972,0.0,1111280394.0,3.1255364728,106.34745380000001,118.35834139999989,134.25668044,0.0,76.112605,111.1128518,125.57014103999951,0.0
20.0,36238,15.774631,4903015090,7.675618108,47428,17.841722,7837902984,11.1974835808,50366,38.613667,7538473028,10.838167633600001,,,,,105.7890676,107.8902754,110.4180918,0.0,4876.0,102.218152,194.569386,212.16754939999964,282.5963460200003,0.0,1022748054.0,3.0192976648,114.544249,120.8024755,127.65593150000001,0.0,109.16674330000005,113.88387755,118.64708607,0.0
30.0,34635,17.144188,4690024518,7.420029421600001,45071,12.6410215,7715651936,11.0507823232,46972,44.437483,6120845176,9.1370142112,,,,,106.02866500000002,108.12363215,110.77857696000001,0.0,4345.0,103.563188,225.7153274000001,274.83248829999997,302.64621524,0.0,917719019.0,2.8932628228,114.3876714,117.1847291,121.55462389000003,0.0,110.795381,113.1240895,116.26184209999998,0.0
40.0,35249,16.931008,4762769108,7.5073229296,41824,8.940213,7424844614,10.701813536800001,43166,48.132294,5878753642,8.8465043704,,,,,106.1788057,108.667938,111.52502985000001,0.0,4150.0,104.119363,247.0154632,287.40623339999996,309.64314307999996,0.0,887638638.0,2.8571663656000004,112.8881716,114.626535,117.47137208,0.0,111.4374782,113.3367314,116.15393004,0.0
50.0,34482,17.8388525,4673336458,7.400003749600001,37013,9.1334135,6802552534,9.9550630408,39380,51.787446,5608731533,8.5224778396,,,,,106.003145,108.150501,110.85656300999999,0.0,4040.0,104.376942,258.2541792000002,284.2357334,304.68723164,0.0,878453050.0,2.84614366,113.1278902,114.59774335,117.41069597,0.0,111.8529886,113.4318284,116.01243572,0.0
60.0,35212,16.31643,4769450104,7.5153401248,33423,89.346454,6889143437,10.0589721244,36338,54.7454185,5409753390,8.283704068,,,,,106.0853784,108.136274,110.4138254,0.0,3963.0,104.6596185,269.165137,292.19983084999996,311.69318223,0.0,866874459.0,2.8322493507999997,112.9102246,114.22591039999999,116.62066782000001,0.0,111.83497729999999,113.1350939,115.42281393,0.0
70.0,35575,16.149697,4825763003,7.5829156036,30408,104.480803,5985740665,8.974888798,33774,57.734919,5255197017,8.0982364204,,,,,105.840658,108.05474145,110.40964697000001,0.0,3909.0,104.989939,275.0755694,295.7240991,311.29538283999995,0.0,861175387.0,2.8254104644,113.216076,114.4617584,116.77760724000001,0.0,111.538575,112.6908258,114.86822249999996,0.0
80.0,34889,16.50268,4733585191,7.4723022292,27936,106.201264,5699219135,8.631062962,31449,61.7781205,5092446120,7.902935343999999,,,,,105.915727,107.964373,110.34212550000001,0.0,3895.0,104.862289,270.956495,294.3053164,312.70588208000004,0.0,860357002.0,2.8244284023999997,113.3149738,114.54696519999999,117.07938383999999,0.0,112.33446,113.47920975,115.62890349999999,0.0
90.0,35648,15.8816195,4834631795,7.593558154,25903,107.094666,5457245625,8.34069475,29414,63.231891,4937522042,7.717026450400001,,,,,105.79409960000001,108.695462,171.31350722000073,0.0,3897.0,104.896053,269.4052348000001,293.37291319999997,310.9235608,0.0,854004683.0,2.8168056196,113.4416087,114.61495509999999,117.49371296999999,0.0,112.306027,113.389401,115.86101540000001,0.0
100.0,35986,15.904118,4884741537,7.6536898444000006,24103,107.7890495,5239941626,8.0799299512,27577,103.963323,4810660982,7.5647931784,,,,,105.556243,107.681967,110.13727804,0.0,3829.0,104.980653,279.6943086,298.39430649999997,314.3684586,0.0,837363190.0,2.7968358280000003,113.5914958,114.7754258,117.52924801999997,0.0,112.591988,113.8259434,116.73626424000003,0.0
