x_var,Calvin_throughput,Calvin_p50,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_bytes,Detock_cost,Janus_throughput,Janus_p50,Janus_bytes,Janus_cost,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_aborts,janus_bytes,janus_cost,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,Detock_p90,Detock_p95,Detock_p99,Detock_aborts
0.0,36372,15.8651585,4925051768,7.702062121600001,36237,9.317776,6652788763,9.7753465156,35028,49.819984,6873525843,10.0402310116,,,,,105.8811721,108.0770735,110.72087615999999,0.0,4847.0,107.49913000000001,368.64726820000004,382.20770004999997,404.72189901,0.0,1049943251.0,3.0519319012,113.28217,114.78042459999999,117.49849548,0.0,111.3325177,112.70785615,168.34177365000028,0.0
0.0001,35324,17.405902,4809662812,7.5635953744,36937,9.375034,6780209095,9.928250914,36759,49.473934,7225135633,10.462162759599998,,,,,106.0810204,108.29062039999998,110.81949988,0.0,4925.0,108.464265,365.91205560000003,379.56402019999996,404.22110276,0.0,1066815014.0,3.0721780168,113.2309566,114.6987596,117.25546984,0.0,110.9661586,112.04260404999998,113.92340967,0.0
0.001,35878,16.20852,4891725028,7.6620700336,36905,9.392191,6772070642,9.9184847704,36731,49.392198,7228994704,10.4667936448,,,,,105.80985,107.838186,110.1999687,0.0,4775.0,108.477079,382.711498,399.484147,426.26498160000006,0.0,1046909791.0,3.0482917491999997,113.50905800000001,115.012411,117.60949588,0.0,110.875055,111.95142535000001,113.89999268,0.0
0.01,33142,17.602163,4401930678,7.0743168136,36452,10.062022,6637052667,9.7564632004,36378,49.794035,7081019259,10.289223110800002,,,,,106.168601,107.87821,110.11646400000001,0.0,4879.0,108.7986325,363.150888,382.25160224999996,426.00348325000004,0.0,1072440428.0,3.0789285136,113.5983276,115.1141128,117.78403632,0.0,111.04443619999999,112.1924544,114.37949084,0.0
0.1,34692,17.100461,4592614142,7.3031369704,35667,10.473760500000001,6543892753,9.644671303600001,34988,50.810588,6856384240,10.019661088,,,,,106.93193,109.931647,124.760335,0.0,4952.0,107.904871,357.5474059,377.1173126999999,404.07238430000007,0.0,1073513759.0,3.0802165108,113.9325498,115.60461554999999,119.76862983000001,0.0,111.9832756,114.0597153,127.82502755999988,0.0
0.5,35602,16.848118499999998,4710234603,7.4442815236,35827,9.767362,6593332805,9.703999366,34533,51.1658105,6802634966,9.9551619592,,,,,106.1958935,108.8928905,121.15794165000015,0.0,4812.0,108.011596,367.8957102,378.6918781,399.3133390800001,0.0,1048861612.0,3.0506339344000004,113.1570282,114.733231,117.59754524,0.0,112.1757987,114.7440806,127.33129254000004,0.0
1.0,33694,17.910022,4471013834,7.1572166008,34902,10.086444499999999,6450262419,9.532314902800001,35391,49.340947,6936254713,10.115505655600002,,,,,106.592827,108.844481,111.4856585,0.0,4991.0,107.239703,352.9168992,364.1875012,387.20931240000004,0.0,1066789967.0,3.0721479603999997,114.8671269,119.01343219999997,142.73357374999998,0.0,111.183141,112.395367,114.95861040000001,0.0
