x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_read_p50,cockroachdb_read_p95,cockroachdb_read_p99,cockroachdb_write_p50,cockroachdb_write_p95,cockroachdb_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
1.0,8.99734,11.5067164,12.284527160000001,121.6022045,313.0749715,817.9247412499999,116.072828,385.7480079999996,855.5115936,,,,,,,184.003637,698.9006461999999,1641.3587221600003,,,,,,,,,,,,,132.9598345,471.38329020000003,493.5991197,,,,243.105209,495.65702469999997,522.0797374400001,,,,,,,136.511659,278.4052514,483.51864072,,,,,,,,,,,,,8.983369499999998,11.42170175,12.2233438,153.525725,271.592653,754.0911925,152.62518599999999,270.43965325,534.8003124699999,,,,,,
10.0,8.9433785,11.659297249999998,12.645114749999998,106.162631,240.36440695000002,252.70467946999997,106.38366,240.32229144999997,253.40246743999995,,,,,,,182.971,247.4089965,249.6624595,,,,,,,,,,,,,132.69091550000002,471.67324565,493.05424990999995,,,,243.38673,494.544802,498.10159940000005,,,,,,,135.03510749999998,277.74405545,483.81931589,,,,,,,,,,,,,9.0172,11.6972448,12.78170856,153.108983,263.900201,278.77235320000005,153.284191,263.614233,279.944262,,,,,,
25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.646456,471.73772520000006,493.8237944,,,,243.654136,494.67243709999997,503.2583961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.63152,475.428185,654.6927294399999,,,,246.2381115,684.77187505,1036.1589710699998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.041564,682.9635795,2164.132497500012,,,,328.4203645,2243.9833224999984,3669.5771069999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,9.0981875,12.49749065,13.9866186,124.8087285,243.75112779999998,254.50993088,126.2540175,245.04066415,255.75242437,,,,,,,189.5464075,376.926036,406.73885515,,,,,,,,,,,,,174.3967355,749.555652,1807.7719398499955,,,,326.0736405,687.2940948000002,1180.1732395100003,,,,,,,160.62469249999998,362.002857,573.04051189,,,,,,,,,,,,,9.566606,13.383707199999996,15.566463599999986,157.37506150000002,271.0251599,282.64378515,158.69517,271.5244939,283.83849024,,,,,,
200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.3949035,1364.248552,3610.685102050007,,,,497.481363,4444.153812199998,7341.55393148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.3698095,3460.064543349998,11359.335472460005,,,,270.172669,1256.604849299999,9198.732396280013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.127688,5119.250543449997,13740.287219219957,,,,258.458091,1940.785560399999,9181.095023939964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.45821999999998,5159.813592400001,18397.73497144997,,,,685.051414,9451.25502425,16711.584132250002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000.0,20.62855,111.38611835000022,656.6074386600003,174.19384,1888.6830934999969,3713.0975768199983,180.854468,2024.1260699999955,3785.9326211599996,,,,,,,251.421739,422.04151359999986,550.9476719199984,,,,,,,,,,,,,417.42473399999994,13046.981981500001,28765.85684274995,,,,1161.976669,23797.658485,33939.4798356,,,,,,,257.5355375,1492.35436075,6026.942286309982,,,,,,,,,,,,,25.215913999999998,85.50088869999993,455.4828468999998,203.155082,1064.7605301,2989.732428179996,211.80746499999998,1139.3420419999993,3160.7261679599997,,,,,,
10000.0,47.132032,3924.925596,6700.131443799996,2129.128452,8545.828368600001,12621.236703119996,2307.1849895,8746.936113099999,12556.755719609997,,,,,,,1572.5225095,4659.85798425,6672.809225249997,,,,,,,,,,,,,440.374616,11117.648868,22135.5349495,,,,831.854274,13995.218491599993,28747.35527394,,,,,,,1808.5975715,13765.704226199996,24024.478329050075,,,,,,,,,,,,,35.166737499999996,2465.721880899999,9276.56978571,1830.8417425,10518.69072965,12269.216926269999,2017.6222520000001,10810.73073474999,13386.92531479,,,,,,
50000.0,2134.486516,10281.107243,15011.001554999975,10628.61159,18892.343369599992,21923.022363960004,11198.764627,19453.200043599998,22201.636069080003,,,,,,,9371.405085,18061.76089645,22340.459840929998,,,,,,,,,,,,,337.523592,35520.03855609984,68509.29028048,,,,6445.770849500001,55930.83751279999,80643.22498671999,,,,,,,9843.52738,15601.589675099998,17926.034264759983,,,,,,,,,,,,,1763.8166394999998,10223.83853335,15263.41912815007,10458.839108,17955.776384799996,21460.584435399996,11507.466646,19121.4881738,22217.37754172,,,,,,
100000.0,6517.031634499999,17885.429187949998,24825.423206850002,16816.560744,27203.7002412,31488.843944639997,18369.344519,28768.909930599995,32630.71631055999,,,,,,,18486.188807,30791.5568556,35066.29142848,,,,,,,,,,,,,452.824968,19546.73182449997,43228.43468923992,,,,813.436139,13466.753416949992,27282.373089419943,,,,,,,17280.446352,25755.2349522,39153.474806679995,,,,,,,,,,,,,5638.5573735,17583.4891355,23199.26369045,17827.406746,25623.753426249998,29114.91002958998,19428.70776,27158.1269522,30308.554909359995,,,,,,
