x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_read_p50,cockroachdb_read_p95,cockroachdb_read_p99,cockroachdb_write_p50,cockroachdb_write_p95,cockroachdb_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
m5.2xlarge,160.857968,1640.6629019999934,3587.26100647,1532.589213,6339.1010925,8820.812409200002,1767.984134,6772.45417975,9444.316631960002,,,,,,,416.796653,3138.35594755,3898.7729835900027,,,,,,,,,,,,,177.884836,926.9394346,2278.9852332400005,,,,267.800211,623.717731,1530.2819389000013,,,,,,,1609.000963,9382.616517999995,10989.28285096,,,,,,,,,,,,,91.7953555,2421.771993249999,4317.730783599999,1804.229728,6806.9319662,9467.870370179991,2161.384942,7424.8146645999905,10254.767223359999,,,,,,
m5.4xlarge,35.393921,760.5899994999955,5587.134337660022,362.716015,5943.821094799999,9713.95165632,405.052804,6503.504068500002,10057.012972080012,,,,,,,556.7197585,1539.1694848999998,2354.1228992499996,,,,,,,,,,,,,161.8363675,554.2354204999991,1473.8494995400033,,,,251.570052,626.2530565,1448.1509087999952,,,,,,,738.346895,3938.9406681999985,17250.73270228,,,,,,,,,,,,,32.028272,557.7276070999998,4472.682175900001,524.5376205,4813.143096950006,9303.995962279987,572.480308,5209.926185,9322.613467,,,,,,
m6i.8xlarge,15.9428215,284.47731974999994,1946.8551868499965,206.2718085,2278.5656927,3517.4139832299998,216.44277649999998,2288.13537165,3617.478863840001,,,,,,,310.349383,776.668048,1137.20782234,,,,,,,,,,,,,139.445815,485.326205,705.2328052000034,,,,245.4682325,573.7625512999999,1010.3816662999951,,,,,,,157.975365,3573.118655,20112.818476499997,,,,,,,,,,,,,15.932038,198.6017784999991,1063.3152579299954,228.0133515,1792.46762415,2502.36704605,252.400082,1810.5645596999998,2620.3343286799873,,,,,,
r5.2xlarge,137.002765,1525.3475818999968,3616.237689559998,1637.460233,5071.639249899999,6451.124067320001,1821.001754,5282.828673499999,6960.238233869998,,,,,,,761.1510765,2372.18519245,2803.6701929900005,,,,,,,,,,,,,224.830439,953.4214065,2077.391548499997,,,,253.932942,866.1972271999981,2463.4251395200004,,,,,,,1503.504747,10278.94005275,12183.496255940001,,,,,,,,,,,,,86.27587600000001,2106.1814274999997,3514.202006349979,2051.9492044999997,9815.971130549995,15699.587506209982,2239.166093,10531.256146399988,16247.418447759996,,,,,,
r5.4xlarge,22.667855,678.3072762499997,2888.8587703100006,400.4571605,5283.980754849999,7598.196772189997,490.508074,5551.894204699999,7984.527340560008,,,,,,,621.9450955,1575.1063121999998,1930.05839539,,,,,,,,,,,,,178.715452,587.6121118999997,1107.9479673300007,,,,327.967743,926.6355517999999,1799.9740155999966,,,,,,,404.737131,12448.052209299989,18362.682549280013,,,,,,,,,,,,,23.0693505,1556.3911634499989,5290.1452335099975,564.087089,7020.8012709999975,11481.29401208,704.8993875,7040.034598,11693.858838,,,,,,
