x_var,cockroachdb_throughput,cockroachdb_p50,cockroachdb_p95,cockroachdb_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_aborts,cockroachdb_bytes,cockroachdb_cost,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,5532.0,177.5957415,960.2777369499995,1989.53938445,166.22437,954.6554405999999,2007.2968861399984,,,,328.91940450000004,1039.1896696499998,1563.9956472199979,0.0,125069080.96666667,2.646793399635705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,37392.0,80.825945,5210.944873199999,5773.504389640001,17.8554255,744.0125795,5159.6884584,200.7404365,5534.97567305,5898.751325939999,223.941398,5571.5928704,6555.480235160023,0.0,1975992124.1375,2.0166384239045505,31729.0,685.376865,1595.6628615499997,1981.1815636200008,685.376865,1595.6628615499997,1981.1815636200008,,,,,,,0.0,968213383.15625,1.4035001267043197,25880.0,853.9720545,12402.70180275,15001.985560500014,853.9720545,12402.70180275,15001.985560500014,,,,,,,0.0,928712635.3895833,1.3960741817753948,27028.0,166.10381,5922.647551149998,12541.134360230004,18.184721,1153.8513073000001,3927.313517729993,1058.850448,9070.856180499997,15406.475243819987,1187.173295,9419.3996907,15966.81805206,0.0,1227865099.6208334,2.1823383205438702
0.1,,,,,,,,,,,,,,,,,36204.0,80.104945,4400.286067,5806.136757,17.97958,905.0970608999979,3924.3010815800035,236.13279,4758.895545,6054.0151094,275.442583,4913.072644,6315.238147600004,0.0,1916092796.8875,2.1016076115551616,31229.0,537.382528,1976.9764379999986,2594.7730469600037,537.382528,1976.9764379999986,2594.7730469600037,,,,,,,0.0,959993214.425,1.4231790140045217,25914.0,859.530406,12440.7974254,18561.963743519984,859.530406,12440.7974254,18561.963743519984,,,,,,,0.0,916079732.6625,1.3735745449947159,28181.0,181.85069099999998,4381.547316599992,10860.20847424003,18.287559,1702.0667708999956,3158.4471913600014,1145.287978,6696.8521985999805,14178.685617479998,1339.971315,6911.180043499982,14255.966511149998,0.0,1256994127.5354166,2.1213659063772785
0.1,5952.0,168.503576,804.3155494000008,1694.8644759600013,163.825779,769.4366245999992,1603.1622476300024,,,,336.586513,1746.5499479999976,3906.964152479999,0.0,160794138.02083334,2.6591165759501942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,5597.0,180.398165,915.8383658,1806.4470046800027,176.9257785,864.7006278499997,1722.2958553600015,,,,432.36485,1803.6515283999986,3640.912282319978,0.0,148169789.23541668,2.7898951069384887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,37810.0,83.37052,4803.579580699999,5517.56106614,17.999989,681.3924876999992,4663.805361950001,228.451641,5204.823553949999,5807.0893089699875,255.328949,5245.729151999999,6743.906694560002,0.0,1997306642.2604167,2.0354649236586813,31919.0,615.249047,1730.7449593999993,2142.0543338399984,615.249047,1730.7449593999993,2142.0543338399984,,,,,,,0.0,989985681.825,1.4205464673298465,29445.0,596.450748,17079.632517799975,22644.336718520008,596.450748,17079.632517799975,22644.336718520008,,,,,,,0.0,1047653180.1604167,1.3171051328470222,28533.0,182.150402,5065.9489386,7360.933341919968,17.459117,2570.181774399999,4986.722175690003,1042.055988,5715.318576999996,10202.416259319996,1194.2698615,5782.925125049998,10145.230980940014,0.0,1290641667.2770834,2.1499645353068284
0.3,,,,,,,,,,,,,,,,,34334.0,146.6662935,4044.1320591999993,8590.837242109992,22.3457785,1573.99618025,3237.1025247000002,507.084494,5466.230026,10728.692687200002,612.586753,5431.542639599999,10694.676289499997,0.0,1802131090.0541666,2.07019463566828,32420.0,710.294899,1424.5757675999996,1690.8588807999993,710.294899,1424.5757675999996,1690.8588807999993,,,,,,,0.0,993095068.1604167,1.3933927070960996,29137.0,558.544153,15542.2605323,23382.619133579887,558.544153,15542.2605323,23382.619133579887,,,,,,,0.0,1040865716.3479167,1.3405795867265469,29786.0,172.3350025,4792.781826649993,11534.727257139972,19.977165,1537.7250209999995,3296.9720817200046,619.5690255,7891.85362139999,15534.93879769998,802.807177,8130.755815999991,16103.523182080005,0.0,1516808779.4125,2.104166626167821
0.3,4483.0,205.84988,1180.6703483999995,2666.0496227600024,197.5939975,1111.433247,2457.43823655,,,,456.591941,3021.0967375999994,5554.8072331600015,0.0,141107802.25208333,3.345122651426995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,33519.0,143.4651345,3756.7567855,8189.024078299998,20.730551,2103.2709222999993,3335.8739546999986,543.189824,4823.086247399999,10583.140573440005,647.293723,4947.8640665,10591.9401567,0.0,1763198725.79375,2.0894502177910703,33293.0,665.460253,1412.3895623999992,1752.05601116,665.460253,1412.3895623999992,1752.05601116,,,,,,,0.0,1013070588.4395833,1.3844165834075897,25897.0,932.64144,11290.816793799995,15360.464830120003,932.64144,11290.816793799995,15360.464830120003,,,,,,,0.0,903810391.8375,1.3630406461572655,36741.0,162.53918199999998,3887.449813899999,8902.456855930022,21.121245000000002,970.8217055,2665.6438536499963,366.495868,4700.072234199995,10175.375845919994,444.829335,4990.297429399996,10382.681206640003,0.0,1867121761.96875,2.075991574371767
0.4,3433.0,164.202355,814.110753749994,6199.741263420036,162.65954499999998,766.6762825000001,5839.271104499987,,,,329.90152950000004,2614.19253155,13066.122553889993,0.0,133893344.87083334,4.471634759738001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,40217.0,83.74726,5112.2708382499995,5717.2174181499995,18.990958499999998,700.48415395,5048.933603489994,202.5139905,5460.2736669999995,5786.679290749999,227.3358655,5520.3834755,5865.56310835,0.0,2111447210.2354167,2.0133041658853155,32456.0,667.665587,1601.4292876999991,1992.907373960001,667.665587,1601.4292876999991,1992.907373960001,,,,,,,0.0,989345607.9791666,1.392899300583011,27800.0,568.57275,10884.403956499997,18612.93897343999,568.57275,10884.403956499997,18612.93897343999,,,,,,,0.0,992370498.56875,1.3668501451293968,36395.0,136.38152300000002,3950.17642225,7736.806562950002,20.844225,888.970187,3124.139160999999,339.3854965,5412.458517,8411.6695389,418.569773,5673.077963199999,8753.432074399996,0.0,1851163047.34375,1.970446709860367
0.5,1454.0,164.000742,3620.438126999997,21100.80047447997,162.354538,3460.3601689999873,21064.817001320003,,,,328.21024150000005,10628.302375499992,21889.09953491999,0.0,64564917.68125,8.596305264380826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,355.0,235.119365,25046.66143209998,59779.18148792012,197.188321,24042.072453599994,58406.68732283984,,,,328.880315,43732.4421245,67265.70546715,0.0,59542095.75416667,37.34518504575509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,,38345.0,94.77183199999999,3926.8838876999994,5231.72247459,19.0689525,737.9298831999998,3367.70455628,338.27007,4737.1114251,5478.246935259987,425.175282,4848.1721351999995,6095.637932960001,0.0,2012307816.0791667,2.105899396545436,32736.0,542.478451,1800.032099399998,2376.0841534600004,542.478451,1800.032099399998,2376.0841534600004,,,,,,,0.0,1001157602.4479166,1.3966293048750273,29634.0,428.889995,10255.561115,22466.387112860008,428.889995,10255.561115,22466.387112860008,,,,,,,0.0,1086806376.075,1.3744745280243038,36427.0,152.154129,4523.784696,7826.085945200003,19.525287,554.9820361499998,4001.775259459999,309.6865825,5040.4989289,8723.50864948,419.687555,5321.899229299998,8787.54585302,0.0,1854136129.3583333,1.9575485743242564
0.7,,,,,,,,,,,,,,,,,38982.0,82.1982755,4667.316764249999,5461.555648590001,17.9570025,653.45558025,4564.979863750001,185.186904,5027.5970785,5765.8286210000015,224.860497,5129.199869549999,6282.386806109996,0.0,2040474436.9625,1.9805345847387177,31424.0,678.618667,1488.4707500999998,3231.775778150002,678.618667,1488.4707500999998,3231.775778150002,,,,,,,0.0,956233397.9770833,1.3995701144346053,29100.0,708.686701,10982.717082299987,16941.007935359998,708.686701,10982.717082299987,16941.007935359998,,,,,,,0.0,1065772298.19375,1.390960849466399,38004.0,161.926459,3610.380722,7624.4188285,21.736662,971.0983263999997,2600.135783200013,421.69023500000003,4649.135000299999,9749.325622789986,575.5241305,4903.458531999999,9954.516663640003,0.0,1930083055.8333333,2.150607233456054
0.7,121.0,276.081986,46551.935543399966,73480.67084147972,272.619226,46304.51484934994,71295.51211288999,,,,492.254441,66507.30468459999,105148.94899032002,0.0,68872596.17291667,108.99406496912303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,42.0,2705.195664,101327.2654625999,141740.42240440001,2423.059681,99188.04940149997,141456.87556042,,,,20946.3217835,141738.79655355,154002.57238180997,0.0,38996116.541666664,277.64756370271164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,,38936.0,85.37500399999999,3577.071138249999,6142.223594600003,19.710162,947.8452927999996,2501.0566636299964,336.6360205,4309.7661005,7196.155085600002,513.2397055,4490.1616418,7318.115387610001,0.0,2031001136.7333333,2.0327506739931493,34841.0,673.0301925,1263.8703664999996,1505.18808448,673.0301925,1263.8703664999996,1505.18808448,,,,,,,0.0,1043013710.4479166,1.3596122691935424,28980.0,851.942523,10376.6112877,13308.038748559999,851.942523,10376.6112877,13308.038748559999,,,,,,,0.0,1057997147.3166667,1.3934206628146337,39752.0,133.1985105,4709.120031099999,5135.069409299998,19.547815,685.7197541999973,4609.918973639997,251.770635,4991.575818,5216.0028792,266.5350585,5021.24689525,5362.288077050002,0.0,2018600330.7895834,2.103886416614083
0.9,12.0,51201.794263,224784.45745380002,244971.87706732002,50282.454528,225469.72843539997,245093.97648433998,,,,68242.1895315,185975.00406789998,224345.72466711,0.0,85883470.10833333,1083.973718726852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,,,,,39393.0,91.164486,3456.778911199997,6169.905550679996,20.322206,1245.2169857999968,2326.151233159999,324.501266,4447.120322250001,7139.666540599997,516.8747375,4646.850985899999,7317.280392760005,0.0,2043074309.80625,1.9597696992642872,35513.0,651.788654,1221.6976755,1779.5704989999995,651.788654,1221.6976755,1779.5704989999995,,,,,,,0.0,1048473864.4479166,1.3326266971030951,31377.0,335.619553,7538.9468003,18796.10054020001,335.619553,7538.9468003,18796.10054020001,,,,,,,0.0,1098764402.6333334,1.3328571973935703,39305.0,171.3690835,3695.1944467499925,8220.110147889998,26.679109,972.5648355999995,2105.69571776,415.425897,5208.100990649994,11426.86057163003,535.531672,5329.331761799998,11388.905673639945,0.0,1982152727.49375,2.0702317992869164
0.99,8.0,113957.550823,251291.58824254997,280705.63734735,114178.5882495,251586.02597895,280864.94744742004,,,,101359.968525,178732.6822115,239050.02444279997,0.0,47485338.36666667,1450.5587495199652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996,,,,,,,,,,,,,,,,,45935.0,160.938845,3155.4016317,6795.493943139992,34.263574,794.8894014500003,3991.48223489,388.06212700000003,4447.688277949997,7291.068066429986,440.870403,4844.156175399999,7582.832620619992,0.0,2337712944.875,1.8706873870408676,38959.0,555.644938,1258.6462338,1693.9335060399999,555.644938,1258.6462338,1693.9335060399999,,,,,,,0.0,1137038472.9666667,1.2931981594516386,30965.0,474.133676,4668.765786399999,6987.691338679993,474.133676,4668.765786399999,6987.691338679993,,,,,,,0.0,1125608304.7416666,1.3921018988035334,41431.0,135.35211950000001,3032.96144325,5983.2725872500005,25.605862,903.6436759999993,2370.1733667599997,455.9597465,4023.5767727999996,7593.597808219957,541.359685,4334.373957400002,8096.1702252600035,0.0,2091027931.08125,1.9046409419203347
0.999,8.0,154998.676491,340142.4714705,356237.9467522999,153363.725351,340786.048788,356511.0507092,,,,171245.29558,260220.7348726,261475.51173456002,0.0,57813382.360416666,1490.7438056345484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999,8.0,138875.221489,317395.54496,334947.1221142599,136847.01264099998,317873.00103685,335271.75384450995,,,,161236.478226,251439.8469556,252778.98547334,0.0,53768924.110416666,1471.458807579861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
