x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,detock_fixed_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_fixed_cost,cockroachdb_throughput,cockroachdb_p50,cockroachdb_p95,cockroachdb_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_aborts,cockroachdb_bytes,cockroachdb_cost,cockroachdb_fixed_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_fixed_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_fixed_cost
balanced,45076.0,112.0824425,3032.42535975,5583.388664649998,26.889896,637.1309063499963,2777.393699849992,401.00115,4167.888137399997,6107.51459854001,471.463608,4512.234975400005,6341.5391409999975,0.0,2289263572.88125,1.4222436030826946,0.22001114167677305,36413.0,644.118904,1154.0299693999998,1460.1586219999963,644.118904,1154.0299693999998,1460.1586219999963,,,,,,,0.0,986507846.275,0.9432773881063922,0.27235389070447974,5120.0,239.80233,978.43314,1875.734111,237.33876800000002,967.4037845499997,1864.4496133799778,,,,330.792195,1245.3833598499998,1952.96826316,0.0,117873335.09583333,2.505760720164659,1.9369574652777777,30954.0,460.82566199999997,7763.812817400001,11677.63412572,460.82566199999997,7763.812817400001,11677.63412572,,,,,,,0.0,1155803138.1020834,1.1754978841652572,0.32038580546043227,45515.0,191.719433,2578.917869600001,3872.999870160002,30.7823125,523.75939675,1526.6768053899991,575.2665415,3075.079843149999,4217.85672811,640.207692,3335.2117094000027,4326.238918079999,0.0,2295139164.6604166,1.6227127588142496,0.21788909639068926
us-west+,42655.0,68.662688,5083.718081399999,5885.20210428,19.74368,383.46142504999773,5011.954913580001,167.07491299999998,5274.8857911000005,6050.627773600001,179.340966,5321.801444,6093.377243440001,0.0,2212490621.1041665,1.6209286344970648,0.23249846963362378,37776.0,627.098945,1069.4878834,1300.7469551599993,627.098945,1069.4878834,1300.7469551599993,,,,,,,0.0,1002747072.6,0.998734412472351,0.2625270600969457,6400.0,149.898402,812.8377374000003,1886.5095129199976,148.867018,785.447248,1803.6854482000006,,,,188.208728,1497.473001,2577.8466323499983,0.0,150290267.56041667,2.1911076979644095,1.5495659722222221,30125.0,411.17036199999995,9823.966306249995,19201.236805589997,411.17036199999995,9823.966306249995,19201.236805589997,,,,,,,0.0,1138577067.5270834,1.274043020749423,0.32920239741816504,43018.0,160.936925,2861.3188638,4017.3703464199994,25.386345,812.0186509499998,1705.4642990799991,487.31290149999995,3414.5851781999986,4213.132696859998,589.868137,3536.1978481999995,4348.6638754,0.0,2176196254.53125,1.7928836771543628,0.23053657125441027
us-west+_eu-west+,40219.0,89.435478,3403.3732862999987,5277.994664040007,21.491641,774.2116277999997,2150.283829840004,442.15656149999995,4378.498158,6268.8032315500095,561.641514,4568.016459249999,6601.139878619997,0.0,2093477211.91875,1.618566173576061,0.2465805271693036,37401.0,633.264679,1071.5587528999995,1314.8197699200005,633.264679,1071.5587528999995,1314.8197699200005,,,,,,,0.0,1018500469.91875,1.013468019925195,0.2651592797578199,5831.0,165.222576,918.5262612500001,2002.6821515000001,164.5018695,929.2249445499995,2020.8533263900008,,,,207.0740295,631.320708,1192.1009255,0.0,144728348.23125,2.3971539960114994,1.700775548314564,30407.0,551.9610645,9197.364636199993,21622.59168674,551.9610645,9197.364636199993,21622.59168674,,,,,,,0.0,1146753074.8625,1.2126066078915945,0.32614931503345346,42774.0,188.828551,2312.2656671999994,4718.613725399911,27.378279499999998,887.1403165999994,1560.3729525099989,593.447666,3307.491583399999,5316.218477799991,663.5879835000001,3362.968801399998,5323.477273710001,0.0,2165753614.7625,1.8325535916949482,0.23185164404129194
us-west++,38446.0,83.313062,4075.0516514,5444.769550539997,19.750425,705.3163555999986,3251.135902280012,268.46296400000006,4525.108915499999,5833.26058813,386.290772,4659.016319699999,6722.339825619984,0.0,2007585113.2458334,1.4700404065868728,0.25795199038189204,37573.0,630.453838,1131.0611268999999,1439.7013462999994,630.453838,1131.0611268999999,1439.7013462999994,,,,,,,0.0,995333338.7229167,0.9117396560981663,0.2639454454587662,6586.0,133.3674,932.2599275999993,2047.3432021199994,133.40611,869.579557,1957.4501162500042,,,,75.410508,1812.811397,2735.0965620000075,0.0,155251106.31041667,2.0836476249862925,1.505803556365354,29991.0,269.6205265,9955.39185825,16817.684719399975,269.6205265,9955.39185825,16817.684719399975,,,,,,,0.0,1127952122.675,1.1895111233520523,0.3306732760568911,44526.0,100.817834,3154.609392199999,4095.7010007599965,22.811173,507.85277049999894,3016.3621242799995,426.430072,3558.9347660999997,4300.37879152,465.887509,3585.3618155,4308.6130022,0.0,2254770578.94375,1.5415999853515667,0.22272879266545886
us-west++_eu-west++,43970.0,144.1816805,3333.5782717999814,6503.630037180012,27.455147,867.0084294,2079.6698407599993,338.8473535,4961.0335619999905,7409.592695749988,421.781641,5349.016555,7768.76392,0.0,2251594502.19375,0.8107739553950927,0.22554519495615696,39996.0,561.931716,1217.2247025999993,1607.8137772900038,561.931716,1217.2247025999993,1607.8137772900038,,,,,,,0.0,1147379752.9104166,0.5758109231937081,0.24795535109066458,5884.0,32.372492,1049.2537743500004,3181.099347630003,26.902743,979.2784733000002,3080.1417322600005,,,,270.914787,2387.0898527999975,4356.7170522000015,0.0,121469633.46875,1.921387934181207,1.6854558501397385,31027.0,788.8059,3934.6006964,5857.50960624,788.8059,3934.6006964,5857.50960624,,,,,,,0.0,1132712225.2395833,0.7368583748473552,0.3196320050995011,43276.0,152.677999,3637.740463,6975.872519800051,26.665488,680.2579829999897,2446.448725639996,309.657458,4875.973213499999,7985.538563160004,365.546864,5164.329925999997,8340.151405159995,0.0,2145117417.8145833,0.7956569427486111,0.22916217354243046
