x_var,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_read_p50,cockroachdb_read_p95,cockroachdb_read_p99,cockroachdb_write_p50,cockroachdb_write_p95,cockroachdb_write_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
0.6,197.188321,24042.072453599994,58406.68732283984,,,,328.880315,43732.4421245,67265.70546715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,19.0689525,737.9298831999998,3367.70455628,338.27007,4737.1114251,5478.246935259987,425.175282,4848.1721351999995,6095.637932960001,,,,,,,542.478451,1800.032099399998,2376.0841534600004,,,,,,,,,,,,,428.889995,10255.561115,22466.387112860008,,,,,,,,,,,,,19.525287,554.9820361499998,4001.775259459999,309.6865825,5040.4989289,8723.50864948,419.687555,5321.899229299998,8787.54585302,,,,,,
0.7,,,,,,,,,,,,,,,,17.9570025,653.45558025,4564.979863750001,185.186904,5027.5970785,5765.8286210000015,224.860497,5129.199869549999,6282.386806109996,,,,,,,678.618667,1488.4707500999998,3231.775778150002,,,,,,,,,,,,,708.686701,10982.717082299987,16941.007935359998,,,,,,,,,,,,,21.736662,971.0983263999997,2600.135783200013,421.69023500000003,4649.135000299999,9749.325622789986,575.5241305,4903.458531999999,9954.516663640003,,,,,,
0.7,272.619226,46304.51484934994,71295.51211288999,,,,492.254441,66507.30468459999,105148.94899032002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,2423.059681,99188.04940149997,141456.87556042,,,,20946.3217835,141738.79655355,154002.57238180997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,19.710162,947.8452927999996,2501.0566636299964,336.6360205,4309.7661005,7196.155085600002,513.2397055,4490.1616418,7318.115387610001,,,,,,,673.0301925,1263.8703664999996,1505.18808448,,,,,,,,,,,,,851.942523,10376.6112877,13308.038748559999,,,,,,,,,,,,,19.547815,685.7197541999973,4609.918973639997,251.770635,4991.575818,5216.0028792,266.5350585,5021.24689525,5362.288077050002,,,,,,
0.9,50282.454528,225469.72843539997,245093.97648433998,,,,68242.1895315,185975.00406789998,224345.72466711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,,,,20.322206,1245.2169857999968,2326.151233159999,324.501266,4447.120322250001,7139.666540599997,516.8747375,4646.850985899999,7317.280392760005,,,,,,,651.788654,1221.6976755,1779.5704989999995,,,,,,,,,,,,,335.619553,7538.9468003,18796.10054020001,,,,,,,,,,,,,26.679109,972.5648355999995,2105.69571776,415.425897,5208.100990649994,11426.86057163003,535.531672,5329.331761799998,11388.905673639945,,,,,,
0.99,114178.5882495,251586.02597895,280864.94744742004,,,,101359.968525,178732.6822115,239050.02444279997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996,,,,,,,,,,,,,,,,34.263574,794.8894014500003,3991.48223489,388.06212700000003,4447.688277949997,7291.068066429986,440.870403,4844.156175399999,7582.832620619992,,,,,,,555.644938,1258.6462338,1693.9335060399999,,,,,,,,,,,,,474.133676,4668.765786399999,6987.691338679993,,,,,,,,,,,,,25.605862,903.6436759999993,2370.1733667599997,455.9597465,4023.5767727999996,7593.597808219957,541.359685,4334.373957400002,8096.1702252600035,,,,,,
0.999,153363.725351,340786.048788,356511.0507092,,,,171245.29558,260220.7348726,261475.51173456002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999,136847.01264099998,317873.00103685,335271.75384450995,,,,161236.478226,251439.8469556,252778.98547334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,191440.17453850002,385728.84029364993,421636.70767472,,,,149251.503473,248263.0666235,250342.7761711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
